,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
32914,344.6372,3.5965339999999997,168700.0,19.0,K,I,0.0,0.5,3.5964980000000004,1.5,NBS,1.0,4.0
47281,404.4142,3.064937,1225000.0,19.0,K,I,0.0,0.5,3.064907,1.5,NBS,1.0,4.0
47351,404.7213,3.062612,1226000.0,19.0,K,I,0.0,0.5,3.062581,0.5,NBS,1.0,2.0
59498,474.4345,2.6126,97600.0,19.0,K,I,1.609956,0.5,4.22253,1.5,NBS,1.0,4.0
59622,475.393,2.607332,158000.0,19.0,K,I,1.617111,1.5,4.224417,0.5,NBS,1.0,2.0
59669,475.7387,2.605438,117800.0,19.0,K,I,1.617111,1.5,4.2225220000000006,2.5,NBS,1.0,6.0
60084,479.1049,2.587132,129100.0,19.0,K,I,1.609956,0.5,4.197062,1.5,NBS,1.0,4.0
60181,479.9753,2.5824409999999998,234600.0,19.0,K,I,1.617111,1.5,4.1995260000000005,0.5,NBS,1.0,2.0
60236,480.4345,2.579973,155800.0,19.0,K,I,1.617111,1.5,4.197057,2.5,NBS,1.0,6.0
60849,484.9865,2.555758,145000.0,19.0,K,I,1.609956,0.5,4.165687999999999,0.5,NBS,1.0,2.0
60920,485.6092,2.552481,169500.0,19.0,K,I,1.609956,0.5,4.162411,1.5,NBS,1.0,4.0
61006,486.348,2.548603,287700.0,19.0,K,I,1.617111,1.5,4.165687999999999,0.5,NBS,1.0,2.0
61083,486.9754,2.5453200000000002,204500.0,19.0,K,I,1.617111,1.5,4.162405000000001,2.5,NBS,1.0,6.0
61953,494.2007,2.508107,212800.0,19.0,K,I,1.609956,0.5,4.118037999999999,0.5,NBS,1.0,2.0
62054,495.0814,2.503645,215000.0,19.0,K,I,1.609956,0.5,4.113576,1.5,NBS,1.0,4.0
62118,495.6146,2.500952,422200.0,19.0,K,I,1.617111,1.5,4.118037999999999,0.5,NBS,1.0,2.0
62207,496.503,2.496477,259400.0,19.0,K,I,1.617111,1.5,4.113563,2.5,NBS,1.0,6.0
63538,508.423,2.437948,348700.0,19.0,K,I,1.609956,0.5,4.047879,0.5,NBS,1.0,2.0
