,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
8368,249.6031,4.9658050000000005,155000000.0,8.02,O,III,2.5135650000000003,2.0,7.4793210000000006,2.0,KP,3.0,5.0
45130,394.7295,3.140134,320800.0,8.0,O,I,9.146091,2.0,12.286194,3.0,NBS,1.0,7.0
45133,394.7481,3.139986,317900.0,8.0,O,I,9.146091,2.0,12.286046,2.0,NBS,1.0,5.0
45139,394.7586,3.139903,319200.0,8.0,O,I,9.146091,2.0,12.285962,1.0,NBS,1.0,3.0
53719,436.8193,2.837572,665700.0,8.0,O,I,9.521364,1.0,12.358907,0.0,NBS,1.0,1.0
53721,436.8242,2.83754,652100.0,8.0,O,I,9.521364,1.0,12.358875,2.0,NBS,1.0,5.0
53723,436.8258,2.83753,654900.0,8.0,O,I,9.521364,1.0,12.358865,1.0,NBS,1.0,3.0
77126,672.6283,1.842789,294700.0,8.0,O,I,9.146091,2.0,10.988862,2.0,GUES,1.0,5.0
77129,672.6539,1.8427200000000001,491100.0,8.0,O,I,9.146091,2.0,10.988792,1.0,GUES,1.0,3.0
83021,777.1944,1.594856,33250000.0,8.0,O,I,9.146091,2.0,10.740931,3.0,NBS,1.0,7.0
83029,777.4166,1.5944,32930000.0,8.0,O,I,9.146091,2.0,10.740476,2.0,NBS,1.0,5.0
83033,777.5388,1.59415,33060000.0,8.0,O,I,9.146091,2.0,10.740225,1.0,NBS,1.0,3.0
