element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
V	2	"200.11448"	"0.00008"	"200.114522"	"0.000017"	"8400"	"1.8e+07"	D+	"2.6013033"	"8.7949592"	"3d4"	"a 1D2"	"2"	"3d2.(3F).4s.4p.(3P*)"	"1F*"	"3"	5	7		"T9770"	"L18516"	
V	2	"200.14514"	"0.00011"	"200.145193"	"0.000017"	"16000"	"6.7e+06"	D+	"2.51443045"	"8.7071374"	"3d3.(2H).4s"	"b 3H"	"5"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"5"	11	11		"T9770"	"L18516"	
V	2	"200.16535"	"0.00003"	"200.165361"	"0.000013"	"14000"	"3.2e+07"	D+	"2.6013033"	"8.7933864"	"3d4"	"a 1D2"	"2"	"3d2.(3F).4s.4p.(3P*)"	"1D*"	"2"	5	5		"T9770"	"L18516"	
V	4	"200.2480"	"0.0010"	"200.249+"	"0.006"	"100"	"3.6e+08"	D	"11.92680"	"18.11629"	"3p6.3d.4s"	"3D"	"1"	"3p6.3d.4p"	"3D*"	"1"	3	3		"T2757"	"L147,L11926"	
V	2	"200.478743"	"0.000015"	"200.478739"	"0.000013"	"120000"	"1.52e+08"	B	"2.5247320"	"8.7071374"	"3d3.(2H).4s"	"b 3H"	"6"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"5"	13	11		"T9770"	"L18516"	
V	2	"200.688891"	"0.000017"	"200.688887"	"0.000013"	"56000"	"1.0e+08"	D+	"2.3721639"	"8.5480964"	"3d3.(2P).4s"	"b 3P"	"2"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"3"	5	7		"T9770"	"L18516"	
V	2	"200.76508"	"0.00009"	"200.765098"	"0.000017"	"9300"	"1.1e+07"	D+	"2.2755849"	"8.4491734"	"3d4"	"a 3D"	"3"	"3d2.(3F).4s.4p.(3P*)"	"v 3F*"	"4"	7	9		"T9770"	"L18516"	
V	2	"200.9781"	"0.0008"	"200.97864"	"0.00009"	"720"	"5.3e+06"	D+	"4.7353313"	"10.902361"	"3d2.4s2"	"e 3F"	"3"	"3d2.(1G).4s.4p.(3P*)"	"r 3F*"	"3"	7	7		"T9770"	"L10089c179"	
V	2	"201.11503"	"0.00008"	"201.11496"	"0.00004"	"2100"	"5.1e+07"	D+	"3.7575133"	"9.9203637"	"3d3.(2F).4s"	"c 3F"	"3"	"3d2.(1G).4s.4p.(3P*)"	"u 3G*"	"4"	7	9		"T9770"	"L18516"	
V	4	"201.1180"	"0.0010"	"201.120+"	"0.006"	"40"	"1.7e+08"	D	"11.95358"	"18.11629"	"3p6.3d.4s"	"3D"	"2"	"3p6.3d.4p"	"3D*"	"1"	5	3		"T2757"	"L147"	
V	2	"201.2652"	"0.0003"	"201.265204"	"0.000017"	"14000"	"7.1e+06"	D+	"2.5097359"	"8.6679864"	"3d3.(2H).4s"	"b 3H"	"4"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"4"	9	9		"T9770"	"L18516"	
V	2	"201.28475"	"0.00006"	"201.284801"	"0.000025"	"14000"	"1.1e+07"	D+	"2.3721639"	"8.5298149"	"3d3.(2P).4s"	"b 3P"	"2"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"2"	5	5		"T9770"	"L18516"	
V	2	"201.418779"	"0.000014"	"201.418773"	"0.000013"	"92000"	"1.44e+08"	B	"2.51443045"	"8.6679864"	"3d3.(2H).4s"	"b 3H"	"5"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"4"	11	9		"T9770"	"L18516"	
V	4	"201.4199"	"0.0010"	"201.421+"	"0.006"	"40"	"9.7e+07"	D	"12.00142"	"18.15492"	"3p6.3d.4s"	"3D"	"3"	"3p6.3d.4p"	"3D*"	"2"	7	5		"T2757"	"L147"	
V	2	"201.420776"	"0.000022"	"201.420776"	"0.000021"	"28000"	"7.1e+07"	D+	"2.3763202"	"8.5298149"	"3d3.(2P).4s"	"b 3P"	"1"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"2"	3	5		"T9770"	"L18516"	
V	2	"201.49207"	"0.00009"	"201.49202"	"0.00005"	"4100"	"4.1e+07"	D+	"3.7526931"	"9.9040124"	"3d3.(2F).4s"	"c 3F"	"2"	"3d2.(1G).4s.4p.(3P*)"	"u 3G*"	"3"	5	7		"T9770"	"L18516"	
V	2	"201.50261"	"0.00008"	"201.502635"	"0.000017"	"6900"	"1.1e+07"	D+	"2.26815109"	"8.4191464"	"3d4"	"a 3D"	"2"	"3d2.(3F).4s.4p.(3P*)"	"v 3F*"	"3"	5	7		"T9770"	"L18516"	
V	2	"201.55592"	"0.00004"	"201.555940"	"0.000025"	"17000"	"4.8e+07"	D+	"2.3757135"	"8.5250823"	"3d3.(2P).4s"	"b 3P"	"0"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"1"	1	3		"T9770"	"L18516"	
V	2	"201.56533"	"0.00010"	"201.565250"	"0.000021"	"2900"	"1.1e+07"	D+	"1.79302842"	"7.9421132"	"3d4"	"a 3G"	"3"	"3d3.(2F).4p"	"w 3G*"	"3"	7	7		"T9770"	"L18516"	
V	2	"201.57582"	"0.00008"	"201.57583"	"0.00003"	"14000"	"2.2e+07"	D+	"2.3763202"	"8.5250823"	"3d3.(2P).4s"	"b 3P"	"1"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"1"	3	3		"T9770"	"L18516"	
V	2	"201.65042"	"0.00007"	"201.650477"	"0.000013"	"3300"	"1.0e+07"	D+	"1.80472253"	"7.9512088"	"3d4"	"a 3G"	"4"	"3d3.(2F).4p"	"w 3G*"	"4"	9	9		"T9770"	"L18516"	
V	2	"201.6547"	"0.0016"	"201.655299"	"0.000013"	"7200bl"	"8.e+06"	D+	"1.81706384"	"7.9634032"	"3d4"	"a 3G"	"5"	"3d3.(2F).4p"	"w 3G*"	"5"	11	11		"T9770"	"L10089c179"	
V	2	"202.08474"	"0.00007"	"202.084717"	"0.000021"	"5400"	"1.2e+07"	D+	"2.2651312"	"8.3984118"	"3d4"	"a 3D"	"1"	"3d2.(3F).4s.4p.(3P*)"	"v 3F*"	"2"	3	5		"T9770"	"L18516"	
V	2	"202.356513"	"0.000018"	"202.356513"	"0.000013"	"54000"	"1.4e+08"	D+	"2.5097359"	"8.6347797"	"3d3.(2H).4s"	"b 3H"	"4"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"3"	9	7		"T9770"	"L18516"	
V	2	"202.8864"	"0.0006"	"202.88715"	"0.00007"	"1800"	"8.e+06"	D+	"4.7755099"	"10.8845363"	"3d2.4s2"	"e 3F"	"4"	"3d2.(1G).4s.4p.(3P*)"	"r 3F*"	"4"	9	9		"T9770"	"L10089c179"	
V	2	"205.2395"	"0.0006"	"205.239556"	"0.000021"	"2500"	"8.e+06"	D+	"2.49079909"	"8.5298149"	"3d3.(4P).4s"	"c 3P"	"1"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"2"	3	5		"T9770"	"L10089c179"	
V	2	"205.484871"	"0.000016"	"205.484865"	"0.000013"	"25000"	"1.0e+08"	D+	"2.76157898"	"8.7933864"	"3d3.(2P).4s"	"a 1P"	"1"	"3d2.(3F).4s.4p.(3P*)"	"1D*"	"2"	3	5		"T9770"	"L18516"	
V	2	"205.6857"	"0.0016"	"205.68382"	"0.00003"	"2500D*"	"4.7e+06"	D+	"2.4991086"	"8.5250823"	"3d3.(4P).4s"	"c 3P"	"0"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"1"	1	3		"T9770"	"L10089c179"	
V	2	"205.6857"	"0.0016"	"205.687021"	"0.000017"	"2500D*"	"5.3e+06"	D+	"2.52221646"	"8.5480964"	"3d3.(4P).4s"	"c 3P"	"2"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"3"	5	7		"T9770"	"L10089c179"	
V	2	"205.73479"	"0.00005"	"205.734824"	"0.000013"	"4200"	"1.1e+07"	D+	"1.67907412"	"7.7035541"	"3d4"	"b 3F2"	"3"	"3d3.(2F).4p"	"w 3F*"	"3"	7	7		"T9770"	"L18516"	
V	2	"205.83405"	"0.00006"	"205.834026"	"0.000017"	"5200"	"1.2e+07"	D+	"1.68729343"	"7.7088703"	"3d4"	"b 3F2"	"4"	"3d3.(2F).4p"	"w 3F*"	"4"	9	9		"T9770"	"L18516"	
V	4	"206.0113"	"0.0010"	"206.013+"	"0.006"	""	"4.3e+07"	D	"26.77534"	"32.79169"	"3p6.3d.4d"	"1F"	"3"	"3p6.3d.4f"	"1D*"	"2"	7	5		"T2757"	"L147"	
V	2	"206.2960"	"0.0006"	"206.2957"	"0.0004"	"1700"	"3.3e+07"	D+	"4.7353313"	"10.743434"	"3d2.4s2"	"e 3F"	"3"	"3d2.(3F).4s.4p.(1P*)"	"q 3D*"	"3"	7	7		"T9770"	"L10089c179"	
V	2	"206.57538"	"0.00004"	"206.575370"	"0.000017"	"8200"	"3.3e+07"	C	"2.22067040"	"8.2206402"	"3d4"	"a 1G2"	"4"	"3d3.(2F).4p"	"x 1F*"	"3"	9	7		"T9770"	"L18516"	
V	2	"206.6810"	"0.0016"	"206.67943"	"0.00007"	"3300h"	"4.8e+07"	D+	"4.7036757"	"10.7006250"	"3d2.4s2"	"e 3F"	"2"	"3d2.(3F).4s.4p.(1P*)"	"q 3D*"	"2"	5	5		"T9770"	"L10089c179"	
