g,LeveleV
1,0.0000,
5,76.45414,
3,76.68099,
1,76.87765,
3,77.45510,
3,83.27182,
7,84.41586,
5,84.51796,
3,84.67895,
5,85.01946,
3,85.17207,
5,85.28011,
1,85.33951,
3,85.38164,
1,88.53673,
1,94.12799,
3,94.17800,
5,94.28655,
9,94.43733,
7,94.50974,
5,94.67602,
7,94.76076,
3,95.08110,
5,95.10031,
7,95.13872,
5,95.18894,
3,95.57160,
5,99.42073,
3,99.54784,
1,99.84568,
3,99.96039,
3,101.84172,
7,102.17290,
5,102.23051,
3,102.32142,
5,102.37866,
1,102.63406,
3,102.63969,
5,102.71337,
3,102.72076,
1,103.73343,
1,105.60008,
3,105.63547,
5,105.70527,
9,105.72217,
7,105.76337,
5,105.85144,
7,105.87897,
3,106.04030,
5,106.20806,
5,106.23500,
7,106.23709,
3,106.30524,
5,106.30860,
11,106.33414,
9,106.33454,
7,106.35495,
5,106.35800,
7,106.38482,
9,106.38534,
3,106.45804,
7,106.78101,
9,106.78169,
7,106.78235,
5,106.78447,
5,107.98923,
3,108.05374,
1,108.41462,
3,108.45602,
3,110.918,
3,111.107,
3,111.23826,
5,111.24080,
11,111.25408,
9,111.25454,
7,111.26550,
5,111.26785,
5,111.27214,
7,111.27214,
11,111.27662,
13,111.27662,
7,111.28047,
9,111.28079,
7,111.28462,
9,111.28462,
9,111.28927,
11,111.28927,
3,111.500,
7,111.68954,
7,111.69037,
9,111.69088,
5,111.69167,
7,111.70832,
9,111.70832,
11,111.70832,
9,111.70832,
3,112.162,
3,112.580,
3,113.725,
3,113.837,
3,114.244,
3,115.474,
3,115.884,
3,116.548,
3,116.95,
3,117.28,
3,117.688,
3,117.789,
3,118.204,
,119.9924,
,120.4192,
3,129.59,
3,129.75,
3,146.76,
3,146.93,
3,153.86,
3,157.36,
,164.480,

#ignore,test#1.0
