g,LeveleV
1,0.000000,
1,4.629017,
3,4.629775,
5,4.631777,
3,9.100007,
1,12.263448,
3,12.264501,
5,12.266161,
5,12.691366,
1,15.827970,
3,16.089904,
1,17.062984,
1,17.852479,
3,17.852554,
5,17.852994,
3,17.866488,
7,18.678180,
5,18.678180,
3,18.678180,
5,19.178635,
3,20.624138,
1,20.821325,
3,21.150629,
5,21.268988,
3,21.268988,
1,21.268988,
7,21.582342,
5,21.582342,
3,21.582342,
9,21.685249,
7,21.685249,
5,21.685249,
7,21.687550,
5,21.765055,
3,22.428384,
1,22.509583,
1,22.52122,
3,22.52242,
5,22.52505,
3,22.53607,
1,22.76583,
3,22.76583,
5,22.76583,
3,22.89166,
5,22.89166,
7,22.89166,
5,22.925767,
7,22.925767,
9,22.925767,
7,22.93189,
7,22.96954,
9,22.96954,
9,22.96954,
11,22.96954,
5,22.977146,
3,23.139161,
3,23.33018,
1,23.377,
3,23.448881,
9,23.52507,
15,23.58854,
3,23.589,
5,23.598146,
7,23.598146,
9,23.598146,
7,23.610196,
7,23.63744,
9,23.63744,
9,23.63744,
11,23.63744,
5,23.63813,
3,23.68530,
5,23.68651,
7,23.68884,
3,23.835,
1,23.8686,
3,23.95703,
21,24.00050,
3,24.0026,
15,24.015,
5,24.03605,
27,24.04031,
1,24.1699,
3,24.174,
3,24.249,
1,24.25152,
3,24.25233,
5,24.25367,
5,24.25694,
15,24.280,
5,24.42236,
3,24.440,
15,24.468,
5,24.50482,
5,24.51102,
7,24.51213,
9,24.51399,
5,24.514173,
15,24.596,
3,24.85612,
5,24.85659,
7,24.85725,
9,24.88693,
,25.15483,
1,25.185,
3,25.4300,
9,26.737,
3,26.907,
3,27.14239,
15,27.2071,
3,27.3031,
9,27.41046,
5,27.448,
5,27.50917,
21,27.5149,
7,27.65182,
5,27.65337,
7,27.65337,
9,27.65337,
15,27.65357,
9,27.697,
15,27.727,
7,27.83187,
3,27.8764,
3,28.5698,
15,28.7073,
9,28.7997,
15,28.916,
3,29.0321,
3,29.4129,
15,29.4868,
9,29.5373,
3,29.6694,
3,29.8894,
9,29.962,
3,30.0590,
3,30.2003,
9,30.2473,
3,30.3155,
3,30.405,
9,30.4420,
3,30.49,
3,30.558,
9,30.5744,
3,30.6065,
9,30.6757,
9,30.7564,
9,30.814,
9,192.39,
15,194.15,
3,194.36,
5,203.5118,
3,210.11,
3,213.73,
3,215.29,
3,216.09,
15,217.967,

#ignore,test#1.09
