g,LeveleV
4,0.00000,
2,0.38661,
2,18.90010,
8,24.9834,
6,25.0134,
4,25.0487,
2,25.0763,
10,27.0760,
8,27.2104,
2,27.2754,
6,27.306,
4,27.3684,
4,27.5177,
2,28.1709,
4,28.2467,
4,28.3225,
6,28.3544,
6,28.5311,
8,28.6761,
6,28.9938,
10,29.0740,
8,29.0919,
6,31.2795,
8,31.3560,
4,33.4725,
6,33.5417,
6,36.1359,
4,36.3105,
2,36.3285,
4,36.4355,
2,36.4876,
2,36.5918,
6,37.3463,
4,37.4083,
2,37.6421,
4,37.673,
6,38.7472,
4,38.764,
6,41.0007,
4,41.0602,
2,41.1589,
8,41.5498,
6,41.6464,
4,41.7775,
2,41.8092,
2,41.8387,
6,41.938,
2,41.94,
4,42.0256,
4,42.2014,
2,42.4729,
4,42.5160,
6,43.6615,
8,43.7188,
4,44.3790,
6,44.4243,
4,44.5816,
2,44.779,
10,45.5238,
8,45.6226,
6,45.708,
4,45.7746,
2,47.0860,
4,47.1193,
8,47.4414,
6,47.4827,
4,47.5014,
2,47.5078,
6,49.5633,
4,49.7122,
,67.2732,

#ignore,test#5.36
