g,LeveleV
10,0.000000,
8,0.101171,
6,0.174426,
4,0.224328,
10,0.431815,
8,0.513624,
6,0.581508,
4,0.629323,
8,0.922741,
6,1.049007,
6,1.710426,
4,1.740277,
2,1.785283,
6,1.882581,
4,1.955732,
2,2.008008,
10,2.041759,
4,2.042094,
6,2.080227,
8,2.136704,
4,2.280016,
2,2.327805,
4,2.541764,
2,2.630436,
12,2.700434,
6,2.717745,
10,2.786589,
4,2.870553,
10,2.874478,
8,2.877396,
12,2.927488,
10,2.957720,
8,3.016053,
10,3.053457,
6,3.066536,
4,3.104708,
14,3.116824,
2,3.128467,
8,3.132988,
12,3.170112,
6,3.191345,
10,3.215851,
4,3.231414,
8,3.252360,
2,3.254646,
6,3.279385,
4,3.297687,
6,3.409201,
10,3.514439,
4,3.529893,
8,3.567927,
12,3.576351,
6,3.622368,
10,3.628984,
8,3.632058,
4,3.665366,
8,3.686692,
6,3.713173,
6,3.732291,
4,3.774529,
2,3.811603,
10,3.930261,
8,3.951519,
8,3.970904,
12,4.020881,
10,4.025114,
6,4.048642,
8,4.058383,
6,4.064414,
10,4.071888,
4,4.110160,
8,4.112972,
10,4.145997,
2,4.147170,
6,4.148862,
8,4.149363,
6,4.175091,
6,4.208755,
8,4.232026,
4,4.239790,
4,4.259157,
8,4.395309,
6,4.474892,
6,4.504329,
4,4.571933,
8,4.915869,
6,5.002260,
4,5.036439,
4,5.061998,
8,5.088489,
2,5.095974,
6,5.096366,
10,5.111343,
12,5.148882,
8,5.197220,
6,5.203479,
2,5.203604,
4,5.205186,
10,5.240728,
6,5.261174,
4,5.306111,
8,5.307942,
8,5.329848,
2,5.347468,
6,5.356074,
6,5.361442,
4,5.363999,
10,5.367936,
8,5.380743,
6,5.384102,
2,5.385326,
4,5.397988,
8,5.400159,
8,5.436457,
4,5.444315,
6,5.445620,
12,5.449361,
8,5.451573,
10,5.478036,
6,5.480340,
4,5.502582,
8,5.504213,
2,5.511657,
6,5.514835,
4,5.524204,
6,5.525786,
4,5.536890,
10,5.552276,
2,5.561630,
8,5.592380,
10,5.593111,
12,5.646275,
12,5.663102,
6,5.664609,
8,5.674339,
6,5.687971,
4,5.691455,
8,5.693972,
2,5.697978,
8,5.699701,
6,5.703624,
10,5.707253,
4,5.726385,
10,5.730923,
4,5.735511,
6,5.744142,
4,5.749788,
4,5.759680,
2,5.765532,
4,5.773060,
6,5.786583,
4,5.788256,
8,5.790909,
6,5.795765,
8,5.811479,
6,5.838496,
2,5.838557,
6,5.843246,
8,5.855167,
4,5.872478,
6,5.876098,
10,5.892283,
2,5.892776,
4,5.903158,
8,5.931299,
2,5.939495,
2,5.948506,
2,5.954507,
8,5.976237,
8,5.978186,
8,5.990566,
4,5.992698,
6,6.006261,
4,6.018946,
2,6.022132,
6,6.027561,
6,6.040333,
4,6.044691,
6,6.054008,
2,6.055106,
4,6.056824,
4,6.078377,
4,6.084950,
10,6.099742,
8,6.135240,
2,6.168800,
6,6.180250,
4,6.212234,
10,6.225346,
12,6.245817,
8,6.270963,
10,6.272780,
8,6.274992,
12,6.286381,
6,6.287542,
8,6.290735,
10,6.290735,
8,6.291164,
6,6.299209,
10,6.311119,
4,6.313909,
2,6.316433,
6,6.328434,
8,6.329763,
6,6.340475,
14,6.340866,
6,6.343035,
10,6.344289,
12,6.344802,
8,6.346085,
8,6.347939,
4,6.348065,
12,6.348456,
10,6.356413,
6,6.392719,
4,6.428242,
6,6.430215,
6,6.445853,
4,6.448970,
4,6.451302,
2,6.452279,
6,6.455857,
8,6.458957,
12,6.461301,
10,6.462206,
10,6.466577,
8,6.467266,
2,6.479911,
4,6.479971,
2,6.491208,
6,6.504223,
8,6.506274,
4,6.508944,
4,6.512399,
6,6.512399,
2,6.525861,
4,6.534309,
8,6.536038,
8,6.541863,
6,6.542931,
10,6.543324,
6,6.545886,
8,6.553393,
10,6.554351,
2,6.560738,
6,6.567520,
8,6.579341,
10,6.579341,
4,6.580451,
8,6.584030,
6,6.595461,
10,6.605385,
4,6.613723,
8,6.617474,
8,6.628580,
12,6.634621,
14,6.647795,
12,6.653038,
8,6.657278,
8,6.658216,
6,6.658465,
10,6.661076,
14,6.661468,
10,6.668959,
8,6.669001,
16,6.673087,
6,6.687296,
10,6.714757,
4,6.715648,
6,6.727228,
6,6.730201,
12,6.734285,
8,6.738826,
10,6.739341,
12,6.740702,
8,6.744567,
4,6.748043,
6,6.750395,
14,6.751235,
8,6.754296,
8,6.758958,
6,6.764794,
10,6.779817,
10,6.79324,
10,6.801888,
10,6.803519,
8,6.806307,
6,6.807351,
8,6.810740,
6,6.812547,
12,6.812644,
4,6.812928,
8,6.817844,
6,6.826755,
4,6.828896,
8,6.834046,
6,6.839666,
8,6.846797,
8,6.852452,
6,6.854221,
10,6.857933,
8,6.858067,
6,6.867126,
4,6.867451,
4,6.869605,
6,6.874920,
6,6.882212,
8,6.883682,
6,6.887984,
4,6.890705,
6,6.893365,
4,6.896353,
6,6.90402,
4,6.908525,
6,6.908525,
4,6.910615,
4,6.920663,
2,6.921642,
4,6.93348,
6,6.93348,
6,7.010750,
14,7.181420,
8,7.214317,
10,7.214317,
12,7.245764,
10,7.274615,
8,7.354100,
6,7.363284,
8,7.363284,
,7.88101,

#ignore,test#73.61
