g,LeveleV
13,0.0000000,
9,0.6242844,
11,0.8627228,
13,0.8897730,
15,0.9543009,
19,1.0688138,
17,1.1592654,
21,1.1971726,
19,1.3090148,
9,1.3329519,
11,1.4135683,
17,1.4329685,
13,1.4629860,
15,1.4738625,
7,1.5346186,
5,1.6239334,
17,1.8700678,
11,1.8827437,
15,1.9647217,
13,1.9924378,
13,2.0235597,
15,2.0413916,
9,2.0423648,
19,2.0459148,
17,2.0739431,
11,2.1113341,
13,2.1168814,
15,2.1272350,
17,2.1446375,
11,2.1508605,
13,2.1643157,
15,2.2064400,
17,2.2733118,
15,2.3276946,
9,2.3329639,
9,2.3616281,
15,2.3712292,
11,2.3806631,
7,2.3891309,
13,2.3961928,
19,2.3997326,
11,2.4005951,
13,2.4187373,
11,2.4255173,
17,2.4453739,
13,2.4569869,
15,2.4692431,
13,2.5002815,
9,2.5413836,
17,2.5499588,
9,2.5565208,
13,2.5711500,
11,2.5934117,
9,2.5949735,
13,2.6080325,
17,2.6122683,
15,2.6162538,
15,2.6245508,
19,2.6290186,
11,2.6523713,
9,2.6720974,
13,2.6906908,
15,2.7013593,
17,2.7250711,
11,2.7346928,
19,2.7404034,
11,2.7430596,
7,2.7610608,
9,2.7724914,
7,2.7761836,
11,2.7834590,
15,2.7923461,
13,2.7999976,
9,2.8082387,
11,2.8110647,
21,2.8111120,
13,2.8134315,
17,2.8281454,
13,2.8491062,
15,2.8616733,
13,2.8695215,
15,2.8793266,
9,2.8888370,
13,2.8902672,
11,2.8905819,
15,2.8933090,
15,2.8968726,
13,2.9052508,
11,2.9070673,
23,2.9102317,
17,2.9139043,
19,2.9283937,
15,2.9296147,
21,2.9379340,
25,2.9410205,
13,2.9547119,
11,2.9577241,
9,2.9611928,
11,2.9614129,
9,2.9765054,
7,2.9840961,
11,2.9859320,
5,2.9867316,
17,2.9886935,
19,3.0038899,
13,3.0061390,
9,3.0188801,
13,3.0322988,
7,3.0639885,
17,3.0650373,
23,3.0691561,
17,3.0851645,
15,3.0925716,
11,3.0984995,
9,3.0996953,
9,3.1176931,
15,3.1193362,
11,3.1197590,
11,3.1204033,
19,3.1269055,
13,3.1328648,
21,3.1391000,
11,3.1447367,
13,3.1483034,
7,3.1570740,
13,3.1590235,
15,3.1737830,
21,3.1763932,
11,3.1841539,
15,3.1870146,
9,3.1930807,
15,3.2063841,
19,3.2066595,
19,3.2077112,
13,3.2087450,
13,3.2105636,
17,3.2164696,
9,3.2257228,
11,3.2284118,
17,3.2351543,
19,3.2359380,
15,3.2405473,
7,3.2427405,
9,3.2439829,
11,3.2482418,
13,3.2494996,
13,3.2529739,
17,3.2568263,
15,3.2572186,
17,3.2829731,
11,3.2922765,
7,3.2960985,
11,3.3054189,
13,3.3130140,
23,3.3211138,
11,3.3265913,
7,3.3299210,
13,3.3365251,
13,3.3467060,
9,3.3468231,
11,3.3503747,
17,3.3697540,
19,3.3721315,
15,3.3761698,
15,3.3856064,
13,3.3892619,
21,3.3947257,
9,3.3961609,
15,3.4045363,
11,3.4055764,
17,3.4193286,
13,3.4197343,
15,3.4251306,
9,3.4256731,
19,3.4312380,
11,3.4402151,
9,3.4439481,
7,3.4478877,
13,3.4491578,
15,3.4495957,
7,3.4516322,
11,3.4537579,
13,3.4566070,
13,3.4631313,
21,3.4687219,
15,3.4737377,
11,3.4747867,
19,3.4769225,
13,3.4782456,
9,3.4818227,
7,3.4851508,
11,3.4876511,
7,3.4996841,
15,3.5072739,
7,3.5075621,
9,3.5158675,
17,3.5207965,
9,3.5218245,
19,3.5219519,
11,3.5355752,
17,3.5433452,
21,3.5457211,
9,3.5509418,
17,3.5583278,
9,3.5650440,
5,3.5693934,
19,3.5757011,
13,3.5775567,
17,3.5801982,
15,3.5854295,
11,3.5931538,
7,3.5951093,
23,3.5972553,
11,3.6041564,
5,3.6054105,
13,3.6127432,
13,3.6144860,
