g,LeveleV
5,0.00000,
3,0.56393,
1,0.65872,
5,1.81566,
1,4.10135,
5,14.373603,
3,14.801262,
1,15.069406,
1,17.165202,
3,17.168212,
5,17.169406,
7,17.170888,
9,17.190304,
3,17.590402,
5,18.066837,
5,18.325429,
7,18.440829,
3,18.482554,
3,18.793548,
5,19.039410,
1,19.143124,
7,19.180338,
9,19.351697,
7,19.837029,
9,19.888908,
11,19.974922,
9,20.189717,
3,20.242766,
5,20.288258,
7,20.464020,
5,20.514847,
3,21.102396,
5,21.188768,
1,21.324770,
5,21.382994,
3,21.447172,
7,21.629161,
7,21.676239,
9,21.702564,
5,21.723415,
3,21.764660,
5,21.793774,
7,21.885693,
5,21.919259,
1,22.099380,
3,22.101300,
3,22.271137,
5,22.327440,
1,22.346555,
5,22.347791,
3,22.473805,
3,22.597971,
7,22.684996,
7,22.923664,
5,23.022456,
3,23.337946,
5,23.379594,
3,23.585044,
3,23.646710,
5,23.891984,
5,24.009753,
7,24.031250,
5,24.035001,
3,24.067844,
7,24.172308,
7,24.236183,
9,24.260546,
7,24.336391,
5,24.562234,
1,24.646677,
3,24.651078,
5,25.155890,
3,25.695354,
5,25.851944,
3,25.864287,
3,25.947960,
1,26.010191,
7,26.020381,
5,26.299951,
3,26.317350,
5,26.415767,
5,26.721220,
1,26.842635,
3,26.844388,
5,26.846142,
7,26.848131,
9,26.855511,
3,26.951175,
5,27.448687,
7,27.495681,
3,27.497750,
5,28.902074,
1,28.905521,
9,28.919790,
5,28.931251,
3,29.014873,
7,29.059434,
7,29.082588,
5,29.158831,
9,29.180492,
3,29.187090,
9,29.262809,
5,29.282912,
7,29.321552,
5,29.403630,
3,29.411375,
1,29.430526,
3,29.504579,
5,29.583614,
7,29.759332,
5,30.646034,
7,30.648076,
1,30.862835,
3,30.892804,
5,30.916930,
3,30.926328,
3,30.974683,
1,31.071757,
5,31.109010,
7,31.244810,
1,31.258341,
3,31.971241,
,35.838,

#ignore,test#8.05
