g,LeveleV
4,0.0000,
2,0.2762,
2,38.6250,
6,67.41274,
4,67.58845,
2,67.68984,
4,68.64585,
2,68.85362,
6,72.22853,
4,72.23052,
6,73.95928,
4,74.02671,
2,74.09092,
8,74.77959,
6,74.88684,
4,74.96864,
2,75.01459,
6,75.36897,
4,75.54429,
2,75.75226,
4,75.90714,
4,75.94052,
2,75.99531,
2,77.37973,
6,79.08700,
8,79.11592,
4,79.92560,
6,79.94332,
4,80.59737,
2,80.72536,
8,83.16688,
6,83.19697,
4,83.23358,
2,83.26399,
10,83.73523,
8,83.82265,
6,83.91578,
4,83.98242,
8,83.99333,
2,84.05881,
6,84.11027,
4,84.11439,
6,84.19777,
4,84.31343,
6,84.37040,
2,84.43613,
4,84.61584,
2,84.66277,
4,84.66751,
10,87.91324,
8,87.91362,
4,88.23121,
2,88.26193,
2,88.29219,
6,88.45169,
4,88.48535,
6,88.56643,
8,88.56846,
6,89.24194,
4,89.39801,
2,89.51681,
4,89.67372,
2,89.86577,
6,93.35163,
4,93.35978,
6,93.83944,
4,93.84064,
2,95.1379,
6,95.1565,
4,95.193,
4,95.2563,
6,95.2867,
2,95.3880,
4,95.3960,
6,95.4771,
10,95.57124,
8,95.57450,
6,95.58077,
8,95.58283,
4,95.5854,
4,95.60784,
6,95.61210,
12,95.63687,
10,95.63739,
2,95.66138,
4,95.66405,
4,95.82110,
6,95.82265,
10,95.83137,
8,95.83302,
8,95.86814,
6,95.86980,
8,95.93240,
6,95.93372,
4,97.6146,
4,97.7779,
2,97.9328,
2,98.8223,
4,99.4656,
2,99.4733,
6,99.5536,
4,99.5660,
2,99.6528,
2,99.96966,
4,99.97001,
12,100.03087,
10,100.03087,
6,100.04399,
4,100.04428,
6,100.11166,
8,100.11178,
8,100.13061,
10,100.13089,
2,100.2989,
6,100.3190,
2,100.3361,
4,100.4581,
6,100.4726,
2,100.4882,
4,100.500,
10,100.50825,
8,100.50892,
12,100.54154,
10,100.54163,
12,100.54588,
10,100.54608,
8,100.54616,
10,100.54631,
6,100.55327,
8,100.55344,
12,100.55849,
14,100.55852,
4,100.56326,
6,100.56369,
6,100.5827,
4,100.6613,
6,100.76903,
8,100.76914,
10,100.77170,
12,100.77185,
10,100.78167,
8,100.78170,
10,100.86609,
8,100.86620,
6,102.0060,
4,102.0060,
4,104.5229,
4,104.6394,
2,104.6471,
2,104.6806,
6,104.6952,
4,104.6952,
6,104.9255,
4,104.9255,
6,104.98743,
4,104.98743,
14,104.99710,
12,104.99710,
8,105.00548,
6,105.00548,
10,105.01935,
8,105.01935,
12,105.02059,
10,105.02059,
,109.2654,
,109.4865,
,109.5781,
,113.0997,
,118.8468,

#ignore,test#5.52
