g,LeveleV
6,0.000000,
2,1.460950,
4,1.492033,
6,1.539547,
8,1.599437,
10,1.668914,
6,1.884467,
8,1.900747,
10,1.912795,
12,1.915180,
6,1.945463,
4,1.946448,
2,1.970124,
2,2.082456,
8,2.101133,
4,2.129317,
6,2.150394,
6,2.782746,
4,2.834819,
12,2.849216,
14,2.882408,
10,2.954898,
8,2.957438,
6,2.967482,
4,2.992687,
2,3.021758,
8,3.038766,
4,3.057351,
6,3.079283,
6,3.113525,
8,3.141955,
8,3.228695,
10,3.232094,
8,3.273878,
10,3.284112,
2,3.298420,
12,3.315272,
14,3.361686,
8,3.398444,
12,3.425311,
4,3.425380,
10,3.437423,
6,3.456542,
6,3.580269,
4,3.581121,
2,3.589387,
8,3.594173,
6,3.598284,
10,3.599778,
6,3.682246,
8,3.721926,
10,3.745992,
12,3.768038,
2,3.982873,
6,4.076545,
10,4.097104,
4,4.102176,
8,4.109617,
10,4.123028,
4,4.156590,
8,4.159581,
12,4.166002,
6,4.199310,
2,4.202452,
4,4.267444,
14,4.351778,
12,4.389787,
6,4.499238,
8,4.555341,
8,4.640908,
10,4.718080,
4,4.865568,
6,4.948575,
6,5.135592,
4,5.150552,
2,5.191672,
8,5.228327,
10,5.245352,
6,5.322064,
8,5.330351,
10,5.481609,
2,5.685057,
4,5.721638,
6,5.779417,
2,5.853091,
8,5.856019,
10,5.951176,
4,5.954025,
6,6.057939,
12,6.070227,
4,6.080287,
8,6.134867,
6,6.150700,
2,6.192943,
4,6.223015,
8,6.236720,
6,6.270793,
10,6.286683,
4,6.369428,
6,6.413999,
8,6.474120,
10,6.551709,
2,6.724754,
4,6.780399,
6,6.845893,
8,6.906734,
2,7.106718,
8,7.177701,
4,7.208534,
10,7.215469,
2,7.256423,
12,7.285429,
6,7.321679,
6,7.358207,
8,7.374374,
14,7.376047,
10,7.399346,
4,7.419301,
8,7.455836,
10,7.467196,
8,7.526109,
12,7.553679,
10,7.559706,
6,7.562103,
12,7.577441,
2,7.579681,
4,7.619668,
14,7.643348,
4,7.655600,
2,7.698929,
16,7.705824,
6,7.729456,
6,7.739772,
8,7.747993,
4,7.755341,
6,7.760733,
12,7.777324,
8,7.800830,
2,7.803249,
10,7.805270,
14,7.808555,
4,7.811324,
8,7.812522,
6,7.816146,
8,7.823977,
12,7.836723,
8,7.847980,
6,7.859671,
10,7.872692,
10,7.908097,
8,7.919699,
4,7.923074,
10,7.951134,
12,7.952344,
6,7.955798,
8,7.960169,
10,7.975457,
6,7.983918,
4,8.028059,
8,8.040651,
12,8.068236,
14,8.073210,
8,8.091327,
6,8.092792,
10,8.094008,
12,8.111623,
4,8.114059,
10,8.145131,
6,8.149758,
8,8.162034,
6,8.193162,
8,8.193812,
2,8.229284,
10,8.231492,
4,8.232481,
6,8.265776,
8,8.271772,
12,8.275167,
8,8.355471,
6,8.388539,
6,8.395332,
8,8.401206,
4,8.408807,
14,8.417145,
6,8.432899,
10,8.437431,
8,8.453205,
10,8.471034,
4,8.485684,
12,8.489550,
2,8.510957,
4,8.542858,
14,8.543578,
16,8.560793,
2,8.561078,
6,8.645406,
10,8.679370,
8,8.691484,
12,8.762034,
6,8.767307,
4,8.770394,
10,8.804267,
8,8.826873,
12,8.870643,
10,8.916971,
2,8.922684,
4,8.931698,
6,8.986894,
6,9.029722,
8,9.054849,
4,9.077995,
2,9.118635,
4,9.181076,
6,9.192994,
8,9.235774,
8,9.267763,
6,9.281316,
6,9.289661,
10,9.383825,
6,9.399319,
6,9.400457,
8,9.402264,
6,9.448410,
8,9.463094,
10,9.495280,
10,9.501824,
8,9.505500,
12,9.629099,
6,9.970877,
8,10.108056,
10,10.235751,
10,10.329729,
8,10.399069,
10,10.410318,
12,10.476231,
8,10.732846,
6,10.748614,
4,10.790791,
,16.16,

#ignore,test#35.05
