g,LeveleV
5,0.0000000,
3,0.0196224,
1,0.0281416,
5,1.9673642,
1,4.1897463,
5,9.1460911,
3,9.5213638,
3,10.7402250,
5,10.7404756,
7,10.7409314,
3,10.9887923,
5,10.9888616,
1,10.9888811,
5,11.8376056,
3,11.9303856,
9,12.0786187,
7,12.0786294,
5,12.0786446,
3,12.0786574,
1,12.0786635,
3,12.0870184,
5,12.0870271,
7,12.0870382,
3,12.2859622,
5,12.2860456,
7,12.2861939,
3,12.3588649,
5,12.3588750,
1,12.3589072,
7,12.5391924,
5,12.5406949,
3,12.5416739,
5,12.6608569,
3,12.6974691,
5,12.7284690,
9,12.7536973,
7,12.7537024,
5,12.7537097,
3,12.7537158,
1,12.7537188,
7,12.7590123,
5,12.7590208,
3,12.7590265,
11,12.7664358,
9,12.7664358,
7,12.7664358,
5,12.7664358,
3,12.7664358,
9,12.7664475,
7,12.7664475,
5,12.7664475,
3,12.8479560,
5,12.8480003,
7,12.8480623,
5,12.8782347,
3,12.8782422,
1,12.8782699,
5,13.0207346,
3,13.0388270,
9,13.0661186,
7,13.0661215,
5,13.0661255,
3,13.0661288,
1,13.0661304,
7,13.0690514,
5,13.0690514,
3,13.0690514,
11,13.0730978,
9,13.0730978,
7,13.0730978,
5,13.0730978,
3,13.0730978,
9,13.0731076,
7,13.0731076,
5,13.0731076,
3,13.1160938,
5,13.1161142,
7,13.1161465,
5,13.1314183,
3,13.1314183,
1,13.1314183,
5,13.2099403,
3,13.2201789,
9,13.2354926,
7,13.2354940,
5,13.2354959,
3,13.2354975,
1,13.2354984,
7,13.2372725,
5,13.2372725,
3,13.2372725,
11,13.2396725,
9,13.2396725,
7,13.2396725,
5,13.2396725,
3,13.2396725,
9,13.2396776,
7,13.2396776,
5,13.2396776,
11,13.2400126,
13,13.2400126,
9,13.2400126,
7,13.2400126,
11,13.2400126,
9,13.2400126,
7,13.2400126,
5,13.2400126,
5,13.3216106,
3,13.3279572,
9,13.3374112,
7,13.3374122,
5,13.3374136,
3,13.3374147,
1,13.3374152,
7,13.3385644,
5,13.3385644,
3,13.3385644,
11,13.3400972,
9,13.3400972,
7,13.3400972,
5,13.3400972,
3,13.3400972,
9,13.3400981,
7,13.3400981,
5,13.3400981,
5,13.3929467,
3,13.3972365,
9,13.4034447,
7,13.4034453,
5,13.4034463,
3,13.4034470,
1,13.4034474,
7,13.40443,
5,13.40443,
3,13.40443,
5,13.44137,
3,13.44439,
9,13.448595,
7,13.448595,
5,13.448595,
3,13.448595,
1,13.448595,
7,13.44940,
5,13.44940,
3,13.44940,
3,13.47776,
9,13.480992,
7,13.480992,
5,13.480992,
3,13.480992,
1,13.480992,
7,13.48156,
5,13.48156,
3,13.48156,
3,13.50264,
7,13.50525,
5,13.50525,
3,13.50525,
3,13.52122,
7,13.52337,
5,13.52337,
3,13.52337,
3,13.53557,
7,13.53738,
5,13.53738,
3,13.53738,
3,13.54725,
7,13.54877,
5,13.54877,
3,13.54937,
3,13.55656,
7,13.55754,
5,13.55754,
3,13.55754,
3,13.56417,
7,13.56505,
5,13.56505,
3,13.56505,
3,13.57065,
7,13.57101,
5,13.57101,
3,13.57101,
3,13.57539,
5,13.57602,
7,13.57615,
3,13.57615,
7,13.58039,
5,13.58039,
3,13.58039,
3,13.58040,
7,13.58389,
5,13.58389,
3,13.58389,
3,13.58399,
3,13.58730,
7,13.58734,
5,13.58734,
3,13.58734,
3,13.58997,
7,13.58997,
5,13.58997,
3,13.58997,
3,13.59239,
7,13.59239,
5,13.59239,
3,13.59239,
3,13.59458,
7,13.59458,
5,13.59458,
3,13.59458,
3,13.59628,
7,13.59628,
5,13.59628,
3,13.59628,
3,13.59778,
7,13.59778,
5,13.59778,
3,13.59778,
3,13.59936,
7,13.59936,
5,13.59936,
3,13.59936,
3,13.60056,
7,13.60056,
5,13.60056,
3,13.60056,
3,13.60174,
7,13.60174,
5,13.60174,
3,13.60174,
3,13.60277,
7,13.60277,
5,13.60277,
3,13.60277,
,13.618055,
3,14.0355624,
7,14.0467669,
5,14.0467717,
3,14.0472014,
9,14.0987942,
7,14.0996582,
5,14.1003714,
5,14.1231587,
3,14.1244523,
1,14.1252140,
7,14.1337323,
3,14.3720180,
5,14.4604127,
7,15.17811,
5,15.17978,
3,15.18075,
5,15.2249696,
5,15.2868521,
3,15.2941343,
1,15.2980803,
9,15.4005245,
7,15.4011962,
5,15.4018277,
9,15.4036294,
11,15.4038114,
1,15.4041162,
7,15.40468,
7,15.4053994,
5,15.40599,
9,15.4061252,
3,15.40677,
3,15.4080,
5,15.4136133,
7,15.4145560,
3,15.41574,
7,15.5941737,
5,15.5950907,
3,15.5957253,
5,15.6550999,
3,15.6641915,
1,15.6695881,
7,15.7810344,
5,15.7817439,
3,15.7821517,
3,15.8287841,
5,15.9437376,
7,15.99133,
5,15.99275,
3,15.99374,
5,16.0103676,
9,16.0766475,
9,16.0782511,
11,16.0783356,
1,16.0785843,
3,16.0786,
7,16.07980,
7,16.0799432,
5,16.08044,
9,16.0806911,
3,16.08112,
5,16.0846,
3,16.08529,
7,16.0853444,
11,16.0904139,
11,16.0906592,
13,16.0906605,
11,16.0931280,
5,16.1142263,
3,16.1153897,
1,16.1160306,
1,16.2348533,
7,16.34787,
5,16.34924,
3,16.35055,
5,16.3580,
9,16.3895544,
9,16.3904688,
11,16.3905122,
3,16.3911,
7,16.39113,
5,16.39242,
9,16.3929029,
3,16.39296,
3,16.39475,
5,16.3951,
7,16.396,
5,16.40449,
3,16.40512,
7,16.53575,
5,16.53686,
3,16.53828,
5,16.5421,
7,16.56017,
5,16.56017,
3,16.56017,
3,16.5604,
3,16.56155,
5,16.5627,
7,16.5632,
5,16.56702,
3,16.56757,
7,16.64678,
5,16.64778,
3,16.64923,
5,16.6517,
7,16.66162,
5,16.66162,
3,16.66162,
3,16.6619,
3,16.66379,
5,16.6646,
7,16.6646,
5,16.66613,
3,16.66676,
7,16.71791,
5,16.71849,
5,16.7216,
7,16.72785,
3,16.72785,
5,16.72785,
3,16.72785,
3,16.7281,
5,16.730,
7,16.730,
5,16.73090,
3,16.73131,
7,16.76597,
5,16.76597,
5,16.7691,
7,16.77304,
3,16.77304,
5,16.77304,
3,16.77304,
3,16.7732,
5,16.77550,
5,16.7756,
7,16.7756,
3,16.77568,
7,16.80014,
7,16.80503,
3,16.80503,
5,16.80503,
3,16.80503,
3,16.8051,
5,16.80734,
3,16.80757,
5,16.8079,
7,16.8079,
5,16.82239,
3,16.82239,
1,16.82239,
7,16.82488,
5,16.8275,
7,16.82867,
3,16.82867,
5,16.82867,
3,16.82867,
3,16.8291,
3,16.83107,
5,16.83121,
5,16.8315,
7,16.8315,
7,16.84358,
7,16.84653,
3,16.84653,
5,16.84653,
3,16.84653,
3,16.8478,
3,16.84907,
5,16.84934,
5,16.8497,
7,16.8497,
7,16.86016,
3,16.86016,
5,16.86016,
3,16.86016,
5,16.9,
3,16.9,
5,16.86321,
3,16.86330,
7,16.87069,
3,16.87069,
5,16.87069,
3,16.87069,
3,16.8724,
5,16.87426,
7,16.87907,
3,16.87907,
5,16.87907,
3,16.87907,
5,16.88311,
7,16.88595,
3,16.88595,
5,16.88595,
3,16.88595,
5,16.89188,
3,16.9056,
,16.942152,
,16.944605,
5,17.1009,
5,17.10319,
3,17.10319,
1,17.10319,
7,17.10517,
5,17.10517,
3,17.10517,
3,17.1075,
5,17.68641,
3,17.68641,
1,17.68641,
3,17.6979,
5,17.7743,
5,17.77480,
7,17.77480,
3,17.77480,
1,17.77480,
5,17.77480,
3,17.77480,
3,17.7774,
5,18.04175,
3,18.04175,
1,18.04175,
3,18.055,
5,18.0853,
5,18.08564,
7,18.08564,
3,18.08564,
1,18.08564,
5,18.08564,
3,18.08564,
3,18.0877,
5,18.22924,
3,18.22924,
1,18.22924,
3,18.2327,
5,18.2541,
5,18.25421,
7,18.25421,
3,18.25421,
1,18.25421,
5,18.25421,
3,18.25421,
3,18.255,
5,18.33988,
3,18.33988,
1,18.33988,
3,18.3425,
5,18.3552,
5,18.35558,
7,18.35558,
3,18.35558,
1,18.35558,
5,18.35558,
3,18.35558,
3,18.3569,
5,18.41110,
3,18.41110,
1,18.41110,
3,18.4123,
5,18.42119,
7,18.42119,
3,18.42119,
1,18.42119,
5,18.42119,
3,18.42119,
5,18.4213,
3,18.4218,
5,18.45913,
3,18.45913,
1,18.45913,
3,18.4601,
5,18.4663,
5,18.46688,
7,18.46688,
3,18.46688,
1,18.46688,
5,18.46688,
3,18.46688,
3,18.4670,
5,18.49337,
3,18.49337,
1,18.49337,
3,18.4945,
5,18.49852,
7,18.49852,
3,18.49852,
1,18.49852,
5,18.49852,
3,18.49852,
5,18.4988,
5,18.51821,
3,18.51821,
1,18.51821,
5,18.52207,
7,18.52207,
3,18.52207,
1,18.52207,
5,18.52207,
3,18.52207,
5,18.5222,
5,18.53742,
3,18.53742,
1,18.53742,
5,18.54052,
7,18.54052,
3,18.54052,
1,18.54052,
5,18.54052,
3,18.54052,
5,18.55198,
3,18.55198,
1,18.55198,
5,18.55451,
7,18.55451,
3,18.55451,
1,18.55451,
5,18.55451,
3,18.55451,
5,18.56600,
7,18.56600,
3,18.56600,
1,18.56600,
5,18.56600,
3,18.56600,
5,18.57477,
7,18.57477,
3,18.57477,
1,18.57477,
5,18.57477,
3,18.57477,
5,18.58817,
7,18.58817,
3,18.58817,
1,18.58817,
5,18.58817,
3,18.58817,
5,18.59286,
7,18.59286,
3,18.59286,
1,18.59286,
5,18.59286,
3,18.59286,
5,18.59773,
7,18.59773,
3,18.59773,
1,18.59773,
5,18.59773,
3,18.59773,
,18.63552,

#ignore,test#9.63
