g,LeveleV
9,0.000000,
7,0.477247,
5,0.495116,
7,0.567650,
3,0.763050,
1,0.783206,
9,1.554205,
5,1.876016,
11,1.956552,
13,2.073103,
7,2.116788,
5,2.271682,
3,2.487209,
5,2.620576,
9,2.658761,
7,2.696038,
9,2.788055,
5,2.845301,
11,2.902300,
7,2.987668,
7,3.215689,
5,3.238281,
9,3.429753,
13,3.457299,
7,3.535116,
13,3.550606,
11,3.558658,
5,3.625038,
9,3.693933,
7,3.696841,
3,3.743876,
9,4.073842,
7,4.427503,
5,4.522187,
9,4.569567,
11,4.798930,
7,4.816446,
5,4.939853,
9,5.035204,
13,5.056446,
7,5.089539,
11,5.112719,
15,5.315436,
9,5.393549,
11,5.455026,
7,5.455341,
7,5.607033,
5,5.607199,
9,5.864891,
13,5.924605,
11,5.988698,
7,6.077673,
9,6.261118,
9,6.362781,
9,6.653412,
11,6.826487,
13,6.926783,
5,7.441284,
11,7.446998,
7,7.649281,
9,8.74844,
5,9.105791,
7,9.196136,
3,9.290514,
5,9.357586,
7,9.499782,
5,9.807713,
3,9.814760,
9,9.860742,
1,9.91120,
7,9.920920,
5,9.995615,
11,10.028924,
13,10.068336,
7,10.075919,
9,10.330639,
11,10.442391,
3,10.462746,
9,10.607883,
7,10.659439,
7,10.715843,
5,10.850180,
9,10.898998,
5,10.943421,
7,11.020123,
5,11.032252,
3,11.073646,
5,11.084370,
11,11.198560,
9,11.202802,
9,11.253050,
1,11.26411,
13,11.266758,
7,11.272465,
3,11.277443,
11,11.321044,
15,11.40015,
11,11.405070,
5,11.436513,
3,11.459755,
7,11.466009,
9,11.491785,
13,11.491851,
7,11.530290,
3,11.541850,
13,11.586011,
9,11.591045,
5,11.604946,
5,11.715212,
11,11.722700,
15,11.733800,
7,11.761405,
9,11.765993,
7,11.784919,
7,11.950288,
9,11.952297,
11,11.987158,
5,12.00752,
9,12.018897,
3,12.046393,
5,12.089693,
7,12.110903,
13,12.140429,
9,12.156193,
9,12.213181,
11,12.246992,
5,12.247930,
7,12.24988,
3,12.251879,
7,12.290745,
11,12.323346,
5,12.33720,
5,12.351430,
7,12.361862,
9,12.391143,
5,12.45925,
3,12.51931,
9,12.522376,
7,12.557380,
5,12.557844,
11,12.591410,
9,12.602105,
7,12.60840,
9,12.68443,
15,12.693928,
13,12.696160,
11,12.731407,
5,12.74850,
3,12.75288,
7,12.813483,
13,12.83376,
9,12.853690,
3,12.85787,
7,12.861310,
11,12.913816,
7,12.922165,
5,12.96652,
11,12.978346,
17,12.98999,
9,12.998451,
15,13.033205,
9,13.079787,
9,13.104633,
11,13.187589,
13,13.219102,
7,13.239623,
9,13.349565,
11,13.411453,
9,13.429430,
7,13.46548,
13,13.499210,
11,13.506147,
11,13.638044,
9,13.660237,
7,13.69311,
9,13.69878,
13,13.744746,
7,13.81221,
5,13.82957,
9,13.89788,
11,13.965167,
7,14.04526,
11,14.068152,
9,14.08101,
11,14.18746,
7,14.21186,
13,14.30751,
9,14.38799,
15,14.457352,
13,14.643386,
11,14.70947,
15,14.75242,
9,14.76989,
11,14.78584,
9,15.00907,
13,15.02789,
11,15.21892,
13,15.38050,
11,15.38308,
11,15.57584,
,25.0,

#ignore,test#36.87
