g,LeveleV
1,0.000000,
3,0.020445,
5,0.058163,
5,1.101266,
1,2.675037,
5,5.665708,
3,8.090149,
5,8.092740,
7,8.097057,
5,9.517530,
3,9.523515,
1,9.524852,
5,9.634836,
1,10.736728,
3,10.754880,
5,10.802074,
5,10.886321,
7,10.906494,
9,10.934431,
3,11.021355,
3,12.601220,
3,12.745360,
3,12.790905,
5,12.812420,
5,12.848445,
7,12.853177,
3,12.864093,
1,12.886965,
7,12.900589,
3,12.901028,
5,12.906972,
1,13.046121,
3,13.055830,
5,13.086491,
3,13.142480,
7,13.310975,
5,13.380738,
3,13.669849,
1,13.825188,
5,13.961471,
3,14.672502,
1,15.292731,
3,15.306526,
5,15.360503,
3,15.427634,
5,15.491420,
7,15.514003,
9,15.546519,
5,15.791524,
3,15.820280,
5,15.839663,
7,15.856143,
1,15.857522,
3,15.861806,
5,15.863741,
3,16.007560,
3,16.064553,
5,16.076436,
7,16.120363,
1,16.125151,
7,16.135641,
3,16.139448,
5,16.167512,
3,16.217225,
7,16.231124,
5,16.235643,
7,16.241066,
9,16.245017,
5,16.285621,
7,16.320184,
9,16.327323,
3,16.336510,
11,16.358511,
9,16.375553,
7,16.382337,
5,16.386182,
3,16.412004,
5,16.415126,
1,16.477625,
1,17.079702,
3,17.088311,
5,17.148142,
3,17.174502,
5,17.178317,
7,17.201990,
9,17.238726,
5,17.260178,
3,17.299063,
5,17.311005,
7,17.333518,
5,17.348308,
3,17.352575,
1,17.354233,
7,17.475606,
7,17.522007,
5,17.523366,
7,17.525682,
9,17.527650,
3,17.542260,
9,17.579416,
7,17.579427,
9,17.580444,
11,17.580486,
7,17.582571,
9,17.586899,
11,17.606672,
7,17.617033,
5,17.618655,
9,17.620476,
3,17.640007,
5,17.640557,
9,17.642363,
11,17.642397,
9,17.650093,
7,17.650113,
13,17.657637,
11,17.657699,
5,17.664315,
7,17.664350,
5,18.210964,
7,18.212582,
7,18.214682,
9,18.215977,
9,18.250252,
7,18.250267,
9,18.250459,
11,18.250504,
7,18.273149,
9,18.273794,
11,18.288833,
9,18.298716,
9,18.314578,
11,18.314605,
9,18.318729,
7,18.318747,
13,18.323842,
11,18.323901,
5,18.327751,
7,18.327782,
9,18.654098,
9,18.654127,
11,18.654131,
7,18.654131,
9,18.719858,
11,18.719874,
9,18.722345,
7,18.722358,
13,18.725815,
11,18.725869,
5,18.728284,
7,18.728326,
9,18.982731,
11,18.982743,
13,18.986768,
11,18.986801,
7,19.002644,
5,19.018290,
3,19.028727,
13,19.165689,
11,19.165713,
,19.76949,
,19.83879,

#ignore,test#10.41
