g,LeveleV
1,0.0000,
1,7.4883,
3,7.9835,
5,9.79284,
3,11.82067,
1,17.6741,
3,18.60801,
5,18.83128,
1,19.06671,
5,19.15481,
3,19.27105,
7,19.348,
3,19.52058,
5,19.58020,
7,19.70813,
5,20.43482,
1,21.19104,
3,21.21139,
9,21.4901,
5,21.57155,
3,21.64775,
5,21.82406,
3,21.96769,
5,22.05759,
5,22.1227,
7,22.18784,
3,22.84633,
1,23.3853,
7,23.53037,
5,23.59268,
9,23.61019,
7,23.66873,
1,23.9141,
7,24.40588,
3,24.46439,
3,24.53558,
5,24.71549,
1,24.72252,
3,24.97026,
5,24.99488,
7,25.05061,
5,25.20619,
1,25.6410,
3,25.6621,
5,25.9030,
3,25.9521,
5,26.5864,
7,26.5918,
9,26.5929,
7,26.6375,
9,26.98310,
7,26.98334,
11,26.98629,
9,26.98648,
3,27.1952,
1,27.2654,
3,27.4259,
5,27.4386,
7,27.4749,
5,27.5168,
3,27.8642,
1,28.0971,
3,28.2168,
5,28.2445,
7,28.2732,
9,28.4971,
7,28.4973,
9,28.5002,
11,28.50031,
4,28.5269,
3,28.6346,
1,28.6706,
3,28.7667,
5,28.7764,
7,28.7983,
5,28.8191,
5,28.9900,
9,29.4105,
7,29.4114,
9,29.4139,
11,29.4140,
4,29.4325,
9,30.0048,
7,30.0048,
11,30.0070,
9,30.0070,
4,30.0203,
3,30.0440,
4,30.4230,
5,30.5180,
,31.9373,
3,34.18,
3,35.70,
3,36.062,
3,36.322,
3,38.576,
3,38.92,
3,39.25,
3,40.74,
3,40.82,
3,40.94,
3,41.65,
3,41.75,
3,41.91,
3,42.46,
3,42.89,
3,42.89,
3,43.20,
3,43.47,
3,43.61,
3,43.72,
3,43.85,
3,44.46,
3,44.92,
3,45.12,
3,45.42,
3,45.55,
3,45.75,
3,45.86,
3,46.00,
3,46.08,
3,46.25,
3,46.39,
3,46.49,

#ignore,test#1.0
