g,LeveleV
10,0.000000,
12,0.170677,
14,0.352952,
16,0.543187,
10,0.549525,
12,0.603374,
10,0.721944,
12,0.782741,
8,0.810300,
14,0.818742,
12,0.832457,
12,0.854617,
8,0.944442,
14,0.946019,
14,0.985837,
8,0.993503,
10,0.995499,
12,1.001853,
10,1.022897,
10,1.031582,
16,1.036993,
10,1.071698,
14,1.082816,
12,1.094664,
12,1.095452,
12,1.149179,
14,1.173440,
12,1.175804,
16,1.196063,
12,1.199548,
14,1.200693,
8,1.229696,
14,1.272885,
10,1.284068,
14,1.290775,
14,1.292372,
12,1.293372,
16,1.297709,
16,1.322787,
18,1.329166,
12,1.351932,
10,1.353957,
10,1.355974,
6,1.377178,
10,1.386690,
12,1.398900,
12,1.403806,
14,1.433603,
10,1.452258,
14,1.456363,
18,1.458586,
16,1.464836,
20,1.477050,
12,1.480891,
14,1.492977,
12,1.510144,
14,1.515347,
12,1.516900,
10,1.580315,
20,1.605045,
16,1.612049,
12,1.616227,
14,1.629971,
22,1.636435,
14,1.642879,
10,1.645599,
18,1.646568,
10,1.665420,
8,1.668117,
10,1.686893,
12,1.701994,
8,1.708675,
10,1.713773,
8,1.719314,
12,1.719948,
10,1.732648,
14,1.746640,
10,1.753053,
12,1.757898,
10,1.758888,
10,1.768208,
10,1.769615,
18,1.777959,
10,1.793844,
14,1.794063,
12,1.798404,
12,1.817688,
12,1.830046,
10,1.830542,
16,1.835054,
12,1.857474,
12,1.873587,
14,1.879118,
12,1.889291,
14,1.905924,
12,1.917983,
10,1.925670,
12,1.930099,
14,1.943786,
14,1.955551,
14,1.965210,
12,1.969232,
12,1.971960,
16,1.983104,
14,1.992415,
12,1.998778,
14,2.014857,
16,2.020248,
12,2.022987,
12,2.030547,
16,2.039707,
14,2.061474,
16,2.064417,
12,2.080268,
14,2.085887,
12,2.099782,
14,2.105133,
16,2.140241,
12,2.158012,
16,2.161042,
12,2.166097,
18,2.169035,
14,2.170242,
12,2.179383,
18,2.193920,
18,2.213800,
10,2.247282,
12,2.249609,
10,2.255176,
12,2.257018,
12,2.261136,
16,2.266172,
12,2.270042,
18,2.278872,
16,2.289612,
16,2.299725,
18,2.300788,
10,2.303408,
10,2.310592,
12,2.331901,
14,2.334549,
10,2.341579,
12,2.347627,
8,2.354100,
12,2.370897,
20,2.376987,
14,2.382074,
10,2.393333,
14,2.394874,
10,2.397837,
12,2.398257,
16,2.400902,
14,2.404106,
12,2.414561,
16,2.425976,
10,2.432575,
8,2.436857,
8,2.448576,
12,2.457452,
12,2.462561,
10,2.463710,
12,2.468542,
12,2.469810,
10,2.475216,
12,2.490751,
10,2.498852,
12,2.500978,
10,2.503346,
12,2.509901,
12,2.510623,
8,2.513093,
12,2.513312,
14,2.515711,
12,2.518774,
14,2.521773,
10,2.522369,
10,2.528820,
14,2.534174,
8,2.537632,
10,2.538782,
8,2.547005,
12,2.552081,
10,2.556653,
6,2.556767,
14,2.556895,
16,2.560523,
8,2.560690,
12,2.570428,
8,2.577896,
14,2.578654,
14,2.582237,
8,2.588039,
10,2.588602,
10,2.596058,
12,2.596653,
12,2.601554,
12,2.605313,
8,2.612674,
8,2.616796,
12,2.618632,
