g,LeveleV
17,0.0000000,
15,0.1260151,
15,0.3731986,
15,0.4011124,
17,0.4244345,
13,0.4266079,
13,0.4392016,
11,0.5156236,
13,0.638175,
13,0.641217,
11,0.649055,
11,0.714308,
13,0.731302,
15,0.771602,
13,0.790145,
13,0.797061,
11,0.816174,
11,0.857040,
15,0.891180,
11,1.026346,
15,1.103908,
13,1.114754,
17,1.149713,
17,1.383686,
17,1.396255,
13,1.443007,
15,1.464646,
15,1.512657,
19,1.676049,
17,1.685372,
13,1.686832,
13,1.855417,
13,1.862714,
11,1.886121,
17,1.895614,
15,1.964460,
9,2.042646,
11,2.115360,
15,2.123331,
7,2.166649,
13,2.208358,
17,2.222554,
15,2.329728,
17,2.443761,
17,2.608077,
15,2.668271,
15,2.728711,
15,2.932680,
13,2.935714,
17,3.1167706,
15,3.146285,
15,3.1993688,
17,3.2205094,
15,3.271411,
13,3.314284,
15,3.377856,
17,3.4734018,
15,3.4975236,
13,3.5136235,
19,3.5321623,
17,3.541108,
15,3.5520351,
15,3.608037,
15,3.646006,
13,3.695146,
13,3.7087306,
11,3.718627,
11,3.718952,
13,3.727993,
11,3.737959,
15,3.7475296,
15,3.764748,
15,3.778557,
13,3.798811,
7,3.806765,
13,3.814255,
17,3.8199023,
15,3.830550,
17,3.8532380,
15,3.888871,
13,3.913737,
15,3.942030,
13,3.952511,
11,3.970430,
11,4.004248,
11,4.013257,
13,4.047646,
13,4.052696,
13,4.073329,
13,4.152101,
19,4.1528668,
13,4.190779,
13,4.195837,
15,4.199740,
13,4.203885,
15,4.226676,
11,4.248392,
17,4.250470,
11,4.255005,
11,4.273167,
17,4.275053,
13,4.287030,
13,4.297106,
17,4.300210,
13,4.313214,
15,4.315260,
13,4.324026,
15,4.340426,
13,4.348830,
17,4.349398,
15,4.363773,
11,4.367672,
11,4.368270,
11,4.385736,
13,4.395432,
11,4.397474,
15,4.399806,
13,4.412686,
15,4.438433,
13,4.463483,
11,4.470255,
9,4.472626,
13,4.510699,
17,4.538070,
15,4.548442,
9,4.600988,
15,4.610008,
17,4.611451,
15,4.613498,
13,4.632694,
11,4.639869,
13,4.652735,
13,4.657495,
15,4.676859,
15,4.681021,
15,4.683369,
17,4.702254,
13,4.715139,
13,4.723362,
13,4.743749,
15,4.752476,
13,4.784907,
11,4.839738,
13,4.876920,
11,4.911274,
13,5.000061,
15,5.366354,
,11.513,

#ignore,test#247.01
