g,LeveleV
4,0.00000,
6,0.04737,
2,9.966956,
2,15.860227,
4,15.961675,
4,24.400620,
6,24.411244,
2,26.335154,
2,28.591858,
4,28.630974,
6,29.277045,
8,29.277914,
4,32.091881,
6,32.096667,
2,32.960879,
2,34.061719,
6,34.075795,
4,34.080926,
6,34.200670,
8,34.202522,
8,34.530917,
10,34.530992,
4,35.854493,
6,35.857089,
2,36.327313,
8,37.20095,
10,37.20099,
10,37.214943,
12,37.214943,
4,37.988224,
6,37.989787,
8,38.81126,
10,38.81128,
10,38.820782,
12,38.820782,
12,38.823254,
14,38.823254,
12,39.86480,
14,39.86480,
,43.26717,

#ignore,test#9.72
