g,LeveleV
8,0.000000,
6,1.087840,
10,2.838924,
14,3.137129,
16,3.208567,
12,3.213767,
12,3.254883,
8,3.415424,
18,3.416754,
14,3.560934,
12,3.785528,
10,3.785943,
16,3.801973,
10,3.848162,
14,3.883614,
8,3.889209,
6,3.914243,
8,4.000087,
10,4.066394,
12,4.120754,
6,4.166539,
8,4.169673,
12,4.191013,
10,4.194622,
14,4.230862,
12,4.317977,
10,4.432578,
14,4.509196,
6,4.512001,
8,4.513766,
16,4.521262,
12,4.563873,
10,4.590996,
8,4.633032,
10,4.711816,
8,4.718284,
4,4.733141,
10,4.787070,
12,4.853051,
6,4.869922,
14,4.896920,
12,4.910299,
6,4.944815,
8,4.951273,
8,4.968119,
10,5.009073,
4,5.009407,
6,5.052874,
8,5.112288,
4,5.157205,
14,5.190515,
10,5.290396,
6,5.320791,
12,5.325490,
10,5.334085,
8,5.348616,
4,5.351230,
6,5.426590,
10,5.516775,
8,5.516848,
8,5.670122,
8,5.677809,
8,5.800841,
10,5.804542,
10,5.836003,
12,5.902083,
6,5.904646,
10,6.100852,
8,6.268961,
8,6.332028,
10,6.401827,
6,6.531450,
6,6.641266,
4,6.667666,
8,6.891894,
4,6.910323,
6,6.970106,
8,7.163801,
6,7.318731,
10,7.518501,
12,7.694902,
14,7.758033,
6,7.876394,
8,7.892822,
10,8.363975,
16,8.395663,
8,8.416178,
12,8.514316,
14,8.534969,
10,8.536775,
12,8.768763,
10,8.769745,
10,9.132347,
6,9.156564,
12,9.163626,
8,9.182127,
8,9.284188,
10,9.309804,
8,9.412692,
14,9.440229,
6,9.512254,
10,9.522901,
12,9.553947,
4,9.593895,
8,9.595958,
6,9.637284,
6,9.978641,
12,10.004042,
8,10.044143,
10,10.052127,
8,10.221262,
6,10.237753,
6,10.317569,
4,10.345396,
10,10.364754,
8,10.373955,
8,10.424901,
6,11.044116,
8,11.077630,
10,11.122139,
,23.66,

#ignore,test#19.78
