,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
1,200.038,6.196086,165800000.0,26.01,Fe,II,2.521876,5.5,8.7179,4.5,K88,2.0,10.0
7,200.067,6.195188,1719000.0,26.0,Fe,I,0.914602,4.0,7.109728,3.0,K94,1.0,7.0
27,200.2785,6.188649,11820000.0,26.0,Fe,I,0.9581569999999999,3.0,7.146744,3.0,K94,1.0,7.0
28,200.2831,6.188505,14700000.0,26.0,Fe,I,0.9581569999999999,3.0,7.1466,4.0,K94,1.0,9.0
31,200.3175,6.187443,515700.0,26.0,Fe,I,0.9581569999999999,3.0,7.145538,2.0,K94,1.0,5.0
32,200.3238,6.1872489999999996,1490000.0,26.0,Fe,I,0.9581569999999999,3.0,7.145345,3.0,K94,1.0,7.0
40,200.3606,6.186113,114800000.0,26.0,Fe,I,0.9581569999999999,3.0,7.144208,4.0,K94,1.0,9.0
44,200.391,6.185175,8111000.0,26.01,Fe,II,1.695259,1.5,7.880372,0.5,K88,2.0,2.0
64,200.5592,6.179986,1201000.0,26.0,Fe,I,0.9581569999999999,3.0,7.138081,2.0,K94,1.0,5.0
65,200.5759,6.1794720000000005,622700.0,26.01,Fe,II,2.8281240000000003,3.5,9.007534,4.5,K88,2.0,10.0
68,200.5913,6.179,7145000.0,26.0,Fe,I,0.8589959999999999,5.0,7.037934,4.0,K94,1.0,9.0
70,200.6237,6.178,920100.0,26.0,Fe,I,0.8589959999999999,5.0,7.036934,4.0,K94,1.0,9.0
71,200.6245,6.177975,264300000.0,26.0,Fe,I,0.8589959999999999,5.0,7.036909,6.0,K94,1.0,13.0
72,200.6309,6.17778,23060000.0,26.0,Fe,I,0.8589959999999999,5.0,7.036714,4.0,K94,1.0,9.0
73,200.6317,6.177755,65560000.0,26.0,Fe,I,0.8589959999999999,5.0,7.036689,5.0,K94,1.0,11.0
75,200.6463,6.1773050000000005,72210000.0,26.0,Fe,I,0.8589959999999999,5.0,7.036239,5.0,K94,1.0,11.0
76,200.6551,6.177033,8995000.0,26.0,Fe,I,0.8589959999999999,5.0,7.035966,6.0,K94,1.0,13.0
84,200.7015,6.175607,19480000.0,26.01,Fe,II,2.8281240000000003,3.5,9.003669,2.5,K88,2.0,6.0
87,200.7219,6.174979,1411000.0,26.0,Fe,I,0.8589959999999999,5.0,7.033913,4.0,K94,1.0,9.0
88,200.7222,6.174971,1185000.0,26.01,Fe,II,4.153626,3.5,10.328535,3.5,K88,2.0,8.0
92,200.7441,6.174297,12400000.0,26.01,Fe,II,1.670614,2.5,7.844849000000001,2.5,K88,2.0,6.0
95,200.7708,6.173474,27250000.0,26.01,Fe,II,1.695259,1.5,7.868671000000001,1.5,K88,2.0,4.0
96,200.7715,6.173454,802300.0,26.0,Fe,I,0.914602,4.0,7.087994,3.0,K94,1.0,7.0
99,200.7963,6.172691,618300.0,26.01,Fe,II,5.568756,3.5,11.741385000000001,2.5,K88,2.0,6.0
104,200.8469,6.171137,5383000.0,26.0,Fe,I,0.914602,4.0,7.0856770000000004,3.0,K94,1.0,7.0
105,200.8475,6.171119,2489000.0,26.0,Fe,I,0.914602,4.0,7.085659,3.0,K94,1.0,7.0
106,200.8498,6.171046,43440000.0,26.0,Fe,I,0.914602,4.0,7.085586,4.0,K94,1.0,9.0
107,200.8548,6.170893,416800.0,26.01,Fe,II,5.5705540000000004,2.5,11.741385000000001,2.5,K88,2.0,6.0
108,200.8552,6.170881,91770000.0,26.0,Fe,I,0.914602,4.0,7.085422,5.0,K94,1.0,11.0
109,200.8577,6.1708050000000005,747900.0,26.0,Fe,I,0.914602,4.0,7.085346,4.0,K94,1.0,9.0
111,200.8633,6.1706330000000005,11470000.0,26.0,Fe,I,0.914602,4.0,7.085174,5.0,K94,1.0,11.0
113,200.9031,6.169409,112100000.0,26.0,Fe,I,0.9901110000000001,2.0,7.159459,3.0,K94,1.0,7.0
114,200.9031,6.16941,954600.0,26.01,Fe,II,2.778468,0.5,8.947815,1.5,K88,2.0,4.0
116,200.9107,6.169176,1451000.0,26.0,Fe,I,0.9901110000000001,2.0,7.159225,3.0,K94,1.0,7.0
125,200.9991,6.1664639999999995,24560000.0,26.01,Fe,II,1.964486,4.5,8.130889,5.5,K88,2.0,12.0
