,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
370,202.5824,6.118276,118400000.0,12.0,Mg,I,0.0,0.0,6.118215,1.0,NBS,1.0,3.0
9062,252.0799,4.917018,161700.0,12.0,Mg,I,2.71664,2.0,7.633608000000001,3.0,K,1.0,7.0
9074,252.1212,4.916212000000001,177200.0,12.0,Mg,I,2.71664,2.0,7.632803,3.0,K,1.0,7.0
9096,252.1667,4.915327,195200.0,12.0,Mg,I,2.71664,2.0,7.631917,3.0,K,1.0,7.0
9113,252.2167,4.914351,214900.0,12.0,Mg,I,2.71664,2.0,7.630941,3.0,K,1.0,7.0
9132,252.2721,4.913272,238200.0,12.0,Mg,I,2.71664,2.0,7.629861999999999,3.0,K,1.0,7.0
9151,252.3336,4.912074,264100.0,12.0,Mg,I,2.71664,2.0,7.628665,3.0,K,1.0,7.0
9170,252.4022,4.9107400000000005,294800.0,12.0,Mg,I,2.71664,2.0,7.627331,3.0,K,1.0,7.0
9171,252.4027,4.91073,213700.0,12.0,Mg,I,2.711592,1.0,7.622272,2.0,K,1.0,5.0
9197,252.4789,4.909248000000001,329800.0,12.0,Mg,I,2.71664,2.0,7.625839,3.0,K,1.0,7.0
9210,252.513,4.9085849999999995,242300.0,12.0,Mg,I,2.711592,1.0,7.620127,2.0,K,1.0,5.0
9224,252.5651,4.907573,370700.0,12.0,Mg,I,2.71664,2.0,7.624163,3.0,K,1.0,7.0
9250,252.639,4.906137999999999,276600.0,12.0,Mg,I,2.711592,1.0,7.617681,2.0,K,1.0,5.0
9253,252.6555,4.905818,349700.0,12.0,Mg,I,2.709105,0.0,7.614874,1.0,K,1.0,3.0
9254,252.6625,4.905682,418500.0,12.0,Mg,I,2.71664,2.0,7.622272,3.0,K,1.0,7.0
9285,252.773,4.903537,475700.0,12.0,Mg,I,2.71664,2.0,7.620127,3.0,K,1.0,7.0
9286,252.7836,4.903331,318000.0,12.0,Mg,I,2.711592,1.0,7.614874,2.0,K,1.0,5.0
9300,252.8226,4.902575,403700.0,12.0,Mg,I,2.709105,0.0,7.611631,1.0,K,1.0,3.0
9319,252.8992,4.90109,543100.0,12.0,Mg,I,2.71664,2.0,7.617681,3.0,K,1.0,7.0
9330,252.9509,4.900087999999999,367100.0,12.0,Mg,I,2.711592,1.0,7.611631,2.0,K,1.0,5.0
9347,253.0173,4.898803,470400.0,12.0,Mg,I,2.709105,0.0,7.607858,1.0,K,1.0,3.0
9355,253.0441,4.898283,622800.0,12.0,Mg,I,2.71664,2.0,7.614874,3.0,K,1.0,7.0
9379,253.1458,4.896316000000001,356500.0,12.0,Mg,I,2.711592,1.0,7.607858,1.0,K,1.0,3.0
9380,253.1458,4.896316000000001,427700.0,12.0,Mg,I,2.711592,1.0,7.607858,2.0,K,1.0,5.0
9394,253.2118,4.89504,720800.0,12.0,Mg,I,2.71664,2.0,7.611631,3.0,K,1.0,7.0
9405,253.2408,4.894477999999999,208800.0,12.0,Mg,I,2.711592,1.0,7.606021000000001,2.0,K,1.0,5.0
9408,253.2461,4.8943769999999995,552900.0,12.0,Mg,I,2.709105,0.0,7.603433,1.0,K,1.0,3.0
9442,253.3748,4.89189,501600.0,12.0,Mg,I,2.711592,1.0,7.603433,2.0,K,1.0,5.0
9443,253.3748,4.89189,418000.0,12.0,Mg,I,2.711592,1.0,7.603433,1.0,K,1.0,3.0
9451,253.4071,4.891268,839700.0,12.0,Mg,I,2.71664,2.0,7.607858,3.0,K,1.0,7.0
9476,253.4868,4.88973,244900.0,12.0,Mg,I,2.711592,1.0,7.601273,2.0,K,1.0,5.0
9484,253.5174,4.88914,654200.0,12.0,Mg,I,2.709105,0.0,7.598196000000001,1.0,K,1.0,3.0
9519,253.6366,4.886842,984800.0,12.0,Mg,I,2.71664,2.0,7.603433,3.0,K,1.0,7.0
9520,253.6464,4.886653,495800.0,12.0,Mg,I,2.711592,1.0,7.598196000000001,1.0,K,1.0,3.0
9521,253.6464,4.886653,594900.0,12.0,Mg,I,2.711592,1.0,7.598196000000001,2.0,K,1.0,5.0
9556,253.7796,4.884089,290400.0,12.0,Mg,I,2.711592,1.0,7.595631,2.0,K,1.0,5.0
9571,253.8424,4.882879,782700.0,12.0,Mg,I,2.709105,0.0,7.591935,1.0,K,1.0,3.0
9588,253.9087,4.881605,1165000.0,12.0,Mg,I,2.71664,2.0,7.598196000000001,3.0,K,1.0,7.0
9611,253.9718,4.880392,711700.0,12.0,Mg,I,2.711592,1.0,7.591935,2.0,K,1.0,5.0
9612,253.9718,4.880392,593200.0,12.0,Mg,I,2.711592,1.0,7.591935,1.0,K,1.0,3.0
9654,254.1325,4.877307,347400.0,12.0,Mg,I,2.711592,1.0,7.58885,2.0,K,1.0,5.0
9678,254.2348,4.875344,1394000.0,12.0,Mg,I,2.71664,2.0,7.591935,3.0,K,1.0,7.0
9679,254.2348,4.875344,234700.0,12.0,Mg,I,2.71664,2.0,7.591935,2.0,K,1.0,5.0
9680,254.2366,4.87531,946800.0,12.0,Mg,I,2.709105,0.0,7.584366,1.0,K,1.0,3.0
9726,254.3664,4.872823,717500.0,12.0,Mg,I,2.711592,1.0,7.584366,1.0,K,1.0,3.0
9727,254.3664,4.872823,860900.0,12.0,Mg,I,2.711592,1.0,7.584366,2.0,K,1.0,5.0
9791,254.5603,4.869111,420100.0,12.0,Mg,I,2.711592,1.0,7.580653999999999,2.0,K,1.0,5.0
9819,254.6302,4.867775,1690000.0,12.0,Mg,I,2.71664,2.0,7.584366,3.0,K,1.0,7.0
9820,254.6302,4.867775,283800.0,12.0,Mg,I,2.71664,2.0,7.584366,2.0,K,1.0,5.0
9846,254.721,4.86604,1160000.0,12.0,Mg,I,2.709105,0.0,7.575096,1.0,KP,1.0,3.0
9890,254.8512,4.863553,879400.0,12.0,Mg,I,2.711592,1.0,7.575096,1.0,KP,1.0,3.0
9891,254.8512,4.863553,1053000.0,12.0,Mg,I,2.711592,1.0,7.575096,2.0,KP,1.0,5.0
9978,255.0903,4.858994,514600.0,12.0,Mg,I,2.711592,1.0,7.570537,2.0,KP,1.0,5.0
9986,255.116,4.858505,347900.0,12.0,Mg,I,2.71664,2.0,7.575096,2.0,KP,1.0,5.0
9987,255.116,4.858505,2067000.0,12.0,Mg,I,2.71664,2.0,7.575096,3.0,KP,1.0,7.0
10040,255.3256,4.8545169999999995,1029000.0,12.0,Mg,I,2.709105,0.0,7.563573,1.0,KP,1.0,3.0
10076,255.4565,4.85203,933800.0,12.0,Mg,I,2.711592,1.0,7.563573,2.0,KP,1.0,5.0
10077,255.4565,4.85203,780000.0,12.0,Mg,I,2.711592,1.0,7.563573,1.0,KP,1.0,3.0
10167,255.7226,4.846982,1876000.0,12.0,Mg,I,2.71664,2.0,7.563573,3.0,KP,1.0,7.0
10168,255.7226,4.846982,315800.0,12.0,Mg,I,2.71664,2.0,7.563573,2.0,KP,1.0,5.0
10182,255.7573,4.846324,456300.0,12.0,Mg,I,2.711592,1.0,7.557867,2.0,KP,1.0,5.0
10274,256.0942,4.839948000000001,954900.0,12.0,Mg,I,2.709105,0.0,7.549005,1.0,KP,1.0,3.0
10315,256.2259,4.837461,866300.0,12.0,Mg,I,2.711592,1.0,7.549005,2.0,KP,1.0,5.0
10316,256.2259,4.837461,723600.0,12.0,Mg,I,2.711592,1.0,7.549005,1.0,KP,1.0,3.0
10384,256.4936,4.832413,1740000.0,12.0,Mg,I,2.71664,2.0,7.549005,3.0,KP,1.0,7.0
10385,256.4936,4.832413,292900.0,12.0,Mg,I,2.71664,2.0,7.549005,2.0,KP,1.0,5.0
10416,256.6101,4.830218,423000.0,12.0,Mg,I,2.711592,1.0,7.541761999999999,2.0,KP,1.0,5.0
10544,257.0917,4.821171,1193000.0,12.0,Mg,I,2.709105,0.0,7.530227,1.0,KP,1.0,3.0
10589,257.2244,4.818683999999999,903900.0,12.0,Mg,I,2.711592,1.0,7.530227,1.0,KP,1.0,3.0
10590,257.2244,4.818683999999999,1082000.0,12.0,Mg,I,2.711592,1.0,7.530227,2.0,KP,1.0,5.0
10664,257.4942,4.813636,357600.0,12.0,Mg,I,2.71664,2.0,7.530227,2.0,KP,1.0,5.0
10665,257.4942,4.813636,2124000.0,12.0,Mg,I,2.71664,2.0,7.530227,3.0,KP,1.0,7.0
10721,257.7264,4.809299,527900.0,12.0,Mg,I,2.711592,1.0,7.520842999999999,2.0,KP,1.0,5.0
10833,258.0587,4.803107,407700.0,12.0,Mg,I,2.71664,2.0,7.519699,1.0,K,1.0,3.0
10926,258.4212,4.796369,1593000.0,12.0,Mg,I,2.709105,0.0,7.505425999999999,1.0,KP,1.0,3.0
10955,258.5553,4.793882,1445000.0,12.0,Mg,I,2.711592,1.0,7.505425999999999,2.0,KP,1.0,5.0
10956,258.5553,4.793882,1207000.0,12.0,Mg,I,2.711592,1.0,7.505425999999999,1.0,KP,1.0,3.0
11035,258.8279,4.788834,488500.0,12.0,Mg,I,2.71664,2.0,7.505425999999999,2.0,KP,1.0,5.0
11036,258.8279,4.788834,2902000.0,12.0,Mg,I,2.71664,2.0,7.505425999999999,3.0,KP,1.0,7.0
11132,259.2274,4.781453,703900.0,12.0,Mg,I,2.711592,1.0,7.492997,2.0,KP,1.0,5.0
11212,259.5014,4.7764050000000005,232600.0,12.0,Mg,I,2.71664,2.0,7.492997,2.0,KP,1.0,5.0
11233,259.5973,4.774641,522600.0,12.0,Mg,I,2.71664,2.0,7.491233,1.0,KP,1.0,3.0
11404,260.2496,4.762675,2218000.0,12.0,Mg,I,2.709105,0.0,7.471732,1.0,KP,1.0,3.0
11450,260.3855,4.760187999999999,2012000.0,12.0,Mg,I,2.711592,1.0,7.471732,2.0,KP,1.0,5.0
11451,260.3855,4.760187999999999,1681000.0,12.0,Mg,I,2.711592,1.0,7.471732,1.0,KP,1.0,3.0
11534,260.662,4.75514,3950000.0,12.0,Mg,I,2.71664,2.0,7.471732,3.0,KP,1.0,7.0
11535,260.662,4.75514,664900.0,12.0,Mg,I,2.71664,2.0,7.471732,2.0,KP,1.0,5.0
11725,261.3136,4.743283,978500.0,12.0,Mg,I,2.711592,1.0,7.454827000000001,2.0,KP,1.0,5.0
11772,261.4724,4.740402,438400.0,12.0,Mg,I,2.711592,1.0,7.451946,1.0,KP,1.0,3.0
11811,261.592,4.7382349999999995,323300.0,12.0,Mg,I,2.71664,2.0,7.454827000000001,2.0,KP,1.0,5.0
11855,261.7512,4.735354,726100.0,12.0,Mg,I,2.71664,2.0,7.451946,1.0,KP,1.0,3.0
12139,262.8664,4.715264,3216000.0,12.0,Mg,I,2.709105,0.0,7.424322,1.0,KP,1.0,3.0
12175,263.0052,4.712777,2381000.0,12.0,Mg,I,2.711592,1.0,7.424322,1.0,KP,1.0,3.0
12176,263.0053,4.712775,2917000.0,12.0,Mg,I,2.711592,1.0,7.42432,2.0,KP,1.0,5.0
12250,263.2873,4.7077279999999995,963900.0,12.0,Mg,I,2.71664,2.0,7.42432,2.0,KP,1.0,5.0
12251,263.2874,4.707726,5727000.0,12.0,Mg,I,2.71664,2.0,7.424319000000001,3.0,KP,1.0,7.0
12523,264.3349,4.689071,1414000.0,12.0,Mg,I,2.711592,1.0,7.400616,2.0,KP,1.0,5.0
12578,264.6198,4.684023000000001,467400.0,12.0,Mg,I,2.71664,2.0,7.400616,2.0,KP,1.0,5.0
12579,264.6207,4.684007,647900.0,12.0,Mg,I,2.711592,1.0,7.395552,1.0,KP,1.0,3.0
12658,264.9062,4.678959,1073000.0,12.0,Mg,I,2.71664,2.0,7.395552,1.0,KP,1.0,3.0
13147,266.8123,4.645535,4834000.0,12.0,Mg,I,2.709105,0.0,7.3545929999999995,1.0,KP,1.0,3.0
13186,266.9552,4.643048,3663000.0,12.0,Mg,I,2.711592,1.0,7.3545929999999995,1.0,KP,1.0,3.0
13187,266.9554,4.643045,4386000.0,12.0,Mg,I,2.711592,1.0,7.354591,2.0,KP,1.0,5.0
13262,267.2459,4.637997,1483000.0,12.0,Mg,I,2.71664,2.0,7.354591,2.0,KP,1.0,5.0
13263,267.246,4.637996,8809000.0,12.0,Mg,I,2.71664,2.0,7.354589,3.0,KP,1.0,7.0
13840,269.3722,4.601389,335800.0,12.0,Mg,I,2.709105,0.0,7.310447999999999,1.0,KP,1.0,3.0
13889,269.5179,4.598902,1013000.0,12.0,Mg,I,2.711592,1.0,7.310447999999999,1.0,KP,1.0,3.0
13975,269.8141,4.593854,1677000.0,12.0,Mg,I,2.71664,2.0,7.310447999999999,1.0,KP,1.0,3.0
14865,273.1994,4.536933,8013000.0,12.0,Mg,I,2.709105,0.0,7.2459929999999995,1.0,KP,1.0,3.0
14913,273.3493,4.534446,5934000.0,12.0,Mg,I,2.711592,1.0,7.2459929999999995,1.0,KP,1.0,3.0
14914,273.3494,4.534444000000001,7269000.0,12.0,Mg,I,2.711592,1.0,7.245989999999999,2.0,KP,1.0,5.0
15002,273.6539,4.5293980000000005,400300.0,12.0,Mg,I,2.71664,2.0,7.2459929999999995,1.0,KP,1.0,3.0
15003,273.6541,4.529396,2402000.0,12.0,Mg,I,2.71664,2.0,7.245989999999999,2.0,KP,1.0,5.0
15004,273.6541,4.529395,14270000.0,12.0,Mg,I,2.71664,2.0,7.245989,3.0,KP,1.0,7.0
15926,276.834,4.477371,174000.0,12.0,Mg,I,2.71664,2.0,7.1939660000000005,2.0,WARN,1.0,5.0
16185,277.6587,4.464072,562000.0,12.0,Mg,I,2.709105,0.0,7.173132000000001,1.0,KP,1.0,3.0
16188,277.669,4.463907,131200000.0,12.0,Mg,I,2.711592,1.0,7.175453999999999,2.0,NBS,1.0,5.0
16237,277.8135,4.4615849999999995,1695000.0,12.0,Mg,I,2.711592,1.0,7.173132000000001,1.0,KP,1.0,3.0
