,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
4683,232.6926,5.326658999999999,64740000.0,90.01,Th,II,0.23060300000000003,1.5,5.557208,2.5,MC,2.0,6.0
5169,235.403,5.265333999999999,330500000.0,90.01,Th,II,1.123434,2.5,6.388715,1.5,MC,2.0,4.0
5225,235.6756,5.2592419999999995,38560000.0,90.01,Th,II,0.0,1.5,5.25919,1.5,MC,2.0,4.0
5394,236.6044,5.2386,13360000.0,90.01,Th,II,0.188691,2.5,5.427239,3.5,MC,2.0,8.0
5425,236.6989,5.236509,247900000.0,90.01,Th,II,1.20413,3.5,6.440586,2.5,MC,2.0,6.0
5447,236.8047,5.234168,30620000.0,90.01,Th,II,0.556722,2.5,5.790837000000001,3.5,MC,2.0,8.0
5573,237.3842,5.221391000000001,54560000.0,90.01,Th,II,0.0,1.5,5.2213389999999995,1.5,MC,2.0,4.0
5601,237.5078,5.218676,84010000.0,90.01,Th,II,0.556722,2.5,5.775345,2.5,MC,2.0,6.0
5653,237.7838,5.212618,166500000.0,90.01,Th,II,0.509992,2.5,5.722557,2.5,MC,2.0,6.0
5794,238.4362,5.1983559999999995,110200000.0,90.01,Th,II,1.558542,3.5,6.756846,3.5,MC,2.0,8.0
5868,238.8137,5.190141000000001,22160000.0,90.01,Th,II,0.188691,2.5,5.37878,2.5,MC,2.0,6.0
5962,239.3106,5.179365,74970000.0,90.01,Th,II,0.556722,2.5,5.736035,1.5,MC,2.0,4.0
6193,240.4172,5.155526999999999,174900000.0,90.01,Th,II,1.038846,3.5,6.1943220000000005,3.5,MC,2.0,8.0
6203,240.4504,5.154815,52450000.0,90.01,Th,II,0.509992,2.5,5.664755,3.5,MC,2.0,8.0
6362,241.13,5.140287,67820000.0,90.01,Th,II,1.038846,3.5,6.179082,4.5,MC,2.0,10.0
6406,241.3409,5.135796,26950000.0,90.01,Th,II,0.188691,2.5,5.324435,3.5,MC,2.0,8.0
6653,242.3675,5.114044,183200000.0,90.01,Th,II,1.642854,2.5,6.756846,3.5,MC,2.0,8.0
6841,243.1148,5.098326,21530000.0,90.01,Th,II,0.556722,2.5,5.654996,2.5,MC,2.0,6.0
6884,243.2855,5.094749,147700000.0,90.01,Th,II,1.345889,3.5,6.440586,2.5,MC,2.0,6.0
7003,243.7543,5.084951,74120000.0,90.01,Th,II,1.795827,5.5,6.880727,4.5,MC,2.0,10.0
7134,244.3962,5.071597,19080000.0,90.01,Th,II,0.556722,2.5,5.628268,3.5,MC,2.0,8.0
