element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Bi	3	"202.0958"	"0.0002"	"202.09581"	"0.00020"	"140hfs,p(Bi I)"	"3.0e+06"	E	"2.577406"	"8.710350"	"6s2.6p"	"2P*"	"3/2"	"6s.6p2.(3P)"	"4P"	"1/2"	4	2		"T10236"	"L9843,L21488,L3331"	
Bi	1	"202.11493"	"0.00020"	"202.11469+"	"0.00006"	"3300"	"5.79e+06"	C+	"0.0000000"	"6.1323713"	"6p3"	"4S*"	"3/2"	"6p2.(3P<2>).7s"	"2[2]"	"3/2"	4	4		"T3401,T3485"	"L9843"	
Bi	1	"206.16336"	"0.00020"	"206.16272+"	"0.00006"	"42000"	"9.62e+07"	B	"0.0000000"	"6.0119775"	"6p3"	"4S*"	"3/2"	"6p2.(3P<2>).7s"	"2[2]"	"5/2"	4	6		"T6498"	"L9843"	
Bi	3	"206.579"	"0.007"	"206.5767"	"0.0020"	"240"	"9.e+07"	D+	"17.042296"	"23.04223"	"6s2.5f"	"2F*"	"7/2"	"6s2.7g"	"2G"	"9/2"	8	10		"T10236"	"L3331,L21488"	
Bi	3	"206.892"	"0.007"	"206.8911"	"0.0004"	"120hfs"	"8.e+06"	D+	"11.063865"	"17.054681"	"6s.6p2.(3P)"	"4P"	"5/2"	"6s2.5f"	"2F*"	"5/2"	6	6		"T10236"	"L3331,L21488"	
Bi	3	"206.997"	"0.007"	"206.9869"	"0.0020"	"170"	"9.e+07"	D+	"17.054681"	"23.04272"	"6s2.5f"	"2F*"	"5/2"	"6s2.7g"	"2G"	"7/2"	6	8		"T10236"	"L3331,L21488"	
Bi	3	"207.3197"	"0.0002"	"207.31970"	"0.00014"	"2300hfs,p(Cu)"	"1.1e+08"	D+	"11.063865"	"17.042296"	"6s.6p2.(3P)"	"4P"	"5/2"	"6s2.5f"	"2F*"	"7/2"	6	8		"T10236"	"L9843,L21488,L3331"	
Bi	3	"210.350"	"0.020"	"210.331"	"0.003"	"660"	"1.1e+08"	D+	"15.142017"	"21.03486"	"6s2.7p"	"2P*"	"3/2"	"6s2.8d"	"2D"	"5/2"	4	6		"T10236"	"L3331,L21488"	
Bi	1	"211.02175"	"0.00020"	"211.02172+"	"0.00006"	"10000"	"9.04e+07"	B	"0.0000000"	"5.8735626"	"6p3"	"4S*"	"3/2"	"6p2.(3P<0>).8s"	"2[0]"	"1/2"	4	2		"T3401,T3477"	"L9843"	
Bi	3	"211.965"	"0.007"	"211.9568"	"0.0012"	"200"	"1.9e+07"	D+	"15.142017"	"20.989669"	"6s2.7p"	"2P*"	"3/2"	"6s2.8d"	"2D"	"3/2"	4	4		"T10236"	"L3331,L21488"	
Bi	3	"213.886"	"0.010"	"213.8835"	"0.0010"	"51hfs,p(Zn I)"	"2.4e+06"	D+	"8.710350"	"14.505333"	"6s.6p2.(3P)"	"4P"	"1/2"	"6s2.7p"	"2P*"	"1/2"	2	2		"T10236"	"L3331,L21488"	
Bi	3	"216.630"	"0.013"	"216.6427"	"0.0010"	"72hfs"	"1.3e+06"	E	"13.397042"	"19.118227"	"6s.6p2.(3P)"	"2P"	"1/2"	"6s2.8p"	"2P*"	"1/2"	2	2		"T10236"	"L3331,L21488"	
Bi	1	"217.72127"	"0.00020"	"217.72135+"	"0.00007"	"260hfs"	"2.6e+06"	D+	"0.0000000"	"5.6928439"	"6p3"	"4S*"	"3/2"	"6p2.(3P<1>).7s"	"2[1]"	"1/2"	4	2		"T3401,T3477"	"L9843"	
Bi	3	"218.142"	"0.007"	"218.1422"	"0.0010"	"190hfs"	"2.7e+06"	D+	"14.433534"	"20.115395"	"6s.6p2.(1D)"	"2D"	"5/2"	"6s2.6f"	"2F*"	"5/2"	6	6		"T10236"	"L3331,L21488"	
Bi	3	"218.407"	"0.006"	"218.4149"	"0.0010"	"640hfs"	"4.2e+07"	D+	"14.433534"	"20.108303"	"6s.6p2.(1D)"	"2D"	"5/2"	"6s2.6f"	"2F*"	"7/2"	6	8		"T10236"	"L3331,L21488"	
Bi	3	"219.171"	"0.007"	"219.1697"	"0.0011"	"150"	"2.4e+06"	D+	"13.463000"	"19.118227"	"6s.6p2.(1D)"	"2D"	"3/2"	"6s2.8p"	"2P*"	"1/2"	4	2		"T10236"	"L3331,L21488"	
Bi	3	"221.358"	"0.007"	"221.3654"	"0.0020"	"1300"	"1.0e+08"	D+	"15.142017"	"20.74116"	"6s2.7p"	"2P*"	"3/2"	"6s2.9s"	"2S"	"1/2"	4	2		"T10236"	"L3331,L21488"	
Bi	1	"222.82092"	"0.00020"	"222.82124+"	"0.00007"	"37000"	"8.8e+07"	C+	"0.0000000"	"5.5625605"	"6p3"	"4S*"	"3/2"	"6p2.(3P<1>).7s"	"2[1]"	"3/2"	4	4		"T6498"	"L9843"	
Bi	1	"223.06088"	"0.00020"	"223.06108+"	"0.00007"	"140000"	"2.34e+08"	C+	"0.0000000"	"5.5565801"	"6p3"	"4S*"	"3/2"	"6p2.(3P<0>).6d"	"2[2]"	"5/2"	4	6		"T6498"	"L9843"	
Bi	1	"227.65579"	"0.00020"	"227.65592+"	"0.00007"	"31000"	"2.36e+07"	B	"0.0000000"	"5.4444405"	"6p3"	"4S*"	"3/2"	"6p2.(3P<0>).6d"	"2[2]"	"3/2"	4	4		"T6498"	"L9843"	
Bi	1	"240.0881"	"0.0010"	"240.0881+"	"0.0006"	"8000"	"5.8e+07"	C+	"1.9140062"	"7.076547"	"6p3"	"2D*"	"5/2"	"6p2.(3P<1>).6d"	"5707"	"5/2"	6	6		"T4088"	"L9843"	
