element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Cr	2	"201.11691"	"0.00004"	"201.116902"	"0.000006"	"16"	"8.33e+05"		"0.00000000"	"6.16279089"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 4P*"	"5/2"	6	6		"T7574"	"L18847"	
Cr	2	"201.36182"	"0.00010"	"201.361843"	"0.000006"	"6"	"1.57e+05"		"0.00000000"	"6.15529544"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"7/2"	6	8		"T7574"	"L18847"	
Cr	2	"201.6921"	"0.0002"	"201.692190"	"0.000006"	"3"	"2.82e+05"		"0.00000000"	"6.14521527"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"3/2"	6	4		"T7574"	"L18847"	
Cr	2	"202.561863"	"0.000012"	"202.561870"	"0.000006"	"57"	"2.11e+06"		"0.00000000"	"6.11883513"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"5/2"	6	6		"T7574"	"L18847"	
Cr	2	"203.991769"	"0.000009"	"203.991765"	"0.000006"	"81"	"3.52e+06"		"0.00000000"	"6.07595067"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 4P*"	"3/2"	6	4		"T7574"	"L18847"	
Cr	2	"205.559869"	"0.000006"	"205.559868"	"0.000006"	"3200"	"1.22e+08"	B+	"0.00000000"	"6.02960685"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6P*"	"7/2"	6	8		"T7574"	"L18847"	
Cr	2	"206.157673"	"0.000007"	"206.157673"	"0.000006"	"2500"	"1.19e+08"	B+	"0.00000000"	"6.01212482"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6P*"	"5/2"	6	6		"T7574"	"L18847"	
Cr	2	"206.550389"	"0.000007"	"206.550391"	"0.000006"	"1700"	"1.20e+08"	B+	"0.00000000"	"6.00069536"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6P*"	"3/2"	6	4		"T7574"	"L18847"	
Cr	1	"209.500"	"0.009"	"209.4928"	"0.0007"	"12h"	"1.2e+06"	C	"0.00000000"	"5.916424"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).6p"	"w 7P*"	"4"	7	9		"T3196"	"L808"	
Cr	1	"209.540"	"0.009"	"209.5403"	"0.0006"	"10h"	"1.1e+06"	C	"0.00000000"	"5.915082"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).6p"	"w 7P*"	"3"	7	7		"T3196"	"L808"	
Cr	1	"209.583"	"0.009"	"209.583"	"0.009"	"8h"	"1.1e+06"	C	"0.00000000"	"5.91387"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).6p"	"w 7P*"	"2"	7	5		"T3196"	"L808"	
Cr	1	"235.430"	"0.005"	"235.430952"	"0.000008"	"15"	"8.1e+06"	D	"1.00367492"	"6.26832996"	"3d4.4s2"	"a 5D"	"3"	"3d5.(4D).4p"	"u 5D*"	"4"	7	9		"T3196"	"L808"	
