element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Dy	1	"286.270"	"286.2694+"	"140"	"7.9e+06"	B+	"0.0000000"	"4.329760"	"4f10.6s2"	"5I"	"8"	""	"*"	"7"	17	15		"T7148"	"L3475"	
Dy	1	"296.460"	"296.4600+"	"220"	"6.5e+06"	D	"0.0000000"	"4.180936"	"4f10.6s2"	"5I"	"8"	""	"*"	"8"	17	17		"T4515"	"L3475"	
Dy	1	"314.7694"	"314.7689+"	"300"	"1.1e+07"	D	"0.5125782"	"4.450333"	"4f10.6s2"	"5I"	"7"	""	"*"	"8"	15	17		"T4515"	"L1177"	
Dy	1	"326.3186"	"326.3185+"	"3000"	"1.4e+07"	D	"0.5125782"	"4.310968"	"4f10.6s2"	"5I"	"7"	""	"*"	"6"	15	13		"T4515"	"L1177"	
Dy	2	"338.502"	"338.50140+"	"5300"	"5.39e+07"		"0.1026978"	"3.7643847"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"15/2"	"4f10.(5I).6p"	"4H*"	"13/2"	16	14		""	"L3475"	
Dy	2	"340.780"	"340.77925+"	"5300"	"4.88e+07"		"0.0000000"	"3.6372120"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"17/2"	"4f10.(5I).6p"	"6I*"	"17/2"	18	18		"T7148"	"L3475"	
Dy	2	"346.097"	"346.09661+"	"4400"	"2.97e+07"		"0.0000000"	"3.5813323"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"17/2"	"4f10.(5I).6p"	"*"	"15/2"	18	16		"T7148"	"L3475"	
Dy	2	"349.449"	"349.44896+"	"4400"	"3.15e+07"		"0.1026978"	"3.6496745"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"15/2"	"4f10.(5I).6p"	"*"	"15/2"	16	16		"T7148"	"L3475"	
Dy	1	"351.1015"	"351.1014+"	"1000"	"9.4e+06"	B+	"0.5125782"	"4.042862"	"4f10.6s2"	"5I"	"7"	""	"*"	"6"	15	13		"T7148"	"L1177"	
Dy	2	"353.170"	"353.17052+"	"22000"	"1.56e+08"		"0.0000000"	"3.5096012"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"17/2"	"4f10.(5I).6p"	"6K*"	"19/2"	18	20		"T7148"	"L3475"	
Dy	2	"353.602"	"353.60180+"	"5500"	"1.01e+08"		"0.5382283"	"4.0435491"	"4f10.(5I<7>).6s<1/2>"	"(7,1/2)"	"15/2"	"4f9.(6H*).5d2.(3F)"	"*"	"17/2"	16	18		"T7148"	"L3475"	
Dy	1	"357.1438"	"357.1437+"	"1000"	"4.80e+06"	B+	"0.5125782"	"3.983136"	"4f10.6s2"	"5I"	"7"	""	"*"	"6"	15	13		"T7148"	"L1177"	
Dy	2	"363.024"	"363.02382+"	"4000"	"3.05e+07"		"0.5382283"	"3.9525735"	"4f10.(5I<7>).6s<1/2>"	"(7,1/2)"	"15/2"	"4f10.(5I).6p"	"6K*"	"17/2"	16	18		"T7148"	"L3475"	
Dy	2	"364.540"	"364.53965+"	"11000"	"6.20e+07"		"0.1026978"	"3.5028458"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"15/2"	"4f9.(6H*).5d2.(1G)"	"*"	"17/2"	16	18		"T7148"	"L3475"	
Dy	2	"369.481"	"369.48115+"	"4700"	"2.37e+07"		"0.1026978"	"3.4573729"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"15/2"	"4f9.(6H*).5d2.(3F)"	"*"	"15/2"	16	16		"T7148"	"L3475"	
Dy	1	"375.705"	"375.7052+"	"1200"	"3.0e+08"	D	"0.9380161"	"4.237118"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"9"	17	19		"T4515"	"L3475"	
Dy	2	"375.737"	"375.73674+"	"4700"	"2.01e+07"		"0.1026978"	"3.4015228"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"15/2"	"4f9.(6H*).5d2.(3P)"	"*"	"15/2"	16	16		"T7148"	"L3475"	
Dy	1	"386.881"	"386.8805+"	"1600"	"3.1e+08"	D	"0.9380161"	"4.141824"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"8"	17	17		"T4515"	"L3475"	
Dy	2	"387.211"	"387.21038+"	"7000"	"2.54e+07"		"0.0000000"	"3.2010780"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"17/2"	"4f10.(5I).6p"	"*"	"17/2"	18	18		"T7148"	"L3475"	
Dy	2	"389.853"	"389.85292+"	"5800"	"4.69e+07"		"0.5896283"	"3.7690089"	"4f10.(5I<7>).6s<1/2>"	"(7,1/2)"	"13/2"	"4f9.(6H*).5d2.(3F)"	"*"	"15/2"	14	16		"T7148"	"L3475"	
Dy	2	"394.468"	"394.46798+"	"10000"	"3.07e+07"		"0.0000000"	"3.1421845"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"17/2"	"4f9.(6H*).5d2.(3P)"	"*"	"17/2"	18	18		"T7148"	"L3475"	
Dy	1	"396.751"	"396.7509+"	"320"	"1.45e+07"	B+	"0.9380161"	"4.062120"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"9"	17	19		"T7148"	"L3475"	
Dy	2	"396.839"	"396.83853+"	"14000"	"4.55e+07"		"0.0000000"	"3.1234148"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"17/2"	"4f10.(5I).6p"	"*"	"15/2"	18	16		"T7148"	"L3475"	
Dy	2	"400.045"	"400.04502+"	"8000"	"2.54e+07"		"0.1026978"	"3.2010780"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"15/2"	"4f10.(5I).6p"	"*"	"17/2"	16	18		"T7148"	"L3475"	
Dy	1	"401.382"	"401.3824+"	"540"	"2.93e+06"	B+	"0.0000000"	"3.088057"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<6>).6s.6p.(3P*<2>)"	"(6,2)*"	"7"	17	15		"T7148"	"L3475"	
Dy	1	"402.371"	"402.3714+"	"370"	"2.90e+07"	B+	"0.9380161"	"4.018483"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"7"	17	15		"T7148"	"L3475"	
Dy	1	"404.597"	"404.59701+"	"12000"	"1.92e+08"	B+	"0.0000000"	"3.0635220"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<8>).6s.6p.(1P*<1>)"	"(8,1)*"	"7"	17	15		"T7148"	"L3475"	
Dy	2	"407.796"	"407.79651+"	"7400"	"2.02e+07"		"0.1026978"	"3.1421845"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"15/2"	"4f9.(6H*).5d2.(3P)"	"*"	"17/2"	16	18		"T7148"	"L3475"	
Dy	1	"408.534"	"408.5333+"	"370"	"1.71e+07"	B+	"0.9380161"	"3.972021"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"7"	17	15		"T7148"	"L3475"	
Dy	2	"410.330"	"410.33047+"	"3900"	"1.04e+07"		"0.1026978"	"3.1234148"	"4f10.(5I<8>).6s<1/2>"	"(8,1/2)"	"15/2"	"4f10.(5I).6p"	"*"	"15/2"	16	16		"T7148"	"L3475"	
Dy	1	"410.387"	"410.3874+"	"860"	"6.2e+07"	B+	"0.8741634"	"3.894461"	"4f10.6s2"	"5I"	"6"	""	"*"	"5"	13	11		"T7148"	"L3475"	
Dy	1	"412.912"	"412.9122+"	"350"	"9.8e+07"	B+	"1.3545617"	"4.356392"	"4f10.6s2"	"5I"	"4"	""	"*"	"3"	9	7		"T7148"	"L3475"	
Dy	1	"413.035"	"413.0351+"	"350"	"1.76e+06"	B+	"0.0000000"	"3.000937"	"4f10.6s2"	"5I"	"8"	"4f9.(6H*).5d2.(3F) (8I*).6s"	"*"	"8"	17	17		"T7148"	"L3475"	
Dy	1	"414.606"	"414.6063+"	"990"	"1.95e+08"	B+	"1.1420917"	"4.131657"	"4f10.6s2"	"5I"	"5"	"4f10.(5I<5>).6s.6p.(1P*<1>)"	"(5,1)*"	"4"	11	9		"T7148"	"L3475"	
Dy	1	"416.797"	"416.79743+"	"5700"	"1.92e+08"	B+	"0.5125782"	"3.4864271"	"4f10.6s2"	"5I"	"7"	"4f10.(5I<7>).6s.6p.(1P*<1>)"	"(7,1)*"	"6"	15	13		"T7148"	"L3475"	
Dy	1	"418.372"	"418.3717+"	"930"	"8.8e+07"	B+	"0.5125782"	"3.475237"	"4f10.6s2"	"5I"	"7"	""	"*"	"8"	15	17		"T7148"	"L3475"	
Dy	1	"418.682"	"418.68213+"	"12000"	"1.26e+08"	B+	"0.0000000"	"2.9604623"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<8>).6s.6p.(1P*<1>)"	"(8,1)*"	"8"	17	17		"T7148"	"L3475"	
Dy	1	"419.094"	"419.0938+"	"320"	"2.03e+07"	B+	"0.8741634"	"3.831718"	"4f10.6s2"	"5I"	"6"	""	"*"	"5"	13	11		"T7148"	"L3475"	
Dy	1	"419.164"	"419.16398+"	"2200"	"7.1e+07"	B+	"0.5125782"	"3.4696374"	"4f10.6s2"	"5I"	"7"	"4f9.(6H*).5d2.(3F) (8L*).6s"	"*"	"7"	15	15		"T7148"	"L3475"	
Dy	1	"419.484"	"419.48464+"	"6800"	"8.8e+07"	B+	"0.0000000"	"2.9547989"	"4f10.6s2"	"5I"	"8"	"4f9.(6H*).5d2.(3F) (8K*).6s"	"*"	"8"	17	17		"T7148"	"L3475"	
Dy	1	"419.802"	"419.8019+"	"800"	"1.08e+08"	B+	"1.1420917"	"4.094658"	"4f10.6s2"	"5I"	"5"	"4f10.(5I<5>).6s.6p.(1P*<1>)"	"(5,1)*"	"5"	11	11		"T7148"	"L3475"	
Dy	1	"420.130"	"420.1309+"	"680"	"1.70e+08"	B+	"1.3545617"	"4.304816"	"4f10.6s2"	"5I"	"4"	""	"*"	"4"	9	9		"T7148"	"L3475"	
Dy	1	"420.224"	"420.2240+"	"680"	"4.82e+07"	B+	"0.8741634"	"3.823763"	"4f10.6s2"	"5I"	"6"	"4f9.(6F*).5d2.(3F) (8H*).6s"	"*"	"6"	13	13		"T7148"	"L3475"	
