element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ga	2	"209.07679"	"0.00001"	"209.07679+"	"20hfs"	"4.09e+05"		"0.0000000"	"5.9281946"	"3d10.4s2"	"1S"	"0"	"4s.4p"	"3P*"	"1"	1	3		"T8042"	"L12180"	
Ga	1	""	""	"219.535"	""	"1.94e+06"	C+	"0.0000000"	"5.645828"	"3d10.4s2.4p"	"2P*"	"1/2"	"4s2.9s"	"2S"	"1/2"	2	2		"T7574"	"L12180"	
Ga	1	"219.962"	"0.010"	"219.962+"	"a"	"3.11e+06"	C	"0.1024345"	"5.73729"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.10s"	"2S"	"1/2"	4	2		"T2177"	"L12180"	
Ga	1	"221.436"	"0.010"	"221.436+"	"a"	"3.17e+06"	C+	"0.1024345"	"5.69980"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.8d"	"2D"	"5/2"	4	6		"T7574"	"L12180"	
Ga	1	""	""	"221.449"	""	"5.30e+05"	C+	"0.1024345"	"5.69945"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.8d"	"2D"	"3/2"	4	4		"T7574"	"L12180"	
Ga	1	""	""	"223.592"	""	"4.00e+06"	C+	"0.1024345"	"5.645828"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.9s"	"2S"	"1/2"	4	2		"T7574"	"L12180"	
Ga	1	"225.5034"	"0.0010"	"225.4995+"	"1"	"3.15e+06"	C+	"0.0000000"	"5.496501"	"3d10.4s2.4p"	"2P*"	"1/2"	"4s2.8s"	"2S"	"1/2"	2	2		"T7574"	"L12180"	
Ga	1	"225.9227"	"0.0010"	"225.9211+"	"1"	"3.1e+06"	C	"0.1024345"	"5.588678"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.7d"	"2D"	"5/2"	4	6		"T2177"	"L12180"	
Ga	1	"229.419"	"0.010"	"229.4181+"	"2"	"6.97e+06"	C+	"0.0000000"	"5.402625"	"3d10.4s2.4p"	"2P*"	"1/2"	"4s2.6d"	"2D"	"3/2"	2	4		"T7574"	"L12180"	
Ga	1	"229.7869"	"0.0010"	"229.7821+"	"1"	"5.56e+06"	C+	"0.1024345"	"5.496501"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.8s"	"2S"	"1/2"	4	2		"T7574"	"L12180"	
Ga	1	"233.824"	"0.010"	"233.8232+"	"3"	"9.75e+06"	C+	"0.1024345"	"5.403286"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.6d"	"2D"	"5/2"	4	6		"T7574"	"L12180"	
Ga	1	"233.8596"	"0.0010"	"233.8524+"	"1"	"1.58e+06"	C+	"0.1024345"	"5.402625"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.6d"	"2D"	"3/2"	4	4		"T7574"	"L12180"	
Ga	1	"237.129"	"0.010"	"237.1262+"	"3"	"5.57e+06"	C+	"0.0000000"	"5.227021"	"3d10.4s2.4p"	"2P*"	"1/2"	"4s2.7s"	"2S"	"1/2"	2	2		"T7574"	"L12180"	
Ga	1	"241.869"	"0.010"	"241.8664+"	"4"	"1.00e+07"	C+	"0.1024345"	"5.227021"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.7s"	"2S"	"1/2"	4	2		"T7574"	"L12180"	
Ga	1	"245.0078"	"0.0010"	"245.0067+"	""	"2.78e+07"	C+	"0.0000000"	"5.058910"	"3d10.4s2.4p"	"2P*"	"1/2"	"4s2.5d"	"2D"	"3/2"	2	4		"T7574"	"L12180"	
Ga	1	"250.0187"	"0.0010"	"250.0170+"	""	"3.34e+07"	C+	"0.1024345"	"5.059970"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.5d"	"2D"	"5/2"	4	6		"T7574"	"L12180"	
Ga	1	"250.0714"	"0.0010"	"250.0705+"	""	"5.54e+06"	C+	"0.1024345"	"5.058910"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.5d"	"2D"	"3/2"	4	4		"T7574"	"L12180"	
Ga	1	"265.9873"	"0.0010"	"265.9861+"	""	"1.22e+07"	C+	"0.0000000"	"4.659918"	"3d10.4s2.4p"	"2P*"	"1/2"	"4s2.6s"	"2S"	"1/2"	2	2		"T7574"	"L12180"	
Ga	1	"271.9664"	"0.0010"	"271.9648+"	"3"	"2.34e+07"	C+	"0.1024345"	"4.659918"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.6s"	"2S"	"1/2"	4	2		"T7574"	"L12180"	
Ga	1	"287.4235"	"0.0010"	"287.4235+"	"3"	"1.17e+08"	B+	"0.0000000"	"4.312376"	"3d10.4s2.4p"	"2P*"	"1/2"	"4s2.4d"	"2D"	"3/2"	2	4		"T7574"	"L12180"	
Ga	1	"294.3636"	"0.0010"	"294.3636+"	"3"	"1.34e+08"	B+	"0.1024345"	"4.313144"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.4d"	"2D"	"5/2"	4	6		"T7574"	"L12180"	
Ga	1	"294.4173"	"0.0010"	"294.4173+"	"1"	"2.61e+07"	B+	"0.1024345"	"4.312376"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.4d"	"2D"	"3/2"	4	4		"T7574"	"L12180"	
Ga	1	"403.2984"	"0.0010"	"403.29843+"	"4"	"4.85e+07"	B+	"0.0000000"	"3.0733860"	"3d10.4s2.4p"	"2P*"	"1/2"	"4s2.5s"	"2S"	"1/2"	2	2		"T7574"	"L12180"	
Ga	1	"417.2042"	"0.0010"	"417.20391+"	"5"	"9.45e+07"	B+	"0.1024345"	"3.0733860"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.5s"	"2S"	"1/2"	4	2		"T7574"	"L12180"	
