element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Pr	2	"379.251"	"379.2436+"	"210"	"6.1e+06"	C+	"0.204451"	"3.472773"	"4f3.(4I*<11/2>).6s<1/2>"	"(11/2,1/2)*"	"6"	"4f3.(4I*).6p?"	""	"7"	13	15		"T8137"	"L3475"	
Pr	2	"385.155"	"385.1497+"	"720c*"	"1.16e+07"	C+	"0.054795"	"3.272999"	"4f3.(4I*<9/2>).6s<1/2>"	"(9/2,1/2)*"	"5"	"4f3.(4I*).6p?"	""	"6"	11	13		"T8137"	"L3475"	
Pr	2	"388.934"	"388.9334+"	"440c"	"9.3e+06"	C+	"0.054795"	"3.241692"	"4f3.(4I*<9/2>).6s<1/2>"	"(9/2,1/2)*"	"5"	"4f3.(4I*).6p?"	""	"5"	11	11		"T8137"	"L3475"	
Pr	2	"392.053"	"392.0532+"	"250*"	"4.9e+06"	C+	"0.000000"	"3.161538"	"4f3.(4I*<9/2>).6s<1/2>"	"(9/2,1/2)*"	"4"	"4f3.(4I*).6p?"	""	"5"	9	11		"T8137"	"L3475"	
Pr	2	"392.547"	"392.5466+"	"960"	"2.29e+07"	C+	"0.000000"	"3.157564"	"4f3.(4I*<9/2>).6s<1/2>"	"(9/2,1/2)*"	"4"	""	""	"4"	9	9		"T8137"	"L3475"	
Pr	2	"394.943"	"394.9429+"	"900c"	"2.25e+07"	B	"0.204451"	"3.342857"	"4f3.(4I*<11/2>).6s<1/2>"	"(11/2,1/2)*"	"6"	"4f3.(4I*).6p?"	""	"6"	13	13		"T8137"	"L3475"	
Pr	2	"396.426"	"396.4262+"	"560"	"1.92e+07"	B	"0.216194"	"3.342857"	"4f3.(4I*<11/2>).6s<1/2>"	"(11/2,1/2)*"	"5"	"4f3.(4I*).6p?"	""	"6"	11	13		"T8137"	"L3475"	
Pr	2	"396.481"	"396.4812+"	"1600c"	"3.8e+07"	B+	"0.054795"	"3.181024&dagger;"	"4f3.(4I*<9/2>).6s<1/2>"	"(9/2,1/2)*"	"5"	"4f3.(4I*).6p"	"5I"	"6"	11	13		"T8137"	"L3475"	
Pr	2	"396.657"	"396.6566+"	"560c"	"1.85e+07"	B	"0.371749"	"3.496596"	"4f3.(4I*<13/2>).6s<1/2>"	"(13/2,1/2)*"	"7"	"4f3.(4I*).6p"	"5I"	"8"	15	17		"T8137"	"L3475"	
Pr	2	"397.116"	"397.1134+"	"500*"	"1.91e+06"	C+	"0.371749"	"3.493002"	"4f3.(4I*<13/2>).6s<1/2>"	"(13/2,1/2)*"	"7"	""	""	"7"	15	15		"T8137"	"L3475"	
