g,LeveleV
1,0.00000,
1,25.21507,
3,25.27442,
5,25.39725,
9,26.32309,
7,26.45567,
5,26.57404,
5,27.998883,
7,28.061785,
5,28.192588,
3,28.197988,
7,28.319721,
5,30.072019,
3,30.2435201,
1,30.451992,
3,30.710438,
3,33.747098,
7,34.346400,
5,34.390844,
3,34.544603,
3,34.635437,
5,34.683563,
3,34.856862,
5,34.948944,
1,34.972861,
3,35.034392,
1,36.071256,
1,40.005148,
3,40.047337,
5,40.128113,
9,40.184548,
7,40.252768,
5,40.352848,
7,40.441949,
5,40.657254,
3,40.662119,
5,40.678098,
3,40.739032,
7,40.739814,
5,40.742048,
1,41.044828,
3,41.088760,
3,41.751568,
3,42.055203,
7,42.226557,
5,42.247457,
3,42.321906,
5,42.353183,
1,42.540248,
3,42.623903,
5,42.669138,
3,42.682542,
1,42.984372,
3,42.989313,
5,43.009655,
11,43.065213,
9,43.070066,
7,43.074224,
5,43.116524,
7,43.149989,
9,43.152931,
7,43.486365,
7,43.491111,
9,43.494316,
5,43.506060,
1,44.503001,
3,44.529772,
5,44.574873,
9,44.577661,
7,44.609585,
5,44.659996,
7,44.682502,
5,44.777398,
3,44.802100,
3,44.856749,
5,44.993056,
5,45.008901,
7,45.020987,
1,45.158751,
3,45.172880,
3,45.299348,
3,45.474782,
5,45.493067,
7,45.505505,
7,45.560834,
11,45.891731,
9,45.895532,
5,45.91191,
5,45.93044,
7,45.93805,
9,45.94025,
5,45.985972,
7,45.986126,
13,45.992871,
11,45.992887,
7,46.00558,
7,46.005738,
9,46.005747,
9,46.013101,
11,46.013147,
5,46.032169,
3,46.053630,
7,46.29594,
9,46.29886,
5,46.32383,
7,46.355258,
9,46.387312,
11,46.387362,
9,46.387875,
7,46.387924,
3,46.700,
9,46.71831,
7,46.72759,
5,46.76288,
3,46.840,
3,46.880,
5,47.13287,
7,47.14257,
3,47.209,
3,47.231,
11,47.43203,
9,47.43485,
7,47.45925,
7,47.46010,
9,47.46097,
5,47.46777,
5,47.493552,
7,47.493856,
13,47.497700,
11,47.497739,
9,47.505353,
7,47.505427,
9,47.509483,
11,47.509530,
7,47.82785,
9,47.83007,
7,47.8414,
5,47.84636,
9,47.888697,
11,47.888733,
9,47.888869,
7,47.888935,
3,47.920,
3,47.999,
3,48.022,
3,48.359,
11,48.3605,
3,48.370,
9,48.3796,
7,48.40252,
13,48.404867,
11,48.404918,
7,48.40988,
9,48.412332,
11,48.412398,
3,48.677,
3,48.721,
3,48.738,
9,48.7537,
9,48.794178,
11,48.794212,
9,48.794268,
7,48.79433,
3,49.089,
3,49.095,
3,49.180,
3,49.204,
3,49.219,
3,49.527,
3,49.545,
3,49.550,
3,49.583,
3,49.592,
3,49.926,
3,49.930,
,50.91316,
3,53.450,
3,61.106,
3,64.441,
3,66.149,
3,67.120,
3,67.70,

#ignore,test#1.0
