g,LeveleV
2,0.000000,
2,8.079976,
4,8.293009,
6,16.166989,
4,16.601732,
2,17.450384,
4,17.864444,
6,17.878556,
2,19.932389,
4,19.999197,
6,22.990711,
8,22.991517,
4,23.1361,
2,23.255283,
2,23.3454,
4,23.456288,
6,23.464083,
4,23.58555,
4,24.18350,
2,24.2568,
4,24.32244,
2,24.34115,
4,24.42357,
2,24.42820,
4,24.522,
8,25.777367,
6,25.778648,
8,25.820203,
10,25.820223,
2,25.931048,
4,26.039177,
6,26.043336,
2,26.4999,
4,26.50286,
8,26.988808,
4,27.002586,
6,27.256028,
8,27.319503,
10,27.319515,
6,27.330757,
2,27.383094,
4,27.536289,
4,27.81077,
8,28.22342,
10,28.22342,
4,28.5472,
,30.72576,
2,32.9564,
4,33.0861,
2,33.4242,
6,33.4742,
4,33.5442,
6,34.2266,
4,34.339,
4,34.377,
4,34.4872,
6,34.552,
2,34.6470,
2,34.8518,
4,34.920,
6,36.8569,

#ignore,test#2.0
