g,LeveleV
1,0.0000000000000,
1,5.2415553834603,
3,5.37478712,
5,5.6821036,
3,7.8157836,
3,11.6450775,
1,12.0302131,
5,12.1043834,
1,12.597794,
3,12.657388,
5,12.668047,
7,12.6846246,
3,12.801293,
5,13.0884270,
1,13.3484744,
3,13.3707029,
5,13.4436484,
3,13.6110127,
5,14.1199304,
1,15.037985,
3,15.0569561,
1,15.2962837,
5,15.329772,
7,15.330410,
9,15.332487,
7,15.3367424,
3,15.4661273,
5,15.4703409,
7,15.4769693,
5,15.7051956,
1,15.737671,
3,15.7453596,
5,15.7774935,
3,15.8170757,
3,16.4988886,
1,16.5586330,
5,16.606535,
7,16.607029,
9,16.609031,
7,16.612004,
7,16.677391,
11,16.677876,
3,16.7039556,
5,16.7061292,
7,16.7095856,
5,16.7875008,
1,16.8399,
3,16.844694,
5,16.86177,
3,16.873869,
3,17.250796,
1,17.281823,
5,17.301923,
7,17.302336,
9,17.304148,
7,17.306476,
7,17.348087,
11,17.348547,
9,17.3553,
11,17.3558,
3,17.367983,
5,17.369274,
7,17.371308,
5,17.408418,
1,17.4466,
3,17.448865,
5,17.459762,
3,17.462554,
3,17.693577,
1,17.711993,
5,17.720790,
7,17.721089,
9,17.722702,
7,17.724752,
7,17.752537,
11,17.752979,
9,17.75736,
11,17.75780,
3,17.766746,
5,17.767582,
7,17.768892,
5,17.789735,
1,17.8136,
3,17.817340,
5,17.82160,
3,17.824353,
3,17.976468,
1,17.988402,
5,17.992065,
7,17.992288,
9,17.993757,
7,17.995618,
7,18.014946,
11,18.015389,
9,18.01820,
11,18.01865,
3,18.025193,
5,18.025777,
7,18.026675,
5,18.039646,
3,18.059019,
3,18.062479,
3,18.168292,
1,18.176452,
7,18.177606,
5,18.177847,
9,18.179152,
7,18.180841,
7,18.194747,
11,18.195197,
9,18.197122,
11,18.197561,
3,18.202430,
5,18.202770,
7,18.203434,
5,18.212056,
3,18.2277,
3,18.304359,
7,18.310045,
1,18.310164,
5,18.310310,
9,18.311463,
7,18.313005,
7,18.323296,
11,18.323734,
9,18.325072,
11,18.325483,
3,18.329020,
5,18.329364,
7,18.329857,
5,18.335895,
3,18.404324,
7,18.407734,
5,18.408189,
1,18.40862,
9,18.409171,
7,18.410601,
7,18.418393,
11,18.418831,
9,18.41973,
11,18.42018,
3,18.422777,
5,18.423096,
7,18.423526,
5,18.427874,
3,18.479963,
7,18.48202,
5,18.482410,
1,18.48323,
9,18.483411,
7,18.484665,
7,18.490676,
11,18.491114,
9,18.491741,
11,18.492190,
3,18.494144,
5,18.49448,
7,18.494741,
5,18.49798,
3,18.538610,
1,18.541118,
7,18.546898,
11,18.547331,
9,18.547760,
11,18.548208,
3,18.54980,
5,18.549856,
7,18.550203,
5,18.55276,
3,18.584873,
1,18.58691,
7,18.591506,
11,18.591938,
9,18.592200,
11,18.592649,
3,18.59375,
5,18.59410,
7,18.594195,
5,18.59617,
3,18.62220,
1,18.62378,
3,18.62962,
5,18.62962,
7,18.62970,
5,18.63134,
3,18.65262,
1,18.65390,
3,18.65852,
7,18.65882,
5,18.65882,
5,18.66009,
3,18.68275,
5,18.68281,
7,18.68291,
,18.87041,

#ignore,test#1.04
