g,LeveleV
9,0.0000000,
7,0.0253904,
5,0.1090833,
7,0.1651673,
3,0.2123957,
5,0.2748172,
5,0.4227783,
5,1.6764334,
1,1.8261434,
5,1.9353740,
3,1.9507675,
1,1.9858928,
9,2.7403390,
9,3.1930336,
7,3.3061486,
13,3.3799201,
5,3.3990104,
11,3.4195327,
3,3.4645554,
9,3.4799965,
1,3.4979659,
11,3.5387700,
5,3.5421297,
7,3.5432227,
5,3.5971791,
9,3.6060130,
7,3.6353112,
9,3.6551768,
3,3.6576174,
7,3.6784739,
7,3.6784770,
7,3.6987932,
5,3.7056989,
5,3.7397508,
1,3.7433620,
3,3.7681281,
5,3.7963235,
3,3.8327008,
11,3.8339304,
9,3.8409993,
7,3.8473561,
5,3.8982659,
7,3.9409818,
9,4.0881776,
3,4.0892791,
7,4.1054062,
7,4.1535726,
9,4.1646453,
5,4.1672193,
5,4.2357049,
3,4.2661171,
7,4.4186880,
5,4.5379197,
7,5.0041571,
5,5.0194026,
3,5.0547113,
9,5.2798934,
7,5.2824639,
7,5.2843298,
5,5.2883800,
3,5.2887058,
7,5.3025380,
5,5.3052851,
5,5.3256424,
11,5.3424268,
9,5.3633985,
3,5.3888468,
7,5.4125182,
7,5.4125270,
5,5.4470484,
5,5.4669311,
3,5.4692124,
3,5.4717016,
7,5.4808578,
5,5.4878629,
9,5.4943479,
9,5.496976,
1,5.5067526,
5,5.5142095,
9,5.5223213,
7,5.5253604,
3,5.5944625,
7,5.6141395,
5,5.6312140,
5,5.7681002,
7,5.8309895,
5,5.8445329,
3,5.8530645,
5,5.8680213,
3,5.8799240,
1,5.9123833,
11,6.0090789,
7,6.0345650,
9,6.0399629,
5,6.0424059,
3,6.0526726,
3,6.0694376,
5,6.0793080,
9,6.0858861,
11,6.0948747,
5,6.0949429,
3,6.0964457,
9,6.0968944,
5,6.0981799,
3,6.0995491,
7,6.1088924,
7,6.1141337,
5,6.1158691,
7,6.1159099,
9,6.1164620,
3,6.1252392,
1,6.1508989,
7,6.1716320,
5,6.2040690,
1,6.2163765,
7,6.21691,
7,6.2169385,
1,6.2334694,
5,6.2421614,
3,6.2560185,
9,6.2570028,
3,6.2657526,
7,6.2832160,
5,6.2846957,
9,6.2867766,
3,6.2880937,
3,6.2915226,
5,6.2927068,
9,6.2970710,
7,6.3023649,
5,6.3026625,
3,6.3047451,
7,6.3386502,
7,6.3611380,
5,6.3657885,
1,6.3798859,
5,6.4522025,
7,6.4716583,
5,6.4808623,
3,6.6584289,
5,6.6646444,
9,6.7245432,
7,6.7263049,
5,6.7334624,
11,6.7359229,
7,6.7553922,
3,6.7565649,
9,6.7626329,
5,6.7631327,
3,6.7663936,
7,6.7703636,
3,6.7769190,
11,6.7769402,
5,6.7778814,
9,6.7778814,
1,6.7817333,
3,6.7818211,
7,6.7819120,
3,6.7834097,
5,6.7835548,
11,6.7839485,
13,6.7840033,
7,6.7854035,
5,6.7854998,
5,6.7859491,
7,6.7870520,
9,6.7870979,
9,6.7871621,
11,6.7872081,
9,6.7895345,
7,6.7908795,
1,6.8210011,
9,6.8881816,
7,6.8906503,
13,6.9054839,
11,6.9123451,
3,6.9283692,
5,6.9332565,
5,6.9360111,
7,6.9395623,
7,6.9406287,
5,6.9458364,
5,6.9496956,
3,6.9564962,
7,6.9645219,
9,6.9658658,
3,6.9665129,
5,6.9680755,
5,6.9696948,
3,6.9698305,
11,6.9710478,
9,6.9712681,
7,6.9727113,
5,6.9727905,
11,6.9733406,
7,6.9740561,
9,6.9742179,
7,6.9755976,
7,6.9757122,
5,6.9771421,
9,6.9851610,
1,6.9928041,
7,7.0082565,
5,7.0127616,
13,7.0205555,
5,7.0312467,
9,7.0381465,
11,7.0424991,
7,7.0449665,
9,7.0494792,
15,7.0528678,
9,7.0590257,
5,7.0597244,
13,7.0614082,
11,7.0638328,
7,7.0650926,
7,7.0799788,
11,7.0925257,
13,7.0925691,
9,7.0935160,
9,7.0935616,
11,7.0935913,
3,7.0943306,
5,7.0943311,
13,7.0947151,
15,7.0947154,
5,7.0947985,
7,7.0947989,
7,7.0952664,
9,7.0952669,
13,7.0954663,
11,7.0954668,
11,7.0955606,
9,7.0955610,
11,7.0983273,
3,7.1268513,
9,7.1296104,
5,7.1297170,
3,7.1311969,
5,7.1324731,
7,7.1350050,
5,7.1355484,
11,7.1511079,
5,7.1539614,
7,7.1592860,
13,7.1615801,
3,7.1622531,
9,7.1649888,
9,7.1675808,
11,7.1699234,
1,7.1728472,
5,7.1843503,
3,7.1902123,
5,7.1917376,
7,7.1959791,
9,7.2078671,
1,7.2467227,
9,7.2553215,
11,7.2556623,
3,7.2562311,
7,7.2574963,
9,7.2629679,
7,7.2640000,
7,7.2691272,
5,7.2691755,
11,7.2796002,
9,7.2796397,
5,7.2814108,
7,7.2814138,
11,7.2816754,
13,7.2816760,
9,7.2821581,
7,7.2821588,
11,7.2824129,
9,7.2824250,
3,7.2985296,
7,7.3022017,
5,7.3160540,
9,7.3199816,
5,7.3206510,
3,7.3247123,
5,7.3296959,
7,7.3384661,
3,7.3424985,
11,7.4220178,
,7.639878,
15,7.7840394,
13,7.7871866,

#ignore,test#47.43
