g,LeveleV
9,0.000000,
11,0.054795,
13,0.204451,
11,0.216194,
15,0.371749,
13,0.421944,
13,0.482728,
11,0.508038,
17,0.550136,
15,0.629759,
15,0.633361,
13,0.648006,
13,0.725879,
15,0.795226,
17,0.795710,
9,0.896157,
11,0.922223,
9,0.923240,
17,0.949689,
7,0.960167,
19,0.967772,
9,0.971098,
11,0.978049,
9,1.004237,
13,1.009314,
11,1.016398,
11,1.038918,
13,1.049531,
11,1.051118,
11,1.052610,
19,1.110711,
5,1.111596,
7,1.121437,
9,1.131811,
13,1.142134,
21,1.147491,
9,1.157485,
11,1.162802,
11,1.179830,
13,1.181882,
13,1.196035,
13,1.199028,
15,1.201993,
9,1.211075,
15,1.243600,
9,1.254302,
13,1.256941,
13,1.260110,
11,1.297671,
11,1.306276,
15,1.320459,
13,1.330319,
11,1.339254,
15,1.362243,
15,1.364517,
9,1.370612,
13,1.374835,
15,1.395250,
13,1.398931,
17,1.402280,
15,1.415716,
11,1.419338,
17,1.439587,
13,1.456751,
15,1.462317,
11,1.478762,
9,1.480783,
13,1.497272,
15,1.517213,
15,1.517999,
17,1.555404,
13,1.590338,
15,1.601411,
17,1.614442,
17,1.615401,
13,1.622239,
15,1.626991,
13,1.638602,
7,1.643685,
13,1.657053,
17,1.658116,
9,1.668468,
13,1.670394,
19,1.691037,
13,1.708106,
15,1.740178,
9,1.747560,
9,1.748461,
9,1.756596,
15,1.760403,
15,1.773857,
19,1.776758,
13,1.787457,
11,1.811117,
19,1.823307,
11,1.828252,
17,1.833951,
15,1.836326,
11,1.848469,
17,1.870569,
11,1.880349,
13,2.013877,
9,2.103729,
11,2.191550,
15,2.241293,
9,2.290019,
13,2.335338,
11,2.344555,
9,2.426058,
17,2.445185,
9,2.460512,
13,2.465071,
13,2.493936,
15,2.540512,
13,2.548408,
11,2.611232,
11,2.619942,
9,2.660949,
13,2.665009,
11,2.687496,
13,2.700507,
9,2.724114,
11,2.732618,
17,2.750499,
11,2.766964,
13,2.786178,
11,2.798507,
15,2.809577,
11,2.811396,
9,2.812791,
13,2.816716,
11,2.837452,
13,2.869173,
11,2.884041,
13,2.914306,
9,2.917088,
11,2.928117,
11,2.932505,
9,2.933491,
11,2.939991,
15,2.963019,
17,2.971960,
13,2.972872,
13,2.989941,
13,3.024437,
11,3.064398,
9,3.069223,
15,3.077107,
13,3.079151,
15,3.130439,
9,3.157564,
11,3.161538,
9,3.167181,
15,3.170176,
7,3.171329,
13,3.175260,
13,3.181024,
7,3.194181,
9,3.200583,
11,3.204050,
11,3.231323,
17,3.240918,
11,3.241692,
9,3.251679,
13,3.272999,
15,3.278776,
13,3.288559,
11,3.303046,
11,3.311284,
15,3.330333,
13,3.342857,
11,3.344287,
17,3.363443,
11,3.372152,
11,3.394743,
13,3.422576,
17,3.444491,
15,3.472773,
13,3.475783,
15,3.493002,
17,3.496596,
13,3.534639,
15,3.543194,
19,3.572760,
17,3.685303,
15,3.721770,
11,3.824247,
9,3.939713,
11,4.040731,
11,4.125888,
11,4.139537,
9,4.146092,
13,4.167938,
11,4.175112,
9,4.213136,
13,4.219343,
9,4.255471,
13,4.356014,
11,4.366836,
11,4.401138,
,10.631,

#ignore,test#463.58
