g,LeveleV
9,0.00000,
7,0.29772,
5,0.44395,
5,1.01226,
3,1.30369,
1,1.33417,
5,1.44363,
9,1.84183,
11,2.09345,
9,2.29872,
7,2.45394,
5,2.55989,
3,2.62599,
9,3.14633,
7,3.40205,
7,3.44693,
5,3.48785,
5,3.57503,
3,3.60459,
11,3.93408,
9,4.04247,
7,4.19629,
5,4.24559,
3,4.30549,
1,4.34093,
13,4.43705,
1,4.4933,
5,4.50885,
9,4.52374,
3,4.55146,
11,4.56194,
7,4.57984,
5,4.78855,
3,4.79664,
9,4.82834,
11,5.08897,
5,5.31549,
9,7.01097,
11,7.06968,
7,7.23553,
9,7.33509,
5,7.40168,
13,7.40215,
11,7.40550,
7,7.49465,
3,7.51012,
9,7.58450,
5,7.60716,
3,7.67228,
7,7.67956,
1,7.68857,
11,7.71112,
5,7.72276,
9,7.72745,
5,7.84341,
7,7.86740,
9,7.92997,
7,8.03658,
5,8.05530,
7,8.09880,
5,8.19273,
3,8.27839,
3,8.55775,
5,8.55992,
7,8.57414,
9,8.68364,
1,8.70359,
3,8.74612,
11,8.75862,
9,8.80358,
5,8.84734,
7,8.89062,
13,8.94076,
5,8.94279,
9,8.94675,
7,8.96452,
3,8.96796,
5,8.99762,
3,9.02118,
9,9.03480,
7,9.07387,
11,9.10593,
3,9.13098,
5,9.14013,
7,9.22001,
11,9.23804,
3,9.24151,
11,9.27851,
9,9.29626,
7,9.30260,
5,9.31771,
7,9.38450,
15,9.41107,
5,9.42370,
7,9.42682,
3,9.44034,
9,9.48535,
11,9.48960,
5,9.49305,
7,9.62055,
3,9.62527,
9,9.65128,
13,9.70767,
5,9.70845,
13,9.76195,
3,9.80023,
7,9.81455,
11,9.84426,
3,9.86265,
5,9.88371,
5,9.91115,
9,9.95023,
9,10.10329,
7,10.14053,
5,10.16112,
11,10.26970,
3,10.31253,
3,10.32186,
7,10.83548,
3,10.88922,
5,10.90194,
,18.08,

#ignore,test#29.09
