g,LeveleV
1,0.0000,
3,0.5890,
5,1.0123,
5,2.1521,
3,10.27652,
3,11.44385,
5,11.61810,
5,11.78155,
3,11.97370,
5,12.45587,
3,12.54088,
5,12.98224,
7,13.18021,
1,13.32360,
3,13.35529,
5,13.51503,
3,14.16022,
5,14.30976,
3,14.34986,
5,14.47043,
3,14.60402,
7,14.98928,
3,15.14110,
5,15.18932,
5,15.47116,
3,15.76876,
7,15.77597,
3,15.94659,
3,16.38038,
1,16.39845,
5,16.40672,
3,17.14574,
5,17.31619,
7,17.35155,
3,17.58133,
5,17.72751,
3,19.98534,
5,20.17692,
3,20.24971,
7,20.29949,
5,20.65718,
7,20.83826,
9,20.89676,
5,21.07883,
3,21.14965,
7,21.20897,
5,21.32062,
3,21.43548,
3,21.51991,
3,21.63493,
5,22.12013,
,27.84,

#ignore,test#5.06
