g,LeveleV
4,0.000000,
6,0.438593,
8,0.836228,
10,1.147646,
4,1.267199,
2,1.459656,
8,1.892113,
10,2.009145,
6,2.131273,
2,2.276940,
4,2.296065,
12,2.755308,
6,2.822670,
10,2.987527,
4,3.120411,
6,3.463825,
8,3.522655,
4,4.053341,
6,4.351074,
8,4.839070,
10,5.359143,
6,5.366854,
4,5.423257,
2,5.643381,
6,5.714128,
4,5.911511,
6,6.117013,
4,6.429870,
8,6.549867,
6,6.994636,
10,7.073305,
8,7.237273,
2,7.392952,
4,8.019417,
2,9.622152,
6,10.574611,
4,10.807972,
4,11.145319,
8,11.511401,
6,11.719641,
6,11.744409,
2,12.207944,
6,12.236219,
10,12.277939,
4,12.381952,
8,12.438387,
4,12.454203,
2,12.556552,
8,12.753961,
6,12.797216,
2,12.854976,
4,12.888472,
10,13.050998,
8,13.232883,
6,13.235859,
8,13.498403,
4,13.504649,
12,13.537872,
4,13.623674,
10,13.669599,
6,13.719902,
8,13.826118,
2,13.993005,
4,14.076312,
6,14.087204,
6,14.297574,
10,14.310619,
8,14.395859,
4,14.434471,
2,14.596065,
4,14.759217,
6,14.763919,
10,14.840168,
8,15.081940,
2,15.086123,
12,15.231136,
6,15.276952,
8,15.362659,
4,15.631519,
6,15.755570,
4,16.132650,
2,16.534302,
6,16.587284,
2,16.66093,
4,16.83993,
6,17.397094,
8,17.455557,
4,17.630986,
6,17.795882,
4,18.048297,
8,18.12719,
4,18.194708,
2,18.27594,
6,18.56766,
10,18.64995,
6,19.31091,
4,19.55553,
8,19.58755,
2,20.16625,
6,20.25597,
4,20.275882,
2,20.92450,
6,21.06652,
8,21.23927,
4,21.670715,
,38.2,

#ignore,test#22.59
