,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
154,201.2061,6.160122,40230000.0,79.0,Au,I,1.1358409999999999,2.5,7.295901,1.5,CB,1.0,4.0
294,202.1364,6.131773,6674000.0,79.0,Au,I,1.1358409999999999,2.5,7.267552,2.5,CB,1.0,6.0
5144,235.2649,5.2684239999999996,11290000.0,79.0,Au,I,1.1358409999999999,2.5,6.4042129999999995,2.5,CB,1.0,6.0
5861,238.7747,5.190987000000001,7849000.0,79.0,Au,I,1.1358409999999999,2.5,6.326776000000001,3.5,CB,1.0,8.0
6752,242.7944,5.105053,195600000.0,79.0,Au,I,0.0,0.5,5.105001000000001,1.5,HL,1.0,4.0
9746,254.4199,4.871797,11500000.0,79.0,Au,I,2.657625,1.5,7.529373,1.5,CB,1.0,4.0
11077,259.0056,4.785548,42290000.0,79.0,Au,I,2.657625,1.5,7.443125,0.5,CB,1.0,2.0
12468,264.1482,4.692385,32970000.0,79.0,Au,I,1.1358409999999999,2.5,5.828179,1.5,CB,1.0,4.0
13355,267.5937,4.631971,165200000.0,79.0,Au,I,0.0,0.5,4.631925,0.5,HL,1.0,2.0
13698,268.8706,4.609974,13390000.0,79.0,Au,I,2.657625,1.5,7.267552,2.5,CB,1.0,6.0
14050,270.0894,4.589173000000001,5659000.0,79.0,Au,I,1.1358409999999999,2.5,5.724968,2.5,CB,1.0,6.0
15339,274.8251,4.510097,48160000.0,79.0,Au,I,1.1358409999999999,2.5,5.645893,3.5,CB,1.0,8.0
18857,287.2361,4.315233,6829000.0,79.0,Au,I,4.631925,0.5,8.947115,1.5,MIG,1.0,4.0
19131,288.3446,4.298644,9375000.0,79.0,Au,I,2.657625,1.5,6.956225999999999,1.5,CB,1.0,4.0
20593,294.0666,4.215004,10940000.0,79.0,Au,I,4.631925,0.5,8.846886999999999,1.5,MIG,1.0,4.0
22309,300.5853,4.123599,2023000.0,79.0,Au,I,4.631925,0.5,8.755482,0.5,MIG,1.0,2.0
22857,302.9205,4.091811,8000000.0,79.0,Au,I,1.1358409999999999,2.5,5.2276110000000005,2.5,CB,1.0,6.0
