,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
7815,247.3374,5.011291,253000000.0,58.01,Ce,II,0.869353,4.5,5.880593,3.5,MC,2.0,8.0
8114,248.6356,4.985128,342400000.0,58.01,Ce,II,0.900011,3.5,5.885089,2.5,MC,2.0,6.0
8841,251.331,4.931669,493500000.0,58.01,Ce,II,0.9563010000000001,4.5,5.887919999999999,3.5,MC,2.0,8.0
9005,251.9025,4.920482,25540000.0,58.01,Ce,II,0.122448,4.5,5.0428809999999995,5.5,MC,2.0,12.0
9705,254.3086,4.8739300000000005,1045000000.0,58.01,Ce,II,1.21244,2.5,6.086321,2.5,MC,2.0,6.0
10322,256.2422,4.837153,262700000.0,58.01,Ce,II,1.15515,3.5,5.992254,3.5,MC,2.0,8.0
10505,256.9165,4.824459,667100000.0,58.01,Ce,II,1.520057,3.5,6.344467,3.5,MC,2.0,8.0
10610,257.3134,4.817018,1148000000.0,58.01,Ce,II,1.21244,2.5,6.029408999999999,1.5,MC,2.0,4.0
11138,259.2341,4.7813300000000005,37870000.0,58.01,Ce,II,0.32665700000000003,2.5,5.107939,2.5,MC,2.0,6.0
11618,260.95,4.749892,218100000.0,58.01,Ce,II,1.026348,5.5,5.776192,5.5,MC,2.0,12.0
11630,260.99,4.749164,458600000.0,58.01,Ce,II,1.520057,3.5,6.269173,2.5,MC,2.0,6.0
11749,261.3893,4.741909,654800000.0,58.01,Ce,II,1.21244,2.5,5.954301,2.5,MC,2.0,6.0
12299,263.5149,4.703661,202000000.0,58.01,Ce,II,0.869353,4.5,5.572967,4.5,MC,2.0,10.0
12606,264.71,4.682427,213900000.0,58.01,Ce,II,1.20554,4.5,5.887919999999999,3.5,MC,2.0,8.0
12635,264.8296,4.680312000000001,358700000.0,58.01,Ce,II,1.4060549999999998,3.5,6.086321,2.5,MC,2.0,6.0
12667,264.933,4.6784870000000005,283400000.0,58.01,Ce,II,1.205837,3.5,5.884277,2.5,MC,2.0,6.0
12845,265.6841,4.66526,272300000.0,58.01,Ce,II,1.327041,4.5,5.992254,3.5,MC,2.0,8.0
13094,266.6491,4.648379,75840000.0,58.01,Ce,II,0.445585,4.5,5.093917,3.5,MC,2.0,8.0
13277,267.3072,4.636935,206400000.0,58.01,Ce,II,1.319944,5.5,5.9568330000000005,6.5,CC,2.0,14.0
13539,268.2735,4.620233,45780000.0,58.01,Ce,II,0.445585,4.5,5.065772,4.5,MC,2.0,10.0
13675,268.799,4.611201,246500000.0,58.01,Ce,II,1.2739340000000001,3.5,5.885089,2.5,MC,2.0,6.0
13767,269.1694,4.604856,390500000.0,58.01,Ce,II,1.481511,3.5,6.086321,2.5,MC,2.0,6.0
13916,269.597,4.597553,45320000.0,58.01,Ce,II,0.6088819999999999,5.5,5.206389,6.5,MC,2.0,14.0
13921,269.6094,4.597342,72810000.0,58.01,Ce,II,0.445585,4.5,5.0428809999999995,5.5,CC,2.0,12.0
14207,270.6883,4.579019000000001,169700000.0,58.01,Ce,II,0.5289659999999999,3.5,5.107939,2.5,MC,2.0,6.0
14236,270.8134,4.576904,62570000.0,58.01,Ce,II,0.6346510000000001,2.5,5.2115089999999995,2.5,MC,2.0,6.0
14276,270.9413,4.574744,54710000.0,58.01,Ce,II,0.703705,4.5,5.278403,3.5,MC,2.0,8.0
14553,271.9981,4.556971,54910000.0,58.01,Ce,II,0.721478,4.5,5.278403,3.5,MC,2.0,8.0
14644,272.3384,4.5512760000000005,1048000000.0,58.01,Ce,II,1.481511,3.5,6.032741000000001,3.5,MC,2.0,8.0
14686,272.495,4.54866,49770000.0,58.01,Ce,II,0.559325,2.5,5.107939,2.5,CC,2.0,6.0
14801,272.9165,4.541634999999999,47280000.0,58.01,Ce,II,0.736813,3.5,5.278403,3.5,MC,2.0,8.0
14838,273.0708,4.53907,61980000.0,58.01,Ce,II,1.341569,2.5,5.880593,3.5,MC,2.0,8.0
14841,273.0813,4.538896,23620000.0,58.01,Ce,II,0.739553,3.5,5.278403,3.5,MC,2.0,8.0
14867,273.2043,4.536851,23330000.0,58.01,Ce,II,0.5289659999999999,3.5,5.065772,4.5,MC,2.0,10.0
14888,273.2821,4.53556,512400000.0,58.01,Ce,II,0.875556,0.5,5.411071,0.5,MC,2.0,2.0
14995,273.6326,4.529751,107000000.0,58.01,Ce,II,0.7345079999999999,1.5,5.264213,1.5,MC,2.0,4.0
15264,274.5724,4.514247,458700000.0,58.01,Ce,II,1.455853,5.5,5.970055,4.5,MC,2.0,10.0
15401,275.09,4.505755000000001,77050000.0,58.01,Ce,II,0.700679,5.5,5.206389,6.5,MC,2.0,14.0
15563,275.68,4.496112,170200000.0,58.01,Ce,II,0.969327,1.5,5.465394,1.5,MC,2.0,4.0
15702,276.1412,4.4886029999999995,860100000.0,58.01,Ce,II,1.047498,2.5,5.536055999999999,1.5,CC,2.0,4.0
15729,276.2206,4.487312999999999,319300000.0,58.01,Ce,II,1.041798,3.5,5.529066,2.5,MC,2.0,6.0
15756,276.2894,4.486196,55850000.0,58.01,Ce,II,0.7922520000000001,4.5,5.278403,3.5,MC,2.0,8.0
15884,276.7005,4.4795300000000005,66350000.0,58.01,Ce,II,0.265387,0.5,4.744872,0.5,MC,2.0,2.0
16307,278.0,4.4585930000000005,20600000.0,58.01,Ce,II,0.320035,4.5,4.778583,4.5,MC,2.0,10.0
16368,278.189,4.455563,9124000.0,58.01,Ce,II,0.122448,4.5,4.577966,4.5,MC,2.0,10.0
16370,278.1987,4.455408,56240000.0,58.01,Ce,II,0.823039,4.5,5.278403,3.5,MC,2.0,8.0
16433,278.4266,4.451761,589400000.0,58.01,Ce,II,1.013678,2.5,5.465394,1.5,MC,2.0,4.0
16472,278.5342,4.450042,619600000.0,58.01,Ce,II,1.520057,3.5,5.970055,4.5,MC,2.0,10.0
16613,279.0517,4.441789,871900000.0,58.01,Ce,II,0.969327,1.5,5.411071,0.5,MC,2.0,2.0
16642,279.1411,4.440367,618100000.0,58.01,Ce,II,1.15515,3.5,5.595472,2.5,MC,2.0,6.0
16957,280.305,4.421930000000001,220600000.0,58.01,Ce,II,0.7345079999999999,1.5,5.156394000000001,0.5,MC,2.0,2.0
17174,281.0179,4.410714,10820000.0,58.01,Ce,II,0.3178,5.5,4.72847,5.5,MC,2.0,12.0
17236,281.1863,4.408072,11140000.0,58.01,Ce,II,0.320035,4.5,4.728063,4.5,MC,2.0,10.0
17351,281.4953,4.403233999999999,97460000.0,58.01,Ce,II,0.8752129999999999,4.5,5.278403,3.5,MC,2.0,8.0
17425,281.7493,4.3992629999999995,88310000.0,58.01,Ce,II,0.70872,3.5,5.107939,2.5,MC,2.0,6.0
17797,283.0896,4.378436,441500000.0,58.01,Ce,II,0.900011,3.5,5.278403,3.5,MC,2.0,8.0
17912,283.5602,4.371169999999999,66590000.0,58.01,Ce,II,0.736813,3.5,5.107939,2.5,MC,2.0,6.0
17980,283.7901,4.367629,44140000.0,58.01,Ce,II,0.808542,1.5,5.176126999999999,1.5,MC,2.0,4.0
17984,283.8005,4.367468,3294000.0,58.01,Ce,II,0.0,3.5,4.367425,2.5,MC,2.0,6.0
18022,283.9365,4.365377,29880000.0,58.01,Ce,II,0.321819,1.5,4.687151999999999,1.5,MC,2.0,4.0
18084,284.1722,4.361757,61740000.0,58.01,Ce,II,1.026706,2.5,5.388419,2.5,MC,2.0,6.0
18103,284.2515,4.360539,25610000.0,58.01,Ce,II,0.32665700000000003,2.5,4.687151999999999,1.5,MC,2.0,4.0
18182,284.5456,4.356033999999999,119000000.0,58.01,Ce,II,1.420202,6.5,5.776192,5.5,MC,2.0,12.0
18267,284.9032,4.3505650000000005,46280000.0,58.01,Ce,II,0.417012,2.5,4.767533,1.5,MC,2.0,4.0
18424,285.4665,4.341981,138300000.0,58.01,Ce,II,0.321819,1.5,4.663757,0.5,CC,2.0,2.0
18428,285.4882,4.341651000000001,46620000.0,58.01,Ce,II,0.32665700000000003,2.5,4.668264,2.5,MC,2.0,6.0
18444,285.5321,4.340984,607400000.0,58.01,Ce,II,2.003527,3.5,6.344467,3.5,MC,2.0,8.0
18450,285.5445,4.340796,24680000.0,58.01,Ce,II,0.32751199999999997,3.5,4.668264,2.5,MC,2.0,6.0
18457,285.5715,4.3403849999999995,18170000.0,58.01,Ce,II,0.320035,4.5,4.6603769999999995,3.5,MC,2.0,8.0
18505,285.8009,4.336901,1013000000.0,58.01,Ce,II,2.0076099999999997,4.5,6.344467,3.5,MC,2.0,8.0
18548,285.9511,4.334623000000001,136200000.0,58.01,Ce,II,1.194487,1.5,5.529066,2.5,MC,2.0,6.0
18597,286.1341,4.331851,15410000.0,58.01,Ce,II,0.265387,0.5,4.597195,1.5,CC,2.0,4.0
18603,286.162,4.33143,35860000.0,58.01,Ce,II,0.321819,1.5,4.653205000000001,1.5,MC,2.0,4.0
18627,286.2783,4.329669,9532000.0,58.01,Ce,II,0.0,3.5,4.329626,3.5,MC,2.0,8.0
18722,286.6805,4.323595,639800000.0,58.01,Ce,II,1.705858,1.5,6.029408999999999,1.5,CC,2.0,4.0
18827,287.1074,4.317168,8847000.0,58.01,Ce,II,0.122448,4.5,4.439573,4.5,MC,2.0,10.0
18842,287.1631,4.316330000000001,6187000.0,58.01,Ce,II,0.0,3.5,4.316287,2.5,MC,2.0,6.0
19067,288.0639,4.302833000000001,274700000.0,58.01,Ce,II,1.420655,5.5,5.723444000000001,4.5,CC,2.0,10.0
19079,288.1131,4.302099,28220000.0,58.01,Ce,II,0.9043329999999999,6.5,5.206389,6.5,MC,2.0,14.0
19122,288.2603,4.299901,112800000.0,58.01,Ce,II,0.808082,2.5,5.107939,2.5,MC,2.0,6.0
19168,288.529,4.295897,75220000.0,58.01,Ce,II,0.8120850000000001,2.5,5.107939,2.5,MC,2.0,6.0
19258,288.8695,4.290833,628500000.0,58.01,Ce,II,1.7955299999999998,2.5,6.086321,2.5,MC,2.0,6.0
19292,289.0171,4.288641999999999,178600000.0,58.01,Ce,II,1.176795,0.5,5.465394,1.5,MC,2.0,4.0
19344,289.2035,4.285878,18640000.0,58.01,Ce,II,0.808082,2.5,5.093917,3.5,MC,2.0,8.0
19345,289.2142,4.285719,13160000.0,58.01,Ce,II,0.5289659999999999,3.5,4.814642,2.5,MC,2.0,6.0
19399,289.4088,4.282839,28890000.0,58.01,Ce,II,0.5289659999999999,3.5,4.811762,3.5,MC,2.0,8.0
19405,289.4216,4.282648,16290000.0,58.01,Ce,II,0.29536100000000004,4.5,4.577966,4.5,MC,2.0,10.0
19469,289.6734,4.278926,28640000.0,58.01,Ce,II,0.29536100000000004,4.5,4.574244,3.5,MC,2.0,8.0
19757,290.8422,4.261731,85780000.0,58.01,Ce,II,0.552954,3.5,4.814642,2.5,MC,2.0,6.0
19871,291.2904,4.255175,118900000.0,58.01,Ce,II,1.2739340000000001,3.5,5.529066,2.5,MC,2.0,6.0
19947,291.5562,4.251295,16800000.0,58.01,Ce,II,0.417012,2.5,4.668264,2.5,MC,2.0,6.0
