,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
2638,219.5556,5.645346,7476000.0,71.01,Lu,II,0.0,0.0,5.645289,1.0,CB,2.0,3.0
3845,227.6957,5.443544,4188000.0,71.01,Lu,II,3.380355,0.0,8.823844,1.0,CB',2.0,3.0
4181,229.738,5.395157,6493000.0,71.01,Lu,II,3.5339410000000004,1.0,8.929044000000001,2.0,CB',2.0,5.0
5941,239.2198,5.181329,161900000.0,71.01,Lu,II,2.148966,2.0,7.330242999999999,1.0,CB',2.0,3.0
6071,239.9139,5.166342,13960000.0,71.01,Lu,II,4.023691,2.0,9.189981,2.0,CB',2.0,5.0
6543,241.9207,5.123489,11420000.0,71.01,Lu,II,4.739109,1.0,9.862546,2.0,CB',2.0,5.0
6821,243.028,5.100146,9853000.0,71.01,Lu,II,4.023691,2.0,9.123786,2.0,CB',2.0,5.0
7492,245.9643,5.039265,7534000.0,71.01,Lu,II,1.541783,2.0,6.580997999999999,3.0,CB',2.0,7.0
7714,246.9265,5.01963,79200000.0,71.01,Lu,II,3.5339410000000004,1.0,8.553521,0.0,CB',2.0,1.0
8014,248.1728,4.9944239999999995,1992000.0,71.01,Lu,II,4.023691,2.0,9.018065,3.0,CB',2.0,7.0
9535,253.696,4.8856980000000005,23240000.0,71.01,Lu,II,1.462547,1.0,6.348197,2.0,CB',2.0,5.0
9838,254.6887,4.866657,8568000.0,71.01,Lu,II,4.023691,2.0,8.890299,2.0,CB',2.0,5.0
10558,257.123,4.8205849999999995,54760000.0,71.01,Lu,II,1.760462,3.0,6.580997999999999,3.0,CB',2.0,7.0
10773,257.8785,4.806462000000001,110200000.0,71.01,Lu,II,1.541783,2.0,6.348197,2.0,CB',2.0,5.0
10872,258.2149,4.8002,29030000.0,71.01,Lu,II,4.023691,2.0,8.823844,1.0,CB',2.0,3.0
11731,261.3397,4.7428099999999995,118100000.0,71.01,Lu,II,1.462547,1.0,6.20531,1.0,AS,2.0,3.0
11794,261.5412,4.7391559999999995,195700000.0,71.01,Lu,II,0.0,0.0,4.739109,1.0,CB,2.0,3.0
11893,261.9259,4.732194,414500000.0,71.01,Lu,II,1.462547,1.0,6.194694,0.0,CB',2.0,1.0
12866,265.7802,4.663573,176900000.0,71.01,Lu,II,1.541783,2.0,6.20531,1.0,AS,2.0,3.0
13600,268.5087,4.616187,555800000.0,71.0,Lu,I,0.5128149999999999,0.5,5.128956,0.5,CB',1.0,2.0
