,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
308,202.2017,6.129793,10600000.0,82.0,Pb,I,0.0,0.0,6.129731,1.0,CB,1.0,3.0
698,205.3281,6.036471,14520000.0,82.0,Pb,I,0.0,0.0,6.03641,1.0,CB,1.0,3.0
2261,217.0003,5.711816000000001,183600000.0,82.0,Pb,I,0.0,0.0,5.711758000000001,1.0,PS,1.0,3.0
2739,220.3534,5.6249080000000005,551600000.0,82.01,Pb,II,1.7458310000000001,1.5,7.370682,0.5,MIG,2.0,2.0
3344,224.6896,5.516367,4485000.0,82.0,Pb,I,0.9694649999999999,1.0,6.485776,2.0,CB,1.0,5.0
4778,233.2418,5.314118,9144000.0,82.0,Pb,I,1.3204719999999999,2.0,6.634537,1.0,CB,1.0,3.0
5880,238.8799,5.188703,7420000.0,82.0,Pb,I,1.3204719999999999,2.0,6.509123000000001,1.0,CB,1.0,3.0
5971,239.3792,5.17788,64650000.0,82.0,Pb,I,1.3204719999999999,2.0,6.4983,3.0,PS,1.0,7.0
6088,239.9597,5.165356,4311000.0,82.0,Pb,I,1.3204719999999999,2.0,6.485776,2.0,CB,1.0,5.0
6142,240.194,5.160318,27900000.0,82.0,Pb,I,0.9694649999999999,1.0,6.129731,1.0,PS,1.0,3.0
6373,241.1734,5.139362,18630000.0,82.0,Pb,I,1.3204719999999999,2.0,6.459783,2.0,CB,1.0,5.0
6773,242.8629,5.103613,8998000.0,82.0,Pb,I,2.660428,2.0,7.76399,2.0,CB,1.0,5.0
7130,244.3829,5.071872,44430000.0,82.0,Pb,I,0.9694649999999999,1.0,6.041286,0.0,PS,1.0,1.0
7187,244.6181,5.066996,24530000.0,82.0,Pb,I,0.9694649999999999,1.0,6.03641,1.0,PS,1.0,3.0
7881,247.6378,5.005214,37780000.0,82.0,Pb,I,0.9694649999999999,1.0,5.974629,2.0,PS,1.0,5.0
10718,257.726,4.8093069999999996,66750000.0,82.0,Pb,I,1.3204719999999999,2.0,6.129731,1.0,PS,1.0,3.0
11738,261.3655,4.742341000000001,18720000.0,82.0,Pb,I,0.9694649999999999,1.0,5.711758000000001,1.0,PS,1.0,3.0
11756,261.4175,4.741398,234500000.0,82.0,Pb,I,0.9694649999999999,1.0,5.710816,2.0,PS,1.0,5.0
12132,262.8262,4.715985,55900000.0,82.0,Pb,I,1.3204719999999999,2.0,6.03641,1.0,CB,1.0,3.0
12851,265.7094,4.664817,991000.0,82.0,Pb,I,0.9694649999999999,1.0,5.634234999999999,2.0,CB,1.0,5.0
13002,266.3154,4.654203,100900000.0,82.0,Pb,I,1.3204719999999999,2.0,5.974629,2.0,PS,1.0,5.0
16922,280.1995,4.423595,108100000.0,82.0,Pb,I,1.3204719999999999,2.0,5.744023,3.0,PS,1.0,7.0
17590,282.3189,4.390388,30440000.0,82.0,Pb,I,1.3204719999999999,2.0,5.710816,2.0,PS,1.0,5.0
17843,283.3053,4.375102,59190000.0,82.0,Pb,I,0.0,0.0,4.375058,1.0,PS,1.0,3.0
18873,287.3311,4.313806,41510000.0,82.0,Pb,I,1.3204719999999999,2.0,5.634234999999999,2.0,PS,1.0,5.0
27416,322.053,3.8487339999999994,16630000.0,82.0,Pb,I,2.660428,2.0,6.509123000000001,1.0,CB,1.0,3.0
35901,357.2729,3.4693379999999996,408100000.0,82.0,Pb,I,2.660428,2.0,6.129731,1.0,CB,1.0,3.0
37569,363.9568,3.4056269999999995,31960000.0,82.0,Pb,I,0.9694649999999999,1.0,4.375058,1.0,PS,1.0,3.0
38317,367.1491,3.3760160000000003,111400000.0,82.0,Pb,I,2.660428,2.0,6.03641,1.0,CB,1.0,3.0
38602,368.3462,3.365045,170400000.0,82.0,Pb,I,0.9694649999999999,1.0,4.334476,0.0,PS,1.0,1.0
39984,373.9935,3.3142339999999995,83020000.0,82.0,Pb,I,2.660428,2.0,5.974629,2.0,NG,1.0,5.0
46750,401.9632,3.0836259999999998,35510000.0,82.0,Pb,I,2.660428,2.0,5.744023,3.0,CB,1.0,7.0
47574,405.7807,3.054617,91240000.0,82.0,Pb,I,1.3204719999999999,2.0,4.375058,1.0,NG,1.0,3.0
47659,406.2136,3.051361,107000000.0,82.0,Pb,I,2.660428,2.0,5.711758000000001,1.0,CB,1.0,3.0
49825,416.8033,2.973837,12740000.0,82.0,Pb,I,2.660428,2.0,5.634234999999999,2.0,CB,1.0,5.0
62676,500.5417,2.4763349999999997,46550000.0,82.0,Pb,I,3.653421,0.0,6.129731,1.0,CB,1.0,3.0
64774,520.1437,2.383013,16390000.0,82.0,Pb,I,3.653421,0.0,6.03641,1.0,CB,1.0,3.0
68986,560.8853,2.209918,124500000.0,82.01,Pb,II,7.370682,0.5,9.580578,1.5,MIG,2.0,4.0
72518,600.1868,2.065209,4553000.0,82.0,Pb,I,4.3750599999999995,1.0,6.440248,2.0,CB,1.0,5.0
76723,666.0195,1.861075,73770000.0,82.01,Pb,II,7.370682,0.5,9.231738,0.5,MIG,2.0,2.0
77584,679.1055,1.8252130000000002,38460000.0,82.01,Pb,II,9.231738,0.5,11.056933,0.5,MIG,2.0,2.0
80153,722.8966,1.714647,6436000.0,82.0,Pb,I,2.660428,2.0,4.375058,1.0,NG,1.0,3.0
