,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
35337,355.1411,3.490163,7532000.0,59.0,Pr,I,0.0,4.5,3.490128,5.5,MC',1.0,12.0
37340,363.0969,3.4136919999999997,26210000.0,59.01,Pr,II,0.7258789999999999,6.0,4.139537000000001,5.0,MC',2.0,11.0
37702,364.5546,3.400043,15030000.0,59.01,Pr,II,0.7258789999999999,6.0,4.125888,5.0,MC',2.0,11.0
38746,368.9708,3.3593480000000002,24980000.0,59.01,Pr,II,0.896157,4.0,4.255471,4.0,MC',2.0,9.0
39248,371.1103,3.339982,4926000.0,59.01,Pr,II,0.054795,5.0,3.394743,5.0,MC',2.0,11.0
39969,373.9201,3.314885,51990000.0,59.01,Pr,II,0.7258789999999999,6.0,4.040731,5.0,MC',2.0,11.0
40738,376.9667,3.2880949999999998,2101000.0,59.01,Pr,II,0.054795,5.0,3.342857,6.0,MC',2.0,13.0
41015,378.1905,3.2774550000000002,7417000.0,59.01,Pr,II,0.978049,5.0,4.255471,4.0,MC',2.0,9.0
41751,381.1847,3.251712,10240000.0,59.01,Pr,II,0.0,4.0,3.251679,4.0,MC',2.0,9.0
41799,381.3891,3.249968,8052000.0,59.01,Pr,II,0.896157,4.0,4.1460919999999994,4.0,MC',2.0,9.0
42046,382.3182,3.24207,35220000.0,59.01,Pr,II,0.9710979999999999,4.0,4.213136,4.0,MC',2.0,9.0
42059,382.359,3.241725,842400.0,59.01,Pr,II,0.0,4.0,3.241692,5.0,MC',2.0,11.0
42067,382.406,3.241327,15660000.0,59.01,Pr,II,0.978049,5.0,4.219343,6.0,MC',2.0,13.0
42129,382.6682,3.239106,31050000.0,59.01,Pr,II,1.016398,5.0,4.255471,4.0,MC',2.0,9.0
42295,383.2964,3.233797,1492000.0,59.01,Pr,II,0.054795,5.0,3.288559,6.0,MC',2.0,13.0
42955,386.1306,3.210061,12490000.0,59.01,Pr,II,1.009314,6.0,4.219343,6.0,MC',2.0,13.0
43134,386.8511,3.2040830000000002,1272000.0,59.01,Pr,II,0.0,4.0,3.20405,5.0,MC',2.0,11.0
43159,386.9846,3.202978,15870000.0,59.01,Pr,II,1.016398,5.0,4.219343,6.0,MC',2.0,13.0
43230,387.2703,3.200615,949700.0,59.01,Pr,II,0.0,4.0,3.200583,4.0,MC',2.0,9.0
43348,387.7183,3.196916,45350000.0,59.01,Pr,II,0.054795,5.0,3.251679,4.0,MC',2.0,9.0
