element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Rb	1	"299.9776"	"0.0005"	"299.9774"	""	"5.71e+02"		"0.0000000"	"4.131914"	"4p6.5s"	"2S"	"1/2"	"4p6.20p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	1	"300.3862"	"0.0005"	"300.3859"	""	"2.05e+03"		"0.0000000"	"4.126295"	"4p6.5s"	"2S"	"1/2"	"4p6.19p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"300.3923"	"0.0005"	"300.3920"	""	"8.72e+02"		"0.0000000"	"4.126210"	"4p6.5s"	"2S"	"1/2"	"4p6.19p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	1	"300.8847"	"0.0005"	"300.8844"	""	"2.64e+03"		"0.0000000"	"4.119458"	"4p6.5s"	"2S"	"1/2"	"4p6.18p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"300.8923"	"0.0005"	"300.8920"	""	"1.05e+03"		"0.0000000"	"4.119354"	"4p6.5s"	"2S"	"1/2"	"4p6.18p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	1	"301.4938"	"0.0005"	"301.4936"	""	"3.26e+03"		"0.0000000"	"4.111135"	"4p6.5s"	"2S"	"1/2"	"4p6.17p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"301.5029"	"0.0005"	"301.5027"	""	"1.39e+03"		"0.0000000"	"4.111011"	"4p6.5s"	"2S"	"1/2"	"4p6.17p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	1	"302.2478"	"0.0005"	"302.2475"	""	"4.12e+03"		"0.0000000"	"4.100880"	"4p6.5s"	"2S"	"1/2"	"4p6.16p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"302.2591"	"0.0005"	"302.2589"	""	"1.77e+03"		"0.0000000"	"4.100727"	"4p6.5s"	"2S"	"1/2"	"4p6.16p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	1	"303.1979"	"0.0005"	"303.1976"	""	"4.93e+03"		"0.0000000"	"4.088031"	"4p6.5s"	"2S"	"1/2"	"4p6.15p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"303.2120"	"0.0005"	"303.2117"	""	"2.49e+03"		"0.0000000"	"4.087841"	"4p6.5s"	"2S"	"1/2"	"4p6.15p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	1	"304.4182"	"0.0005"	"304.4179"	""	"8.20e+03"		"0.0000000"	"4.071644"	"4p6.5s"	"2S"	"1/2"	"4p6.14p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"304.4368"	"0.0005"	"304.4365"	""	"3.72e+03"		"0.0000000"	"4.071396"	"4p6.5s"	"2S"	"1/2"	"4p6.14p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	2	"305.1362"	"0.0005"	"305.13654"	"1000"	"3.0e+07"		"16.7217180"	"20.7837732"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4p5.(2P*<1/2>).5p"	"2[1/2]"	"0"	3	1		"T3743"	"L2590"	
Rb	1	"306.0247"	"0.0005"	"306.0245"	""	"1.05e+04"		"0.0000000"	"4.050270"	"4p6.5s"	"2S"	"1/2"	"4p6.13p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"306.0491"	"0.0005"	"306.0488"	""	"4.51e+03"		"0.0000000"	"4.049948"	"4p6.5s"	"2S"	"1/2"	"4p6.13p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	1	"308.2003"	"0.0005"	"308.2000"	"2"	"1.49e+04"		"0.0000000"	"4.021680"	"4p6.5s"	"2S"	"1/2"	"4p6.12p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"308.2340"	"0.0005"	"308.2337"	""	"6.98e+03"		"0.0000000"	"4.021241"	"4p6.5s"	"2S"	"1/2"	"4p6.12p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	1	"311.2566"	"0.0005"	"311.25657"	"10"	"2.51e+04"		"0.0000000"	"3.9821890"	"4p6.5s"	"2S"	"1/2"	"4p6.11p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"311.3047"	"0.0005"	"311.30474"	"3"	"1.27e+04"		"0.0000000"	"3.9815728"	"4p6.5s"	"2S"	"1/2"	"4p6.11p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	2	"314.8903"	"0.0010"	"314.88954"	"5000c"	"1.4e+07"		"16.5322523"	"20.4684992"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	5	3		"T3743"	"L2590"	
Rb	1	"315.7530"	"0.0005"	"315.75298"	"25"	"3.38e+04"		"0.0000000"	"3.9254835"	"4p6.5s"	"2S"	"1/2"	"4p6.10p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"315.8259"	"0.0005"	"315.82591"	"5"	"2.01e+04"		"0.0000000"	"3.9245772"	"4p6.5s"	"2S"	"1/2"	"4p6.10p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	2	"316.1003"	"0.0005"	"316.10004"	"1200"	"1.4e+07"		"16.5322523"	"20.4534261"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	5	5		"T3743"	"L2590"	
Rb	1	"322.7979"	"0.0005"	"322.79795"	"50"	"6.40e+04"		"0.0000000"	"3.8398142"	"4p6.5s"	"2S"	"1/2"	"4p6.9p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"322.9156"	"0.0005"	"322.91557"	"6"	"3.84e+04"		"0.0000000"	"3.8384156"	"4p6.5s"	"2S"	"1/2"	"4p6.9p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	2	"332.1486"	"0.0005"	"332.14960"	"1500"	"1.8e+07"		"16.7217180"	"20.4534261"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	3	5		"T3743"	"L2590"	
Rb	1	"334.8696"	"0.0006"	"334.86958"	"60"	"1.37e+05"		"0.0000000"	"3.7013982"	"4p6.5s"	"2S"	"1/2"	"4p6.8p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"335.0812"	"0.0006"	"335.08116"	"75"	"8.91e+04"		"0.0000000"	"3.6990611"	"4p6.5s"	"2S"	"1/2"	"4p6.8p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
