g,LeveleV
4,0.00000000,
2,0.17749368,
2,13.4797526,
8,16.40650186,
6,16.42557623,
4,16.44411446,
2,16.45737782,
6,16.64385439,
4,16.74852891,
2,16.81247225,
4,17.140027439,
2,17.265833524,
10,17.62885633,
8,17.69466481,
6,17.74309101,
4,17.77579262,
2,17.94175110,
4,18.06063988,
2,18.25395203,
4,18.28805528,
6,18.33428084,
4,18.426549103,
6,18.454114013,
8,18.495869040,
6,18.615942491,
4,18.656521057,
6,18.732439371,
10,19.11606897,
8,19.11886231,
6,19.222902151,
4,19.261084163,
2,19.30534490,
8,19.49453389,
6,19.549011775,
4,19.61030789,
2,19.64258207,
6,19.680048951,
4,19.762261075,
2,19.801086565,
4,19.867157038,
4,19.96749907,
2,19.972538226,
6,20.24656525,
8,20.272226904,
2,20.74354606,
6,21.127033505,
8,21.143075448,
4,21.351799846,
6,21.36689104,
2,21.42648951,
4,21.42814610,
4,21.492402391,
6,21.498049871,
4,21.62407061,
2,21.67504277,
6,22.26659804,
4,22.30870487,
6,22.514803938,
4,22.592663597,
2,22.683065435,
4,22.700377572,
8,22.77287965,
6,22.78797918,
2,22.802509716,
4,22.81135843,
2,22.82463962,
2,22.83687165,
10,22.94864813,
8,23.01454553,
6,23.070289982,
2,23.08230349,
4,23.103285166,
4,23.11937815,
8,23.162238164,
6,23.17153570,
6,23.258113744,
6,23.404027598,
4,23.438088809,
8,23.484470418,
2,23.48728630,
6,23.514204395,
2,23.54889313,
4,23.570177223,
2,23.58132422,
4,23.619908872,
6,23.620386781,
4,23.63042494,
2,23.64788005,
2,23.67388033,
4,23.682522355,
4,23.702008951,
4,23.80181442,
2,23.84631466,
6,23.87401512,
4,23.89325004,
10,24.15215486,
8,24.15487223,
6,24.15972864,
8,24.16242396,
4,24.17649235,
6,24.18078735,
12,24.19224889,
10,24.19283498,
2,24.21181411,
4,24.21382629,
6,24.284131501,
4,24.28439443,
4,24.31038415,
6,24.31205385,
10,24.313723219,
8,24.31566967,
8,24.33873405,
6,24.34003126,
8,24.37801682,
6,24.37939735,
8,24.62264169,
10,24.62377605,
6,24.649622089,
4,24.690028614,
2,24.72823017,
4,24.73797775,
6,24.75714540,
8,24.781885060,
6,24.791840619,
4,24.79461100,
4,24.800842727,
2,24.810530468,
8,24.814064898,
4,24.81564826,
6,24.82597075,
10,24.845578706,
2,24.84723130,
2,24.87417696,
8,24.90601840,
2,24.92458926,
4,24.96363470,
6,24.96441882,
8,24.996318074,
4,25.01018340,
6,25.017761960,
6,25.063301207,
6,25.064142489,
4,25.076257320,
2,25.09695279,
8,25.098108804,
4,25.102730005,
6,25.11230570,
4,25.169760115,
6,25.18754647,
8,25.193287976,
4,25.211570947,
6,25.231017595,
2,25.24248286,
4,25.259414577,
2,25.26633095,
4,25.282631498,
4,25.30688090,
6,25.30939846,
4,25.34451490,
2,25.35663454,
6,25.3653896,
2,25.40801331,
10,25.40905473,
8,25.41070124,
6,25.41398919,
8,25.41628630,
4,25.42374234,
6,25.42657193,
12,25.42923159,
10,25.42970831,
2,25.43912897,
4,25.44082574,
12,25.44304392,
10,25.44305904,
8,25.44339237,
10,25.44339266,
4,25.44422467,
2,25.44689500,
6,25.44775895,
8,25.44777276,
12,25.45069417,
14,25.45069590,
4,25.45407080,
6,25.45408951,
4,25.55357413,
6,25.55566971,
10,25.55720904,
8,25.55922152,
8,25.57120023,
6,25.57239413,
6,25.58252217,
8,25.58253774,
12,25.58388229,
10,25.58388835,
10,25.59001247,
8,25.59001388,
8,25.61810033,
6,25.61906799,
8,25.6423384,
10,25.64233884,
6,25.67654286,
4,25.69912067,
8,25.75083567,
6,25.75728027,
10,25.78089157,
4,25.79018407,
8,25.80645208,
4,25.81968425,
2,25.82951773,
2,25.84843727,
2,25.86208761,
4,25.86213691,
6,25.87220304,
4,25.87489852,
2,25.88366492,
12,25.88831364,
10,25.88831410,
6,25.9020761,
6,25.90293551,
4,25.90321077,
8,25.91464514,
6,25.93733151,
8,25.94352386,
6,25.94387988,
4,25.94596914,
8,25.95459873,
10,25.95464012,
6,25.95946554,
6,25.962013,
4,25.962023,
4,25.96396722,
4,25.98677781,
6,26.05226965,
10,26.0910933,
8,26.09211674,
6,26.0942982,
8,26.0959240,
4,26.1002893,
6,26.1020361,
12,26.102613,
10,26.1030057,
4,26.109201,
12,26.11201792,
10,26.11203395,
10,26.1122349,
8,26.11224084,
6,26.11480622,
8,26.1148142,
10,26.11562721,
12,26.11562754,
12,26.1156858,
14,26.11568686,
14,26.11633493,
12,26.11636970,
8,26.11689532,
10,26.11689637,
14,26.11799316,
16,26.11799488,
4,26.1183379,
6,26.11835425,
6,26.11883422,
8,26.11883580,
4,26.23162100,
6,26.23333896,
10,26.23425812,
8,26.23586749,
8,26.242751,
6,26.2436324,
6,26.25063624,
8,26.25064940,
12,26.25146700,
10,26.25147586,
8,26.25389755,
10,26.25389891,
12,26.25427186,
14,26.25427383,
10,26.25507599,
8,26.25507612,
12,26.25625228,
10,26.25625371,
8,26.29349829,
6,26.29420710,
8,26.29574504,
10,26.30919076,
8,26.30921053,
12,26.31161594,
10,26.31161729,
10,26.3124708,
8,26.3270998,
4,26.40024800,
6,26.40040716,
8,26.44578799,
10,26.501521,
8,26.502211,
12,26.508766,
10,26.508998,
12,26.5151818,
10,26.5151883,
10,26.5153217,
8,26.5153368,
8,26.5169564,
6,26.5169717,
12,26.5175109,
10,26.51751682,
12,26.5175467,
14,26.5175481,
14,26.5178909,
12,26.5178912,
12,26.5182801,
14,26.5182804,
8,26.5183117,
10,26.5183133,
14,26.5183401,
16,26.51834082,
10,26.51872797,
12,26.51872896,
14,26.5189885,
16,26.5189885,
4,26.519141,
6,26.5191667,
16,26.51920453,
18,26.51920626,
8,26.5194637,
10,26.5194655,
6,26.5195298,
8,26.5195298,
8,26.55553718,
10,26.55611128,
6,26.6153804,
8,26.633348,
8,26.63580586,
10,26.642424,
10,26.643572,
8,26.643649,
6,26.64561340,
6,26.6534543,
8,26.6534598,
12,26.6539917,
10,26.6540015,
8,26.6556191,
10,26.6556191,
12,26.6558589,
14,26.6558601,
8,26.656228,
10,26.6563036,
10,26.65633161,
12,26.65633296,
14,26.65645372,
16,26.65645569,
12,26.6571108,
10,26.6571109,
14,26.65721730,
12,26.65721872,
2,26.66475730,
8,26.7113733,
10,26.7114156,
10,26.7129920,
12,26.7129933,
12,26.71346441,
14,26.7134644,
10,26.767405,
12,26.772202,
10,26.772359,
12,26.778505,
14,26.778524,
14,26.7787432,
12,26.7787494,
14,26.7787809,
16,26.7787823,
10,26.7790114,
12,26.7790130,
14,26.7790641,
16,26.7790645,
16,26.7790993,
18,26.7791000,
16,26.7792085,
18,26.7792089,
12,26.7792435,
14,26.7792445,
8,26.7794127,
10,26.7794127,
18,26.7794755,
20,26.7794772,
10,26.7795606,
12,26.7795623,
2,26.889960,
14,26.9166429,
16,26.9166441,
10,26.9166673,
12,26.9166673,
12,26.9170312,
14,26.9170326,
16,26.9170782,
18,26.9170802,
12,26.9172077,
14,26.9172077,
16,26.9174374,
14,26.9174388,
12,26.9736918,
14,26.9736929,
16,26.9739785,
14,26.9739799,
10,27.14521116,
12,27.145213,
6,27.152775,
4,27.153006,
6,27.1714508,
8,27.172460,
14,27.1777815,
12,27.1777820,
8,27.1831194,
6,27.1831375,
8,27.19190872,
10,27.19191042,
10,27.19247975,
12,27.1924834,
,27.62967,
14,27.8476503,
12,27.8476507,

#ignore,test#5.67
