g,LeveleV
4,0.00000,
4,1.86497,
6,2.02107,
2,3.33703,
4,3.54334,
6,11.3260,
4,11.3396,
2,12.9018,
4,17.04574,
2,17.05168,
4,17.33200,
6,17.60533,
2,17.85309,
4,17.99936,
2,18.02940,
4,18.29480,
4,18.30880,
2,18.49838,
6,18.62984,
6,18.71142,
4,18.72945,
4,18.85921,
6,19.55810,
4,19.65303,
2,21.47181,
4,21.55341,
6,21.81011,
2,21.90436,
4,22.08535,
8,22.10917,
6,22.34862,
4,22.40341,
4,22.56733,
2,22.67318,
6,22.83527,
4,22.89088,
4,22.98942,
2,22.99069,
4,23.28028,
2,23.31437,
6,23.79298,
4,23.81857,
6,25.91345,
2,26.06848,
4,26.34064,
4,26.35733,
4,26.41053,
4,26.64205,
6,26.71491,
6,26.77118,
4,27.27494,
6,27.63215,
,34.871,

#ignore,test#5.6
