g,LeveleV
1,0.0000000,
7,2.71881633,
5,2.83268156,
3,2.97541889,
5,3.25638920,
5,8.23486741,
3,8.42057990,
7,8.48643755,
9,8.52154401,
1,8.53634465,
9,8.64228154,
5,8.66252610,
7,8.78322249,
5,8.86410828,
7,8.8687809,
7,8.91695547,
5,9.0166042,
3,9.06349793,
5,9.09464957,
3,9.12471804,
5,10.5868585,
5,10.9554919,
3,10.9856318,
1,11.0254191,
9,11.8486267,
9,13.3832009,
7,13.39213301,
5,13.43190349,
7,13.5484991,
3,13.64873568,
5,13.6833580,
5,13.68365916,
11,13.7165202,
3,13.777668,
9,13.7893620,
7,13.8709073,
11,13.936026,
5,13.938884,
9,14.0477597,
7,14.1342547,
5,14.1939186,
3,14.19758413,
3,14.2279248,
9,14.3027591,
11,14.3258923,
11,14.32872921,
5,14.33738437,
9,14.34033006,
3,14.34065139,
7,14.39211349,
7,14.42257530,
9,14.42818752,
7,14.4287114,
5,14.43024652,
1,14.45365331,
7,14.4620079,
5,14.5223113,
3,14.53484133,
9,14.5888023,
7,14.59881086,
9,14.61564148,
3,14.62123579,
3,14.6389757,
7,14.6478590,
5,14.65037786,
7,14.69012064,
5,14.69608333,
9,14.7530447,
5,14.75903379,
5,14.88955782,
7,14.96299738,
9,14.97602760,
5,14.98671572,
3,14.99211615,
7,15.01190137,
7,15.06716123,
5,15.12382247,
1,15.15384714,
1,15.1776443,
5,15.21855811,
3,15.23365834,
7,15.25214151,
3,15.2878496,
5,15.31909404,
7,15.5265487,
5,15.5287879,
3,15.568613,
5,15.9153229,
7,15.9393235,
3,15.9405430,
9,15.9664417,
5,15.9758644,
1,15.982807,
1,16.0070764,
7,16.0084397,
3,16.0881586,
5,16.1658538,
3,16.2345514,
5,16.2349448,
1,16.2361719,
7,16.2474237,
9,16.2806659,
7,16.56357381,
5,16.58016369,
5,16.5923003,
7,16.6119391,
11,16.6276287,
3,16.6584979,
5,16.6976366,
9,16.7059859,
3,16.7546255,
1,16.7978844,
3,16.82025682,
7,16.8288009,
5,16.83211397,
9,16.84135293,
3,16.84495017,
1,16.8497175,
5,16.85078224,
13,16.85329783,
11,16.85365501,
5,16.8559343,
3,16.85666744,
7,16.86060093,
5,16.86358269,
7,16.86623170,
9,16.87831334,
11,16.88176511,
9,16.89532667,
3,16.90362090,
7,16.9166293,
9,16.9478896,
11,16.95184535,
5,16.95534876,
9,16.95674247,
3,16.9577120,
5,16.9610553,
7,16.97583600,
7,16.9901471,
9,16.99134811,
5,16.99496619,
7,16.9955295,
11,16.9960236,
5,17.0122164,
3,17.0159527,
1,17.0619788,
5,17.0662761,
3,17.0990886,
9,17.1022444,
5,17.1101772,
3,17.1133386,
11,17.1177912,
9,17.1189425,
7,17.12600360,
5,17.13174967,
9,17.13707861,
7,17.14225144,
7,17.1596556,
3,17.173856,
3,17.1833477,
5,17.2022889,
7,17.21137034,
9,17.21928405,
3,17.2211986,
5,17.2314784,
5,17.2373625,
7,17.24861095,
5,17.2514154,
3,17.2636999,
7,17.2748608,
9,17.2828748,
5,17.3218932,
7,17.3256879,
1,17.4308571,
3,17.4794795,
7,17.5068946,
5,17.5120931,
5,17.5489715,
3,17.5727981,
7,17.7822252,
7,17.95476076,
5,17.96320087,
1,18.0879721,
3,18.0894066,
5,18.0926708,
11,18.09494785,
13,18.09568344,
3,18.0961691,
7,18.0989829,
5,18.0998579,
7,18.1043312,
9,18.1046515,
9,18.1053319,
11,18.1056931,
3,18.1080308,
5,18.1080463,
13,18.11022940,
15,18.11023616,
7,18.11071578,
5,18.11072068,
7,18.11333896,
9,18.11334172,
11,18.11449091,
13,18.11449521,
9,18.11497188,
11,18.11497525,
3,18.1284282,
11,18.1516233,
5,18.1532207,
9,18.1541632,
3,18.1547518,
7,18.1632015,
7,18.1706754,
9,18.1710873,
5,18.1729964,
3,18.2115636,
5,18.21778161,
1,18.2378072,
5,18.2663017,
7,18.290884,
3,18.2954396,
9,18.2996530,
5,18.3059816,
7,18.3202759,
5,18.3480941,
3,18.3516646,
11,18.3532242,
9,18.3538240,
7,18.3572823,
5,18.3578457,
7,18.3624300,
9,18.3627251,
7,18.3662476,
5,18.3662544,
11,18.3677371,
13,18.3677408,
7,18.3704358,
9,18.37044013,
9,18.37187365,
11,18.37187722,
3,18.3944869,
7,18.4093924,
9,18.4135792,
3,18.4143284,
5,18.4190873,
7,18.4279073,
5,18.4293199,
1,18.4987656,
1,18.519654,
3,18.5336677,
5,18.538858,
7,18.551070,
5,18.563744,
3,18.568603,
5,18.6286118,
7,18.6897371,
5,18.6946417,
3,18.7416224,
1,18.7621893,
11,18.7677770,
3,18.7679642,
5,18.7681475,
13,18.7684413,
7,18.7715326,
5,18.7716964,
9,18.7735661,
9,18.7739094,
11,18.7740662,
3,18.7742131,
3,18.7761783,
5,18.7761891,
7,18.7764025,
13,18.7774582,
15,18.7774674,
7,18.7777404,
5,18.7777417,
5,18.7784,
7,18.7784,
15,18.7789,
17,18.7789,
7,18.7791,
9,18.7791,
7,18.7792405,
9,18.7792413,
9,18.7798,
11,18.7798,
13,18.7799,
15,18.7799,
11,18.7799005,
13,18.7799027,
11,18.7800,
13,18.7801,
9,18.7801672,
11,18.7801690,
3,18.7900769,
11,18.8029869,
5,18.8038136,
9,18.8044761,
3,18.8048899,
7,18.8094378,
7,18.8138034,
9,18.8139718,
5,18.8155445,
5,18.852390,
1,18.8677977,
5,18.917533,
1,18.942729,
3,18.9465253,
5,18.9498038,
5,18.962653,
3,18.990070,
7,19.0204422,
5,19.0224780,
11,19.0253297,
9,19.0260172,
3,19.0263358,
5,19.0300455,
9,19.0310604,
7,19.0314299,
7,19.0337944,
5,19.0338043,
11,19.0346658,
13,19.0346679,
7,19.0362108,
9,19.0362132,
7,19.0370,
9,19.0370,
9,19.0370365,
11,19.0370383,
13,19.0373,
15,19.0373,
9,19.0380,
11,19.0380,
11,19.0383,
13,19.0383,
3,19.0512343,
7,19.0602068,
9,19.0626760,
3,19.0630340,
5,19.0655317,
7,19.0707093,
5,19.0714896,
7,19.074991,
1,19.0754355,
3,19.121489,
7,19.1252836,
5,19.1284372,
11,19.1730890,
13,19.1737913,
3,19.174624,
7,19.1768992,
9,19.1769789,
9,19.1772002,
11,19.1772865,
7,19.1777366,
3,19.1788702,
5,19.1788816,
13,19.1796846,
15,19.1796883,
7,19.1798592,
5,19.1798607,
5,19.1801432,
5,19.18065,
7,19.18067,
7,19.1808015,
9,19.1808049,
15,19.18093,
17,19.18093,
7,19.18110,
9,19.18111,
11,19.1812124,
9,19.1813765,
11,19.1813776,
9,19.18148,
11,19.18148,
13,19.18156,
15,19.18157,
11,19.18168,
13,19.18169,
3,19.182722,
3,19.188543,
11,19.1963145,
5,19.1968029,
9,19.1972712,
3,19.1975860,
7,19.2002848,
7,19.2030575,
9,19.2031221,
5,19.2042740,
1,19.247907,
3,19.3820670,
5,19.3839224,
7,19.404581,
5,19.4068047,
11,19.4297986,
9,19.4309657,
9,19.4351,
11,19.4359419,
7,19.4361404,
5,19.4361461,
13,19.4366390,
13,19.4367063,
11,19.4367089,
7,19.4376729,
9,19.4376760,
9,19.4382237,
11,19.4382247,
9,19.4382,
9,19.4385,
11,19.4385,
5,19.44039,
7,19.44143,
11,19.44169,
13,19.4417376,
11,19.45169,
9,19.4547003,
5,19.460325,
5,19.61940,
7,19.62010,
3,19.6248,
5,19.6274,
11,19.62755,
9,19.62780,
3,19.6279,
7,19.6296,
5,19.6308,
7,19.6309,
9,19.63094,
3,19.661331,
9,19.6950,
9,19.6966,
7,19.69728,
13,19.69758,
9,19.69809,
7,19.69823,
9,19.69824,
13,19.69835,
11,19.69836,
15,19.69836,
9,19.69866,
11,19.69867,
11,19.69878,
13,19.69880,
3,19.7056,
7,19.70866,
9,19.70936,
3,19.70987,
5,19.7106,
7,19.71341,
5,19.7135,
5,19.74737,
7,19.74788,
7,19.87622,
13,19.87642,
9,19.87677,
11,19.87696,
3,19.8824,
7,19.88439,
9,19.88486,
3,19.88521,
5,19.8857,
7,19.88762,
5,19.8877,
7,20.00414,
13,20.00428,
9,20.00455,
11,20.00468,
,20.29239,

#ignore,test#2.12
