g,LeveleV
4,0.00000,
6,4.22630,
4,4.23074,
2,6.39270,
4,6.39280,
6,18.83316,
4,18.87503,
2,18.89654,
6,26.06665,
4,26.06846,
2,30.78049,
4,33.049457,
2,33.096925,
2,39.267012,
4,39.293195,
6,39.332743,
2,40.231949,
4,40.279580,
6,42.653561,
4,42.653984,
2,42.704740,
2,43.233637,
4,43.247871,
6,43.271384,
8,43.303490,
2,43.547757,
4,43.559468,
6,43.582854,
4,44.136131,
6,44.184474,
4,44.321791,
2,44.677493,
4,44.688254,
2,46.206241,
6,46.718984,
8,46.727049,
6,47.145056,
4,47.152075,
2,47.654385,
4,47.671064,
4,48.014031,
6,48.027501,
8,48.046787,
10,48.072001,
4,48.295013,
2,48.321308,
6,48.363483,
4,48.363793,
2,48.368811,
8,48.379927,
6,48.457315,
4,48.474889,
2,48.483716,
6,48.509738,
8,48.555549,
6,48.593323,
4,49.007002,
6,49.021574,
4,49.743177,
2,49.807469,
4,50.186426,
2,50.449713,
4,50.450280,
8,51.223310,
6,51.229651,
10,51.440410,
8,51.440761,
2,51.476270,
4,51.502355,
6,51.542818,
4,51.598293,
6,51.600416,
2,51.773985,
4,51.821775,
2,51.848763,
4,51.856212,
2,52.198012,
4,52.725652,
6,52.728335,
8,52.732810,
2,52.741639,
2,52.870709,
4,52.886565,
6,52.908154,
8,52.939960,
2,52.998207,
4,53.008863,
6,53.031991,
4,53.314753,
6,53.359668,
4,53.490784,
2,53.557198,
4,53.568692,
6,53.877175,
4,53.879788,
2,53.881569,
4,54.561665,
6,54.578152,
8,54.597590,
10,54.625221,
4,54.655350,
6,54.655774,
4,54.696695,
2,54.697786,
6,54.711340,
2,54.716186,
4,54.724875,
8,54.727426,
6,54.819265,
6,54.835599,
4,54.837505,
2,54.846925,
8,54.879903,
4,54.887133,
6,54.893861,
6,55.002528,
8,55.003229,
6,55.018367,
8,55.020579,
4,55.032359,
6,55.032702,
10,55.038238,
8,55.039984,
2,55.055979,
4,55.056106,
12,55.074116,
10,55.078526,
4,55.107286,
6,55.109662,
8,55.117433,
6,55.120318,
10,55.120710,
8,55.126241,
4,55.167651,
6,55.173728,
2,56.112508,
6,56.133665,
8,56.136431,
4,56.142103,
6,56.183736,
6,56.207445,
4,56.210688,
2,56.251147,
4,56.300934,
4,56.493235,
2,56.508119,
2,56.707419,
2,56.716124,
4,56.729611,
6,56.749440,
8,56.779688,
2,56.826455,
4,56.833440,
6,56.858516,
4,57.008499,
6,57.050291,
10,57.398724,
8,57.399014,
6,57.399506,
4,57.399950,
2,57.400304,
4,57.556432,
6,57.568571,
8,57.589655,
10,57.618981,
8,57.642949,
6,57.645151,
6,57.703999,
4,57.7197,
2,57.7197,
6,57.781369,
8,57.781747,
10,57.800252,
8,57.800314,
6,57.800321,
8,57.801024,
8,57.805057,
10,57.805109,
10,57.812703,
4,57.813230,
6,57.814075,
8,57.814179,
4,57.820433,
6,57.823193,
10,57.828477,
8,57.828537,
12,57.834731,
10,57.834784,
8,57.835875,
6,57.835881,
2,57.843272,
4,57.844171,
8,57.84758,
6,57.84829,
12,57.852090,
10,57.855737,
4,57.864448,
6,57.866205,
8,57.872318,
10,57.874222,
6,57.874410,
6,57.874531,
4,57.874570,
12,57.878158,
14,57.878212,
8,57.878517,
6,57.882773,
8,57.882776,
8,57.887022,
10,57.887051,
12,57.887435,
10,57.887463,
4,57.897912,
6,57.898496,
2,57.995978,
4,58.003175,
8,58.008621,
6,58.008775,
4,58.008947,
2,58.008947,
8,58.099732,
10,58.099745,
6,58.109275,
8,58.109339,
4,58.163408,
6,58.163511,
10,58.178520,
12,58.178799,
2,58.199087,
2,58.218216,
4,58.218517,
2,58.305934,
4,58.397031,
6,58.437695,
6,58.814253,
4,58.8197,
8,59.32910,
12,59.33286,
14,59.33424,
12,59.36154,
4,59.37591,
6,59.37591,
14,59.37800,
12,59.37800,
8,59.38048,
16,59.38135,
8,59.38296,
10,59.38301,
10,59.38314,
12,59.38335,
2,59.678927,
4,59.681179,
6,59.947621,
8,59.948981,
8,60.689587,
6,60.7696,
4,60.7696,
6,60.804088,
8,60.892529,
10,60.892654,
8,60.897102,
12,60.925285,
10,60.925285,
8,60.926796,
10,60.926925,
10,60.933305,
12,60.933479,
8,60.937254,
6,60.937254,
14,60.943094,
12,60.943094,
6,60.949698,
4,60.949698,
6,61.660127,
8,61.660225,
,62.70798,
10,64.443726,
8,64.443726,

#ignore,test#4.16
