g,LeveleV
9,0.0000000,
7,0.05156912,
5,0.08728574,
3,0.11011433,
1,0.12126572,
11,0.85899575,
9,0.91460217,
7,0.95815732,
5,0.99011115,
3,1.01105568,
9,1.48486439,
7,1.55735733,
5,1.60789577,
7,2.17594512,
5,2.19786640,
3,2.22271209,
5,2.27860466,
11,2.39920471,
13,2.40407444,
3,2.42419831,
9,2.42543332,
11,2.43269470,
7,2.44955978,
9,2.45343044,
5,2.46883473,
3,2.48211840,
1,2.48437256,
9,2.55917148,
7,2.58810592,
5,2.60850194,
11,2.69240763,
9,2.72754450,
7,2.75857762,
13,2.80829367,
5,2.83159117,
11,2.83252676,
3,2.84504259,
9,2.85122419,
1,2.85805275,
7,2.86539125,
5,2.87550352,
3,2.88199261,
1,2.88515991,
9,2.93984587,
11,2.94879294,
9,2.99035244,
7,2.99804479,
5,3.01725044,
7,3.01762252,
5,3.03847046,
9,3.04686890,
3,3.07133880,
1,3.11096179,
9,3.21118938,
13,3.23672008,
7,3.24096914,
7,3.25148176,
5,3.26570610,
11,3.26711257,
3,3.27398440,
3,3.28302483,
1,3.29183986,
5,3.30092244,
9,3.30140276,
11,3.33201954,
9,3.36825640,
7,3.39650880,
3,3.41489715,
5,3.41695281,
3,3.43018998,
5,3.54652001,
11,3.57321890,
7,3.60252504,
13,3.63434980,
3,3.63521992,
5,3.63977237,
7,3.64164057,
5,3.65369332,
3,3.68638944,
9,3.69459719,
9,3.88160368,
7,3.88350907,
5,3.92860683,
7,3.94332623,
3,3.95972364,
5,3.98410712,
9,4.07581091,
9,4.10337372,
7,4.14264893,
7,4.15435379,
11,4.17769679,
5,4.18636440,
5,4.19086081,
5,4.20888328,
3,4.21758325,
9,4.22036211,
1,4.23053960,
7,4.25622280,
3,4.26045326,
5,4.28330826,
1,4.28434800,
5,4.29441489,
3,4.30127816,
11,4.31247059,
13,4.32010008,
9,4.37135106,
11,4.38646275,
7,4.41527878,
9,4.43461275,
5,4.44562726,
7,4.47327202,
9,4.54850612,
7,4.55852281,
5,4.58004944,
7,4.58438864,
9,4.59311043,
5,4.60695104,
7,4.60759327,
3,4.63819369,
5,4.65203107,
7,4.73314079,
5,4.79546566,
3,4.83485507,
9,4.91297355,
7,4.95563019,
5,4.96581946,
7,4.98504395,
5,4.98804995,
11,4.99127081,
3,5.00952178,
9,5.01168158,
1,5.02027939,
9,5.03306811,
7,5.06378173,
5,5.06740926,
5,5.07033256,
5,5.08559017,
3,5.09954435,
3,5.10547240,
1,5.11242705,
7,5.27338780,
13,5.30458359,
11,5.30848946,
5,5.31393522,
13,5.31940082,
11,5.32039963,
11,5.33029109,
9,5.33417031,
3,5.34111814,
9,5.34482452,
7,5.34836675,
9,5.35157038,
5,5.35736031,
13,5.3711314,
7,5.37173492,
7,5.38520741,
9,5.3862090,
