g,LeveleV
2,0.00000,
4,0.02162,
2,7.09030,
4,7.09770,
6,7.10775,
6,12.52537,
4,12.52620,
2,16.24246,
2,18.08628,
4,18.09993,
4,23.15989,
6,25.17804,
4,25.17981,
2,27.43798,
2,28.56649,
4,28.56703,
2,30.45863,
4,30.46308,
4,33.13334,
6,33.13403,
2,35.64910,
4,35.65680,
6,35.67111,
2,36.84205,
4,36.85609,
2,37.32948,
2,38.32738,
4,38.33408,
2,38.39248,
4,38.39689,
6,38.40454,
8,38.41648,
2,38.64467,
4,38.64776,
4,38.95798,
2,39.33939,
4,39.34467,
6,39.35199,
4,39.39569,
6,39.39964,
6,39.71055,
8,39.71069,
4,39.79622,
6,39.80721,
2,40.55002,
4,40.94356,
6,40.94783,
8,40.95427,
10,40.96313,
2,41.26086,
4,41.26249,
6,41.26516,
8,41.26864,
2,41.37501,
4,41.47770,
6,41.48118,
6,41.68434,
4,41.69112,
2,41.69546,
2,41.92574,
4,41.92676,
6,42.12296,
8,42.13671,
4,42.39611,
6,42.39625,
4,42.48833,
6,42.49548,
8,42.49560,
2,42.49713,
8,42.54110,
10,42.54110,
2,43.37275,
2,43.82105,
4,43.82129,
4,43.95618,
6,43.95618,
6,44.00870,
8,44.00870,
8,44.04121,
10,44.04121,
10,44.04599,
12,44.04599,
2,44.52869,
4,44.8905,
6,44.8905,
6,44.92207,
8,44.92207,
8,44.94570,
10,44.94570,
10,44.94888,
12,44.94888,
2,45.25351,
4,45.495,
6,45.495,
2,45.68996,
4,45.69789,
6,45.71252,
2,45.73700,
4,45.9075,
6,45.9075,
2,45.9194,
2,46.07834,
4,46.2028,
6,46.2028,
4,46.28902,
6,46.29269,
2,46.32119,
4,46.4230,
6,46.4230,
2,46.46263,
4,46.46987,
2,46.50345,
4,46.5876,
6,46.5876,
2,46.63609,
2,46.71110,
4,46.71671,
6,46.72429,
8,46.73525,
2,46.74835,
2,46.81369,
4,46.81783,
4,46.91969,
2,47.02722,
4,47.03276,
6,47.03931,
4,47.28900,
6,47.30181,
,47.4453,
6,47.6113,
8,47.617,
10,47.6265,
4,47.7495,
6,47.7495,
4,47.7700,
6,47.7733,
8,47.7769,
6,47.88737,
4,47.89408,
2,47.89811,
6,47.97611,
4,47.97836,
8,47.97903,
6,47.97975,
8,47.98200,
10,47.98351,
6,48.07061,
8,48.08320,
6,48.11096,
8,48.11454,
10,48.12122,
8,48.12796,
12,48.13027,
8,48.13969,
10,48.14051,
6,48.14422,
4,48.15011,
6,48.15244,
2,48.15370,
4,48.16072,
4,48.24002,
2,48.24870,
6,48.9699,
8,48.9699,
4,49.16902,
6,49.17025,
2,49.66388,
4,49.67215,
6,49.68446,
2,49.70062,
4,49.70951,
6,49.72430,
2,49.91909,
4,49.92913,
4,50.35791,
6,50.37075,
2,50.6014,
4,50.70417,
6,50.70683,
8,50.71261,
6,50.75805,
4,50.76481,
2,50.76982,
6,50.80109,
4,50.81125,
2,50.81737,
6,50.88028,
4,50.94004,
2,50.94845,
6,51.53750,
4,51.53771,
4,51.71268,
6,51.72680,
2,52.03621,
4,52.04083,
6,52.04865,
8,52.05746,
2,52.08652,
4,52.09548,
4,52.19684,
6,52.21122,
2,52.29582,
6,52.29582,
4,52.29582,
6,52.29582,
8,52.29582,
4,52.30189,
2,52.30487,
6,52.37813,
8,52.39076,
4,52.41730,
2,52.42518,
4,52.42994,
6,52.43624,
4,52.91166,
6,52.92385,
2,53.07088,
4,53.07525,
4,53.13639,
6,53.14983,
2,53.24041,
4,53.24041,
6,53.24041,
8,53.24041,
2,53.24951,
4,53.24951,
6,53.24951,
6,53.28337,
8,53.29582,
4,53.31055,
4,53.31642,
2,53.31820,
2,53.72188,
4,53.72677,
4,53.76802,
6,53.78149,
2,53.84649,
4,53.84649,
6,53.84649,
8,53.84649,
2,53.85335,
4,53.85335,
6,53.85335,
6,53.86774,
4,53.89240,
2,53.89984,
4,54.19789,
6,54.21290,
2,54.26549,
4,54.26549,
6,54.26549,
8,54.26549,
2,54.27392,
4,54.27392,
6,54.27392,
4,54.29288,
2,54.29908,
4,54.50358,
6,54.51660,
2,54.56004,
4,54.56004,
6,54.56004,
8,54.56004,
4,54.65904,
6,54.66189,
2,54.68033,
6,54.7560,
2,54.77752,
4,54.77752,
6,54.77752,
8,54.77752,
2,54.8523,
4,54.8523,
6,54.9215,
2,54.94323,
4,54.94323,
6,54.94323,
8,54.94323,
6,55.0518,
2,55.07092,
4,55.07092,
6,55.07092,
8,55.07092,
6,55.157,
2,55.17244,
4,55.17244,
6,55.17244,
8,55.17244,
2,55.25662,
4,55.25662,
6,55.25662,
8,55.25662,
6,55.5605,
8,55.5605,
4,55.6410,
6,55.6410,
,55.78210,
,55.78993,
,55.80778,
4,58.1093,
6,58.1093,
2,58.1854,
4,58.1854,
4,60.20640,
6,60.21527,
8,60.23030,
2,60.35325,
4,60.35325,
6,60.35325,
4,60.65543,
2,63.6782,
4,63.6782,
6,63.6782,
8,63.6782,
2,63.73477,
4,63.73477,
6,63.73477,
4,63.87295,
2,65.4629,
4,65.4629,
6,65.4629,
8,65.4629,
2,65.49204,
4,65.49204,
6,65.49204,
4,65.56691,
2,66.5071,
4,66.5071,
6,66.5071,
8,66.5071,
2,66.52419,
4,66.52419,
6,66.52419,
4,66.56978,

#ignore,test#5.92
