g,LeveleV
4,0.000000,
6,0.063970,
8,0.145875,
10,0.240409,
4,1.067122,
2,1.074283,
8,1.145061,
6,1.189493,
10,1.215639,
2,1.324781,
4,1.352873,
10,1.601379,
4,1.607910,
6,1.623416,
12,1.644437,
8,2.462375,
6,2.476524,
4,3.126874,
6,3.190735,
8,3.281052,
10,3.393844,
6,3.929638,
4,3.964177,
6,4.172980,
2,4.279239,
4,4.315543,
6,4.338179,
8,4.349260,
4,4.529804,
6,4.601630,
10,5.067811,
8,5.076281,
2,5.352999,
4,5.445578,
2,7.25,
6,7.896101,
8,8.059698,
4,8.170979,
10,8.239376,
6,8.257093,
6,8.318482,
4,8.402913,
8,8.414459,
12,8.438389,
8,8.478315,
10,8.528420,
6,8.568476,
2,8.577612,
4,8.638367,
6,8.713669,
4,8.720686,
8,8.751763,
2,8.828752,
8,8.871291,
6,8.924881,
10,9.012368,
4,9.131001,
2,9.264936,
4,9.287250,
4,9.346358,
6,9.357445,
2,9.421289,
6,9.470775,
8,9.492078,
4,9.535927,
6,9.577416,
8,9.639314,
2,9.681316,
4,9.716908,
10,9.774958,
8,9.791481,
6,9.848030,
10,10.031322,
4,10.183193,
12,10.185474,
6,10.216961,
2,10.302424,
4,10.379859,
8,10.479365,
6,10.592931,
2,12.076884,
4,12.280192,
4,12.585311,
2,12.667106,
6,12.683974,
4,12.731381,
6,12.834314,
8,12.848481,
8,12.962877,
10,13.073467,
6,13.074698,
4,13.123225,
2,13.399137,
4,13.403033,
6,13.477030,
6,13.972170,
8,14.071605,
4,14.168149,
2,14.292495,
6,14.491217,
8,14.550762,
2,14.592102,
6,14.595364,
8,14.603324,
10,14.628660,
4,14.641635,
4,14.652136,
8,14.684488,
6,14.690627,
10,14.703296,
6,14.730113,
12,14.732200,
2,14.775984,
8,14.795574,
12,14.809398,
8,14.844322,
14,14.873267,
6,14.887384,
4,14.890893,
2,14.901203,
10,14.927035,
8,14.964272,
4,15.021771,
6,15.045134,
10,15.046038,
8,15.068948,
4,15.075777,
10,15.078967,
4,15.120499,
4,15.146109,
6,15.152203,
6,15.195684,
12,15.220537,
8,15.238137,
6,15.276298,
10,15.324709,
6,15.365318,
8,15.507469,
2,15.6,
4,15.577500,
6,15.664829,
2,15.685545,
6,15.710449,
4,15.717559,
8,15.724165,
2,15.731201,
10,15.787139,
8,15.796628,
2,15.9,
4,15.852664,
4,15.871445,
6,15.888149,
4,15.904373,
4,15.937093,
8,15.941334,
6,15.980646,
2,16.0,
2,16.003415,
6,16.018539,
4,16.024790,
10,16.039546,
6,16.058343,
8,16.075226,
4,16.084000,
8,16.099632,
6,16.100072,
2,16.1,
4,16.185412,
6,16.229757,
2,16.2,
8,16.283976,
10,16.302665,
4,16.304337,
6,16.311671,
4,16.4,
12,16.424094,
14,16.450278,
8,16.466008,
10,16.470213,
10,16.539411,
12,16.539826,
8,16.806111,
6,16.818423,
4,17.1,
6,17.1,
2,18.5,
6,18.6,
4,18.6,
,25.04,

#ignore,test#44.76
