g,LeveleV
5,0.0000000,
3,0.0797065,
1,0.1141337,
5,3.203841,
1,6.91245,
5,25.32873,
3,25.40097,
1,25.44081,
3,35.89077,
5,38.420352,
3,39.604429,
3,43.1955398,
5,43.1993962,
7,43.2059611,
7,43.782987,
5,43.786633,
3,43.789130,
3,44.2315906,
1,44.2328337,
5,44.2329494,
5,44.377537,
3,46.430781,
1,46.430862,
5,46.431595,
3,47.092466,
3,48.101172,
3,48.235376,
5,48.236740,
7,48.245340,
5,48.527445,
7,48.529360,
9,48.531910,
7,48.701219,
9,48.9342671,
7,48.9345893,
5,48.935034,
3,48.935413,
1,48.935621,
3,49.367798,
5,49.368371,
7,49.3699513,
5,49.466305,
3,49.478211,
1,49.483502,
5,50.378798,
3,50.817831,
7,51.124642,
5,51.128047,
3,51.128167,
3,51.357875,
1,51.667122,
3,51.670794,
5,51.676377,
5,51.690840,
3,52.051957,
5,52.103683,
3,53.321635,
5,53.322953,
7,53.325072,
1,53.686636,
5,53.8495312,
3,53.851739,
1,53.853664,
5,53.997052,
7,54.001982,
1,54.005420,
9,54.008567,
11,54.125022,
9,54.128330,
7,54.131217,
9,54.152786,
7,54.160274,
5,54.168898,
3,54.174530,
3,54.434542,
5,54.500112,
3,54.515205,
1,54.521778,
5,54.521819,
3,54.559442,
7,54.663056,
9,55.34346,
5,55.343468,
7,55.343537,
3,55.572577,
5,55.573916,
7,55.576150,
11,55.737363,
9,55.737393,
7,55.737440,
3,55.73746,
5,55.73747,
9,55.741178,
7,55.741247,
5,55.741316,
5,56.598576,
9,56.734777,
7,56.743475,
5,56.749279,
3,56.757784,
5,56.780670,
7,56.783684,
3,56.784960,
5,56.796602,
1,56.820198,
3,56.826360,
5,56.839623,
3,57.046978,
7,57.047640,
5,57.048440,
7,57.049934,
5,57.118057,
3,57.339380,
5,57.339807,
7,57.340559,
3,57.396332,
5,57.510871,
3,57.511595,
9,58.29700,
7,58.29723,
5,58.29731,
5,58.41900,
7,58.41900,
3,58.425511,
5,58.430517,
7,58.431745,
3,58.444306,
3,58.50461,
5,58.50461,
7,58.50461,
9,58.50461,
11,58.50461,
9,58.506867,
7,58.506927,
5,58.506933,
5,58.52105,
7,58.52105,
9,58.52105,
11,58.52105,
13,58.52105,
11,58.521085,
9,58.521092,
7,58.521102,
9,58.522168,
7,58.523031,
5,58.524006,
7,58.579266,
5,58.751576,
3,58.760141,
1,58.764000,
5,58.959815,
5,59.206755,
1,59.36686,
3,59.491028,
5,59.491524,
1,59.492129,
3,59.672107,
3,59.959,
5,59.959,
7,59.959,
3,60.00851,
5,60.00851,
7,60.00851,
9,60.00851,
11,60.00851,
7,60.01068,
9,60.01072,
5,60.01077,
5,60.01874,
7,60.01874,
9,60.01874,
11,60.01874,
13,60.01874,
7,60.01877,
9,60.01877,
11,60.01877,
5,60.27686,
7,60.457782,
9,60.45880,
11,60.492887,
9,60.495631,
7,60.498520,
9,60.510021,
3,60.52,
5,60.52,
7,60.52,
1,60.63,
3,60.63,
5,60.63,
3,60.63,
3,60.65,
5,60.65,
7,60.74,
3,60.75,
5,60.75,
7,60.75,
11,60.850184,
9,60.850292,
7,60.850737,
5,60.851246,
7,60.851466,
9,60.851468,
3,60.852848,
7,60.853319,
5,60.853805,
11,60.855486,
13,60.855604,
9,60.855651,
3,60.855834,
5,60.856088,
1,60.856491,
7,60.858053,
11,60.861662,
9,60.862023,
3,60.86237,
5,60.863221,
3,60.91509,
5,60.91509,
7,60.91509,
9,60.91509,
11,60.91509,
9,60.91677,
5,60.92204,
7,60.92204,
9,60.92204,
11,60.92204,
13,60.92204,
7,60.92207,
9,60.92207,
11,60.92207,
3,61.028066,
5,61.08604,
3,61.117688,
7,61.117750,
5,61.118544,
3,61.143911,
1,61.19514,
3,61.19810,
5,61.19902,
5,61.41089,
3,61.50360,
5,61.50360,
7,61.50360,
9,61.50360,
11,61.50360,
7,61.743441,
5,61.746720,
3,61.749058,
5,61.825801,
9,62.500831,
7,62.502406,
5,62.504315,
7,63.269,
3,63.37,
,63.4233,
3,63.46765,
5,63.468493,
7,63.47170,
5,63.474095,
11,63.47495,
9,63.47573,
7,63.47676,
9,63.47951,
7,63.484460,
5,63.48509,
7,63.487154,
9,63.487745,
7,63.59,
11,63.62123,
13,63.621413,
11,63.622994,
9,63.623694,
9,63.628087,
11,63.628343,
9,63.629966,
11,63.634332,
13,63.634332,
15,63.634332,
11,65.13186,
13,65.13186,
15,65.13186,
3,66.27,
5,850.9531,

#ignore,test#8.87
