g,LeveleV
9,0.000000,
5,0.339777,
7,0.515690,
11,0.637765,
3,0.714910,
1,0.755410,
9,1.083973,
5,1.260421,
9,1.367618,
7,1.410692,
5,1.583821,
3,1.614283,
5,1.657028,
7,1.747107,
11,1.777808,
9,1.840924,
13,1.841454,
5,1.887358,
7,1.908211,
3,2.010083,
3,2.190471,
1,2.269084,
7,2.343542,
1,2.361764,
9,2.369198,
5,2.406615,
9,2.466426,
3,2.607815,
7,2.619000,
5,2.641280,
3,2.797536,
9,2.803988,
5,2.891014,
9,2.891641,
11,2.909029,
7,2.973709,
11,3.011820,
7,3.101208,
5,3.108248,
5,3.133753,
7,3.173244,
9,3.174188,
5,3.465894,
7,3.488856,
9,3.512692,
7,3.517640,
5,3.522633,
5,3.547184,
13,3.607867,
7,3.642860,
9,3.644429,
5,3.726567,
5,3.729231,
11,3.754235,
3,3.784608,
9,3.792856,
5,4.024210,
9,4.052375,
7,4.106912,
7,4.231010,
11,4.260758,
9,4.315124,
5,4.350668,
7,4.415811,
3,4.453457,
5,4.506306,
5,4.542104,
7,4.563396,
11,4.564843,
9,4.565890,
3,4.584875,
7,4.687666,
9,4.700088,
5,4.701693,
9,4.727529,
3,4.741676,
7,4.744151,
5,4.752407,
7,4.771657,
3,4.787456,
5,4.803295,
3,4.820006,
7,4.882863,
11,4.885843,
5,4.896607,
5,4.919059,
9,4.970156,
13,4.995378,
9,5.004240,
3,5.021048,
5,5.069472,
13,5.086231,
11,5.111251,
7,5.112114,
9,5.173313,
7,5.191954,
3,5.244511,
9,5.245802,
7,5.246600,
3,5.259702,
1,5.279588,
5,5.288963,
9,5.299899,
7,5.332754,
11,5.381140,
5,5.385518,
7,5.395265,
5,5.407051,
9,5.424884,
9,5.438404,
11,5.439946,
5,5.464646,
7,5.473176,
3,5.514182,
5,5.537503,
3,5.545805,
13,5.559339,
7,5.563135,
9,5.565982,
11,5.569509,
13,5.618453,
9,5.627480,
5,5.641709,
7,5.648967,
11,5.673347,
7,5.675321,
5,5.724293,
3,5.728363,
9,5.735938,
7,5.743939,
5,5.753722,
3,5.767181,
7,5.799521,
5,5.804056,
3,5.820701,
7,5.834360,
9,5.846906,
11,5.851897,
11,5.852085,
3,5.886404,
5,5.894157,
7,5.903463,
7,5.929877,
7,5.932054,
9,5.933082,
5,5.943169,
7,5.946030,
9,5.967598,
7,5.988754,
3,5.993158,
3,6.001991,
9,6.016441,
3,6.018993,
9,6.042672,
9,6.044986,
5,6.047142,
7,6.059719,
5,6.075171,
3,6.081871,
5,6.089124,
7,6.092349,
7,6.100274,
7,6.132406,
9,6.134985,
11,6.141468,
5,6.151456,
7,6.159591,
5,6.183411,
7,6.187250,
7,6.192646,
3,6.200122,
7,6.218250,
9,6.233294,
9,6.235607,
5,6.237857,
7,6.240121,
11,6.245976,
7,6.255474,
9,6.261640,
7,6.264995,
3,6.272347,
13,6.277352,
3,6.282382,
11,6.311152,
9,6.315413,
5,6.321926,
9,6.327966,
7,6.328496,
7,6.340320,
1,6.343823,
3,6.350190,
7,6.351541,
5,6.361783,
9,6.364022,
5,6.390875,
5,6.404520,
7,6.417255,
13,6.452460,
7,6.464302,
5,6.465614,
5,6.467267,
5,6.489058,
3,6.493664,
7,6.496996,
9,6.508000,
7,6.517082,
7,6.522081,
7,6.531188,
9,6.535931,
13,6.546601,
7,6.563426,
5,6.580243,
9,6.587435,
7,6.613096,
5,6.623738,
9,6.626619,
3,6.627465,
13,6.642093,
5,6.644876,
5,6.651389,
7,6.665196,
7,6.681118,
5,6.701332,
5,6.703131,
3,6.732646,
13,6.735827,
3,6.755189,
7,6.779079,
5,6.788532,
3,6.794391,
3,6.800208,
5,6.802727,
7,6.867345,
11,6.869031,
9,6.871080,
5,6.954579,
11,6.970690,
9,7.033519,
3,7.082263,
7,7.108539,
7,7.169622,
9,7.203258,
7,7.276409,
9,7.286398,
7,7.303314,
7,7.309766,
7,7.324363,
5,7.328204,
5,7.332693,
5,7.336198,
5,7.343564,
7,7.350137,
7,7.384008,
7,7.387347,
5,7.389730,
7,7.408061,
9,7.519578,
0,8.43823,

#ignore,test#60.82
