g,LeveleV
4,0.000000000,
6,0.188691095,
4,0.230602975,
6,0.509991558,
8,0.514110036,
6,0.556721494,
8,0.764778652,
10,0.770374622,
2,0.77419390,
4,0.829626291,
10,0.830717224,
4,0.868065592,
6,0.908988342,
2,0.97061784,
4,0.994129208,
8,1.038846135,
4,1.048950095,
6,1.066988435,
6,1.123433659,
8,1.140935457,
10,1.145368548,
6,1.165571101,
6,1.188438671,
8,1.204129814,
8,1.205163326,
12,1.26328328,
10,1.286847256,
10,1.310766078,
6,1.323300499,
8,1.345888603,
8,1.378280820,
4,1.435290843,
2,1.453767915,
4,1.515083955,
6,1.546352910,
8,1.548027489,
10,1.548350422,
8,1.558542626,
4,1.599690941,
10,1.642630613,
6,1.642853752,
14,1.66218584,
10,1.669939242,
8,1.713255573,
2,1.74840020,
10,1.76994592,
2,1.77909747,
12,1.79582734,
6,1.803419255,
8,1.833849400,
4,1.877708160,
4,1.88910239,
10,1.88987860,
10,1.897610931,
2,1.89996369,
12,1.903142570,
8,1.915932277,
4,1.947896157,
6,1.957336792,
6,1.987857059,
12,2.05375230,
8,2.085174358,
8,2.09615116,
4,2.12281038,
10,2.14148626,
6,2.16484184,
10,2.19737014,
12,2.197898491,
12,2.20333121,
2,2.21160566,
6,2.229655470,
4,2.246432692,
4,2.258301050,
2,2.30217151,
14,2.33299410,
8,2.35244862,
4,2.362001803,
6,2.386481359,
2,2.42938984,
10,2.464815692,
14,2.46881556,
8,2.489685598,
6,2.49458139,
6,2.49936517,
12,2.51546271,
6,2.51823589,
6,2.564755353,
8,2.59982638,
10,2.60240434,
4,2.62000923,
6,2.640543185,
8,2.688318087,
12,2.72949710,
16,2.73112534,
6,2.74084833,
10,2.74496768,
2,2.77169233,
6,2.79129255,
10,2.80726332,
8,2.81263698,
8,2.83107180,
4,2.85313163,
14,2.87482347,
2,2.89464545,
4,2.897830811,
8,2.91591271,
8,2.93813506,
10,2.942226138,
4,2.99199112,
12,3.01395950,
8,3.02295774,
4,3.02702990,
6,3.033123450,
10,3.06953969,
6,3.083980951,
8,3.09742852,
2,3.10295710,
4,3.12292900,
10,3.13014200,
2,3.13264637,
4,3.14695730,
12,3.15104862,
6,3.15418677,
2,3.1733587,
10,3.17487718,
6,3.27621698,
6,3.284173671,
4,3.29627677,
2,3.30126267,
14,3.30390583,
4,3.31809902,
12,3.31911804,
8,3.34309904,
4,3.34325920,
8,3.37851302,
8,3.379455706,
10,3.39188015,
4,3.39755956,
10,3.41290683,
6,3.42121598,
4,3.42583528,
10,3.44525339,
12,3.46375551,
4,3.47294095,
6,3.47482435,
6,3.50178652,
6,3.54438087,
4,3.56092977,
6,3.57367762,
6,3.58602031,
6,3.60737787,
6,3.63842748,
8,3.64908419,
10,3.65941030,
4,3.68484980,
10,3.69329711,
8,3.70389809,
8,3.73209853,
16,3.7471927,
12,3.75798682,
10,3.77565674,
12,3.77962262,
14,3.78755178,
2,3.78952417,
8,3.82856011,
10,3.83812521,
6,3.84005888,
8,3.84279934,
6,3.87565884,
4,3.88729226,
2,3.92108455,
6,3.93702026,
10,3.93935982,
8,3.94272148,
6,3.94400549,
12,3.95814590,
4,3.95865600,
8,4.03900208,
12,4.04447078,
8,4.05877018,
6,4.07288894,
8,4.08620064,
4,4.08645446,
8,4.11744046,
4,4.11819308,
6,4.13546643,
10,4.13914169,
8,4.17048512,
6,4.18210295,
4,4.19600196,
8,4.20332265,
4,4.21784875,
6,4.23710336,
6,4.24175050,
10,4.24896819,
8,4.25009510,
2,4.25643982,
6,4.28285528,
10,4.28414433,
12,4.29750436,
8,4.30554665,
2,4.3125082,
4,4.33778656,
4,4.34209700,
6,4.35890164,
14,4.35994896,
2,4.36411865,
14,4.38913655,
2,4.39221814,
10,4.39600653,
12,4.40455979,
10,4.40709107,
10,4.41302389,
8,4.41303544,
12,4.41413648,
6,4.43135620,
8,4.44841182,
2,4.46849442,
6,4.47158196,
10,4.47897156,
10,4.48741418,
4,4.50417265,
4,4.51184920,
4,4.51858062,
4,4.53553549,
8,4.53581560,
6,4.54873072,
8,4.56376921,
2,4.56415827,
12,4.59404117,
10,4.59526435,
2,4.60357500,
8,4.62180498,
6,4.64512501,
4,4.65463471,
12,4.65712702,
10,4.65805678,
14,4.65873526,
4,4.66201696,
2,4.66279630,
12,4.67168699,
2,4.67622836,
8,4.68124528,
8,4.68509990,
4,4.68932578,
10,4.69166667,
6,4.69232688,
6,4.70459404,
6,4.72442698,
16,4.72467830,
8,4.73190110,
10,4.73370993,
8,4.74757772,
4,4.75752391,
8,4.75967595,
4,4.76547780,
6,4.77261890,
14,4.77562040,
6,4.78351320,
10,4.78798239,
6,4.80174462,
12,4.80320339,
4,4.80527811,
8,4.80620438,
4,4.81507387,
12,4.81837524,
6,4.81850284,
2,4.81891507,
8,4.84390016,
14,4.84598945,
4,4.85406560,
12,4.87906219,
6,4.88087447,
8,4.88455033,
10,4.89030847,
8,4.89220371,
10,4.90385172,
6,4.92224499,
6,4.94221362,
10,4.94640222,
12,4.95181912,
2,4.95296961,
8,4.98219447,
6,4.98616298,
4,4.98700534,
4,4.99385123,
10,5.00492531,
8,5.01038429,
4,5.01794440,
2,5.02430219,
8,5.03011716,
12,5.03062799,
6,5.03925537,
6,5.04051131,
8,5.04700159,
14,5.04922335,
2,5.06172954,
6,5.07388253,
4,5.08230647,
10,5.08920514,
16,5.09563478,
12,5.11106986,
6,5.12406231,
10,5.13276118,
12,5.13889227,
8,5.14387372,
4,5.16727115,
8,5.16870735,
14,5.1927536,
10,5.19609446,
4,5.19946749,
2,5.20834465,
4,5.22133930,
12,5.22550412,
10,5.23215951,
6,5.23458300,
8,5.23489826,
2,5.23783836,
10,5.24688931,
6,5.24909792,
6,5.25099462,
4,5.25919002,
8,5.27167327,
14,5.28729196,
8,5.30048927,
8,5.32443567,
10,5.32584607,
14,5.33307430,
6,5.34328920,
12,5.34709295,
6,5.35957182,
4,5.36167945,
8,5.36192324,
4,5.36698253,
6,5.37878028,
2,5.42357598,
6,5.42709480,
8,5.42723901,
8,5.43100153,
4,5.43144312,
10,5.43165591,
2,5.4510432,
10,5.46723851,
12,5.47728278,
4,5.49256883,
6,5.50350576,
10,5.51113203,
8,5.51776576,
6,5.52382816,
8,5.53595521,
12,5.54547073,
2,5.55316426,
8,5.55547593,
6,5.55720817,
4,5.56562670,
8,5.56673818,
16,5.59109671,
10,5.59493953,
6,5.60280196,
6,5.60675691,
4,5.6172472,
8,5.62826782,
10,5.63993280,
6,5.65499697,
8,5.66475560,
4,5.6657981,
12,5.67042908,
6,5.67850907,
4,5.68323716,
10,5.69142015,
16,5.70257415,
6,5.72255744,
12,5.73012574,
10,5.73468191,
4,5.73603500,
8,5.74694359,
10,5.74892541,
14,5.75024498,
8,5.75105831,
4,5.75236765,
4,5.75581219,
2,5.7560978,
12,5.77215875,
6,5.77534529,
6,5.77805923,
8,5.79083774,
12,5.81009626,
6,5.81517343,
14,5.81619565,
4,5.81928034,
2,5.8453295,
4,5.84568117,
10,5.84850527,
6,5.86747635,
12,5.88506772,
12,5.9109527,
10,5.91795207,
4,5.93507441,
8,5.93529557,
10,5.95209269,
8,5.98825009,
6,5.99101566,
8,6.00742024,
6,6.01224460,
2,6.01720757,
14,6.02714785,
4,6.03678399,
4,6.05265703,
10,6.05600340,
6,6.08375714,
8,6.09034370,
12,6.09066891,
6,6.11112265,
12,6.11961141,
8,6.12198817,
4,6.12663608,
2,6.1354222,
10,6.13666726,
14,6.14060459,
10,6.17908217,
6,6.1834803,
8,6.19432155,
8,6.24970566,
10,6.25748681,
12,6.27745978,
6,6.28148767,
4,6.2903960,
4,6.3117635,
4,6.32627193,
10,6.35099899,
8,6.35643637,
6,6.36818564,
4,6.3887084,
2,6.4042761,
4,6.4070152,
10,6.40774961,
8,6.42616457,
6,6.43045764,
6,6.43920460,
6,6.44058619,
12,6.46828114,
8,6.48094222,
4,6.48530134,
8,6.51692167,
6,6.53128814,
4,6.5383990,
14,6.56111003,
10,6.63574667,
6,6.67597882,
8,6.69640766,
8,6.7161834,
10,6.7398368,
6,6.75639430,
8,6.7568465,
6,6.7755218,
10,6.79995229,
4,6.80947189,
10,6.82396001,
8,6.8280551,
4,6.86273552,
10,6.88072729,
10,6.95380858,
4,6.97227628,
12,6.98903205,
6,6.9915938,
8,7.02246411,
8,7.02784920,
4,7.03209026,
6,7.05371920,
12,7.06029755,
10,7.07683590,
4,7.08304891,
4,7.1103866,
8,7.1495314,
4,7.33650987,
6,7.3521560,
8,7.3630890,
4,7.39151631,
4,7.4374937,
10,7.4382670,
8,7.43926982,
4,7.4735112,
12,7.48824982,
8,7.52500473,
4,7.52854381,
8,7.52952878,
8,7.61207890,
6,7.6294098,
8,7.66357769,
6,7.6684689,
10,7.6790602,
10,7.6851013,
12,7.68575550,
8,7.68632509,
8,7.68696318,
6,7.7015064,
8,7.70394691,
4,7.72348141,
8,7.73728019,
10,7.7714081,
4,7.7830694,
8,7.78682901,
6,7.8105441,
8,7.88014843,
10,7.88791551,
4,7.8915799,
6,7.91395995,
8,7.9437133,
12,7.97242128,
12,7.9869892,
2,8.0361907,
4,8.12002118,
6,8.13299180,
6,8.1459522,
8,8.15243014,
8,8.23591547,
,12.10,

#ignore,test#177.65
