g,LeveleV
4,0.00000,
6,0.01804,
8,0.04234,
10,0.07238,
2,1.42753,
4,1.43720,
6,1.45926,
8,1.48363,
10,1.51100,
4,1.92799,
2,1.93165,
4,2.02472,
6,2.03020,
10,2.08429,
12,2.10495,
8,3.43781,
6,3.45256,
6,5.24049,
4,5.25336,
4,5.448174,
6,5.468948,
8,5.498181,
10,5.535518,
6,6.115860,
8,6.175069,
6,6.963005,
4,6.974948,
2,7.008740,
4,7.026067,
6,7.057491,
2,7.634791,
4,7.659390,
10,7.848587,
8,7.850066,
6,10.603625,
8,10.647235,
2,10.70033,
10,10.700630,
4,10.751518,
12,10.762993,
6,10.778939,
8,10.813768,
10,10.854130,
6,10.895837,
8,10.951271,
4,10.979927,
6,11.027698,
2,11.035293,
4,11.058581,
8,11.086357,
6,11.091338,
8,11.370644,
10,11.413062,
2,11.743070,
4,12.089947,
4,12.158166,
6,12.198003,
2,12.199973,
8,12.252762,
2,12.283515,
4,12.296939,
6,12.329001,
4,12.337482,
6,12.374190,
8,12.391130,
2,12.602449,
4,12.619832,
6,12.655687,
8,12.765572,
10,12.774668,
6,13.053385,
4,13.058038,
10,13.197041,
12,13.254326,
2,13.273799,
4,13.286878,
8,13.620268,
6,13.660761,
2,16.04323,
4,16.11774,
6,17.450958,
8,17.473570,
10,17.499732,
6,17.506181,
8,17.515384,
12,17.532085,
2,17.534077,
10,17.542408,
8,17.544788,
4,17.547724,
6,17.570445,
12,17.572952,
8,17.604262,
14,17.604712,
2,17.75069,
4,17.81052,
2,17.921188,
8,17.949515,
4,17.956455,
6,17.986812,
10,17.995562,
4,18.079718,
10,18.089705,
4,18.095929,
6,18.099088,
6,18.119061,
8,18.129433,
12,18.144811,
10,18.169924,
4,18.206706,
6,18.223703,
6,18.241480,
8,18.246762,
10,18.275431,
8,18.300945,
2,18.88499,
4,18.95237,
6,18.96214,
8,18.98370,
2,19.00261,
10,19.16162,
8,19.16457,
4,19.27921,
6,19.28820,
8,19.30217,
4,19.31699,
2,19.32045,
6,19.32342,
10,19.32446,
8,19.33930,
4,19.38426,
6,19.42482,
6,19.46894,
6,19.47380,
8,19.47395,
4,19.47545,
4,19.60878,
2,19.61284,
6,19.61928,
2,19.69420,
4,19.70449,
4,19.71051,
6,19.72187,
6,19.73179,
4,19.74455,
2,19.79834,
4,19.81116,
6,19.83698,
2,19.84970,
4,19.855440,
4,19.87571,
6,19.877464,
8,19.88105,
6,19.884629,
8,19.909052,
8,19.922053,
10,19.946661,
8,19.963660,
10,19.964930,
12,19.967881,
10,19.972068,
14,19.974091,
6,19.982078,
12,19.991298,
2,20.022341,
4,20.032142,
8,20.034426,
4,20.071222,
6,20.076017,
6,20.123290,
8,20.127143,
8,20.133276,
10,20.149068,
12,20.152778,
10,20.179772,
10,20.382809,
8,20.382918,
8,20.483240,
6,20.490525,
6,21.27751,
4,21.29023,
8,21.30170,
2,21.30836,
4,21.32327,
6,21.33921,
4,21.42508,
8,21.479833,
10,21.494795,
8,21.49743,
2,21.50611,
12,21.513444,
10,21.515588,
4,21.51828,
6,21.519723,
6,21.53103,
10,21.532338,
6,21.54119,
12,21.545141,
8,21.546732,
14,21.546983,
8,21.561533,
6,21.56762,
8,21.56907,
10,21.572054,
14,21.57893,
6,21.58064,
4,21.58184,
10,21.59440,
12,21.597165,
4,21.59900,
16,21.60099,
12,21.602729,
8,21.605381,
10,21.61883,
8,21.630154,
6,21.63119,
12,21.635300,
2,21.63615,
4,21.65959,
14,21.662565,
6,21.68966,
8,22.075765,
10,22.079803,
10,22.251147,
12,22.271419,
8,22.299183,
6,22.303443,
8,22.521749,
10,22.543618,
10,22.569547,
12,22.574738,
6,22.58605,
12,22.600789,
14,22.620181,
8,22.62932,
4,22.728380,
6,22.744289,
8,22.775823,
8,22.783449,
6,22.813031,
10,22.819003,
10,22.823991,
6,22.82610,
10,22.842531,
8,22.85083,
12,22.86308,
10,22.86430,
8,22.872154,
8,22.88231,
10,22.88619,
10,22.889096,
12,22.893445,
8,23.11778,
10,23.13600,
12,23.15193,
8,23.16789,
10,23.18371,
8,23.23087,
10,23.23252,
10,23.72383,
12,23.724159,
14,23.747979,
12,23.748243,
10,23.76093,
8,23.77306,
16,23.84953,
14,23.84989,
14,24.359654,
4,24.36502,
6,24.38861,
10,24.394337,
12,24.394589,
12,24.40154,
14,24.40188,
16,24.403061,
10,24.434222,
12,24.434394,
10,24.43598,
8,24.43600,
12,24.43637,
14,24.43645,
16,24.442386,
14,24.442519,
12,24.484059,
14,24.484097,
10,24.484660,
12,24.484731,
16,24.487826,
14,24.488215,
18,24.494244,
16,24.494688,
8,25.01172,
10,25.011980,
8,25.02454,
10,25.07076,
18,25.99554,
14,26.06071,
12,26.060991,
18,26.90017,
,29.3111,

#ignore,test#39.28
