,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
46,200.4008,6.184872,1782000.0,14.0,Si,I,1.908659,0.0,8.093469,1.0,K,1.0,3.0
123,200.9768,6.167149,2423000.0,14.0,Si,I,1.908659,0.0,8.075745,1.0,K,1.0,3.0
217,201.5964,6.1481959999999996,623400.0,14.0,Si,I,1.908659,0.0,8.056792999999999,1.0,K,1.0,3.0
238,201.7441,6.143696,3500000.0,14.0,Si,I,1.908659,0.0,8.052292999999999,1.0,K,1.0,3.0
310,202.207,6.129633,739800.0,14.0,Si,I,1.908659,0.0,8.03823,1.0,K,1.0,3.0
383,202.7535,6.113112999999999,5009000.0,14.0,Si,I,1.908659,0.0,8.021711,1.0,K,1.0,3.0
420,203.0156,6.1052230000000005,835000.0,14.0,Si,I,1.908659,0.0,8.013819999999999,1.0,K,1.0,3.0
553,204.0191,6.075199,938400.0,14.0,Si,I,1.908659,0.0,7.983796000000001,1.0,K,1.0,3.0
606,204.4624,6.062028,2140000.0,14.0,Si,I,1.908659,0.0,7.970625,1.0,K,1.0,3.0
746,205.8133,6.0222430000000005,48950000.0,14.0,Si,I,0.780958,2.0,6.803141,1.0,KP,1.0,3.0
853,206.7335,5.995442,3475000.0,14.0,Si,I,1.908659,0.0,7.904041,1.0,K,1.0,3.0
1011,208.2021,5.953157,3025000.0,14.0,Si,I,0.780958,2.0,6.734055000000001,1.0,K,1.0,3.0
1038,208.4462,5.946184,5858000.0,14.0,Si,I,0.780958,2.0,6.727083,3.0,K,1.0,7.0
1082,208.7611,5.937218,735200.0,14.0,Si,I,0.780958,2.0,6.718116,1.0,K,1.0,3.0
1167,209.4184,5.918584,674100.0,14.0,Si,I,1.908659,0.0,7.827183,1.0,K,1.0,3.0
1297,210.3204,5.893205,5741000.0,14.0,Si,I,1.908659,0.0,7.801805,1.0,K,1.0,3.0
1487,211.4753,5.861025,760700.0,14.0,Si,I,1.908659,0.0,7.769625,1.0,K,1.0,3.0
1594,212.299,5.838286,59960000.0,14.0,Si,I,0.780958,2.0,6.619186,1.0,K,1.0,3.0
