,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
6559,241.9574,5.12271,26740000.0,92.01,U,II,0.0,4.5,5.122659,5.5,MC,2.0,12.0
8443,249.8828,4.960249,21000000.0,92.01,U,II,0.68523,6.5,5.645429,6.5,MC,2.0,14.0
8881,251.477,4.928806,45370000.0,92.01,U,II,0.548118,5.5,5.476875,6.5,MC,2.0,14.0
9921,254.9288,4.862072,39440000.0,92.01,U,II,0.548118,5.5,5.410142,6.5,MC,2.0,14.0
10129,255.6192,4.848941,40880000.0,92.01,U,II,0.0,4.5,4.848893,5.5,MC,2.0,12.0
10396,256.5407,4.831525,64320000.0,92.01,U,II,0.0,4.5,4.831476,5.5,MC,2.0,12.0
10498,256.8978,4.824808999999999,16340000.0,92.01,U,II,0.6521140000000001,7.5,5.476875,6.5,MC,2.0,14.0
10517,256.9708,4.823439,73280000.0,92.01,U,II,0.0,4.5,4.82339,3.5,MC,2.0,8.0
10930,258.4416,4.795991000000001,26490000.0,92.01,U,II,0.0,4.5,4.795943,3.5,MC,2.0,8.0
12471,264.1563,4.692241,31260000.0,92.01,U,II,0.7179479999999999,5.5,5.410142,6.5,MC,2.0,14.0
12569,264.5472,4.685308999999999,60930000.0,92.01,U,II,0.0,4.5,4.685262000000001,4.5,MC,2.0,10.0
12602,264.7017,4.682575,7299000.0,92.01,U,II,0.113416,4.5,4.795943,3.5,MC,2.0,8.0
12659,264.9064,4.6789559999999994,34730000.0,92.01,U,II,0.035836,5.5,4.714745,4.5,MC,2.0,10.0
12900,265.9023,4.661433000000001,6687000.0,92.01,U,II,0.0,4.5,4.661386,5.5,MC,2.0,12.0
13075,266.5863,4.649472,13070000.0,92.01,U,II,0.035836,5.5,4.685262000000001,4.5,MC,2.0,10.0
13352,267.5876,4.632075,20640000.0,92.01,U,II,0.21686399999999997,6.5,4.848893,5.5,MC,2.0,12.0
13370,267.6416,4.631142,107300000.0,92.01,U,II,0.779047,6.5,5.410142,6.5,MC,2.0,14.0
13552,268.3282,4.619292,392100000.0,92.01,U,II,1.026184,6.5,5.645429,6.5,MC,2.0,14.0
13626,268.5976,4.614659,41350000.0,92.01,U,II,0.21686399999999997,6.5,4.831476,5.5,MC,2.0,12.0
13772,269.1781,4.604707,83690000.0,92.01,U,II,1.0407680000000001,7.5,5.645429,6.5,MC,2.0,14.0
14277,270.9506,4.574587,29920000.0,92.01,U,II,0.548118,5.5,5.122659,5.5,MC,2.0,12.0
14317,271.1103,4.571892,8641000.0,92.01,U,II,0.113416,4.5,4.685262000000001,4.5,MC,2.0,10.0
14415,271.5534,4.564433,16110000.0,92.01,U,II,0.284506,5.5,4.848893,5.5,MC,2.0,12.0
14709,272.5936,4.547016,20170000.0,92.01,U,II,0.284506,5.5,4.831476,5.5,MC,2.0,12.0
15084,273.939,4.524685,12290000.0,92.01,U,II,0.035836,5.5,4.560475,6.5,MC,2.0,14.0
15276,274.6159,4.513532,12110000.0,92.01,U,II,0.21686399999999997,6.5,4.730351000000001,7.5,MC,2.0,16.0
15831,276.5397,4.482136,17070000.0,92.01,U,II,0.0,4.5,4.4820910000000005,4.5,MC,2.0,10.0
16249,277.8481,4.46103,64880000.0,92.01,U,II,1.184444,5.5,5.645429,6.5,MC,2.0,14.0
16309,278.0032,4.458541,15440000.0,92.01,U,II,0.0,4.5,4.458496,4.5,MC,2.0,10.0
16449,278.4908,4.450736,44270000.0,92.01,U,II,1.026184,6.5,5.476875,6.5,MC,2.0,14.0
16939,280.2559,4.422704,71410000.0,92.01,U,II,0.035836,5.5,4.458496,4.5,MC,2.0,10.0
17218,281.1383,4.408824,21820000.0,92.01,U,II,0.21686399999999997,6.5,4.625643,7.5,MC,2.0,16.0
17379,281.5986,4.401618,9539000.0,92.01,U,II,0.035836,5.5,4.43741,6.5,MC,2.0,14.0
17610,282.4365,4.388561,24880000.0,92.01,U,II,0.035836,5.5,4.424353,5.5,MC,2.0,12.0
17960,283.7193,4.3687190000000005,31560000.0,92.01,U,II,0.113416,4.5,4.4820910000000005,4.5,MC,2.0,10.0
18034,283.9892,4.364567,27930000.0,92.01,U,II,0.035836,5.5,4.400359,5.5,MC,2.0,12.0
18197,284.6149,4.354973,49230000.0,92.01,U,II,1.055213,5.5,5.410142,6.5,MC,2.0,14.0
18387,285.3565,4.343655,14290000.0,92.01,U,II,0.21686399999999997,6.5,4.560475,6.5,MC,2.0,14.0
18461,285.5964,4.340007,49580000.0,92.0,U,I,0.0,6.0,4.339963,7.0,MC,1.0,15.0
