,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
363,202.5483,6.119306,333200000.0,30.01,Zn,II,0.0,0.5,6.119244999999999,1.5,AS,2.0,4.0
781,206.2004,6.0109379999999994,329000000.0,30.01,Zn,II,0.0,0.5,6.010878,0.5,AS,2.0,2.0
1249,209.9937,5.902372,234000000.0,30.01,Zn,II,6.119244999999999,1.5,12.021557000000001,2.5,BS,2.0,6.0
1283,210.2174,5.89609,25970000.0,30.01,Zn,II,6.119244999999999,1.5,12.015276,1.5,BS,2.0,4.0
1830,213.8573,5.795751,703900000.0,30.0,Zn,I,0.0,0.0,5.795693,1.0,AJG,1.0,3.0
7451,245.7959,5.042717,504200.0,30.0,Zn,I,4.0060970000000005,0.0,9.048763000000001,1.0,WAR,1.0,3.0
7722,246.9501,5.019151,1495000.0,30.0,Zn,I,4.029662999999999,1.0,9.048763000000001,1.0,WAR,1.0,3.0
8302,249.3458,4.970929,2422000.0,30.0,Zn,I,4.077884,2.0,9.048763000000001,1.0,WAR,1.0,3.0
8520,250.1989,4.953981,170300000.0,30.01,Zn,II,6.010878,0.5,10.964808999999999,0.5,AS,2.0,2.0
9346,253.0158,4.898832,850100.0,30.0,Zn,I,4.0060970000000005,0.0,8.90488,1.0,WAR,1.0,3.0
9681,254.2389,4.875266000000001,2513000.0,30.0,Zn,I,4.029662999999999,1.0,8.90488,1.0,WAR,1.0,3.0
10194,255.7948,4.845613,325900000.0,30.01,Zn,II,6.119244999999999,1.5,10.964808999999999,0.5,AS,2.0,2.0
10457,256.7789,4.827044,4080000.0,30.0,Zn,I,4.077884,2.0,8.90488,1.0,WAR,1.0,3.0
13213,267.0531,4.6413470000000006,1598000.0,30.0,Zn,I,4.0060970000000005,0.0,8.647397,1.0,WAR,1.0,3.0
13575,268.416,4.617781,4722000.0,30.0,Zn,I,4.029662999999999,1.0,8.647397,1.0,WAR,1.0,3.0
14355,271.2487,4.569559,7603000.0,30.0,Zn,I,4.077884,2.0,8.647397,1.0,WAR,1.0,3.0
15557,275.6449,4.496683999999999,34200000.0,30.0,Zn,I,4.0060970000000005,0.0,8.502736,1.0,AZ,1.0,3.0
16010,277.0853,4.4733089999999995,46100000.0,30.0,Zn,I,4.029662999999999,1.0,8.502927,2.0,AZ,1.0,5.0
16015,277.0972,4.473118,25610000.0,30.0,Zn,I,4.029662999999999,1.0,8.502736,1.0,AZ,1.0,3.0
16897,280.0862,4.425383999999999,60420000.0,30.0,Zn,I,4.077884,2.0,8.503223,3.0,AZ,1.0,7.0
16902,280.105,4.425087,15110000.0,30.0,Zn,I,4.077884,2.0,8.502927,2.0,AZ,1.0,5.0
16908,280.1171,4.4248959999999995,1687000.0,30.0,Zn,I,4.077884,2.0,8.502736,1.0,AZ,1.0,3.0
22607,301.8355,4.10652,3583000.0,30.0,Zn,I,4.0060970000000005,0.0,8.112575,1.0,WAR,1.0,3.0
23016,303.5777,4.082954,10570000.0,30.0,Zn,I,4.029662999999999,1.0,8.112575,1.0,WAR,1.0,3.0
23875,307.2061,4.034732,17020000.0,30.0,Zn,I,4.077884,2.0,8.112575,1.0,WAR,1.0,3.0
28819,328.2328,3.776275,86570000.0,30.0,Zn,I,4.0060970000000005,0.0,7.782334,1.0,AS,1.0,3.0
29285,330.2584,3.753115,107200000.0,30.0,Zn,I,4.029662999999999,1.0,7.7827399999999995,2.0,AS,1.0,5.0
29289,330.2941,3.752709,59560000.0,30.0,Zn,I,4.029662999999999,1.0,7.782334,1.0,AS,1.0,3.0
30427,334.5015,3.705508,150000000.0,30.0,Zn,I,4.077884,2.0,7.783355,3.0,AS,1.0,7.0
30437,334.557,3.704893,37490000.0,30.0,Zn,I,4.077884,2.0,7.7827399999999995,2.0,AS,1.0,5.0
30448,334.5937,3.7044870000000003,4166000.0,30.0,Zn,I,4.077884,2.0,7.782334,1.0,AS,1.0,3.0
41445,379.9001,3.262706,864100.0,30.0,Zn,I,5.795693,1.0,9.058366,0.0,WAR,1.0,1.0
45549,396.5432,3.125772,1440000.0,30.0,Zn,I,5.795693,1.0,8.921433,0.0,WAR,1.0,1.0
52393,429.8328,2.883693,2687000.0,30.0,Zn,I,5.795693,1.0,8.679356,0.0,WAR,1.0,1.0
58000,462.9813,2.6772299999999998,1492000.0,30.0,Zn,I,5.795693,1.0,8.472895,2.0,LMW,1.0,5.0
