element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ag	2	"200.068462"	"0.000013"	"200.068449"	"0.000008"	"40000"	"1.75e+07"	B+	"4.85621528"	"11.05129731"	"4d9.(2D<5/2>).5s"	"2[5/2]"	"3"	"4d9.(2D<3/2>).5p"	"2[5/2]*"	"3"	7	7		"T6475c86"	"L11881c113"	
Ag	2	"201.590481"	"0.000013"	"201.590491"	"0.000007"	"34000"	"3.7e+07"	C+	"5.05178168"	"11.20009665"	"4d9.(2D<5/2>).5s"	"2[5/2]"	"2"	"4d9.(2D<3/2>).5p"	"2[1/2]*"	"1"	5	3		"T6475c87"	"L11881c113"	
Ag	2	"203.392680"	"0.000013"	"203.392686"	"0.000007"	"38000"	"2.4e+07"	B	"5.05178168"	"11.14562618"	"4d9.(2D<5/2>).5s"	"2[5/2]"	"2"	"4d9.(2D<3/2>).5p"	"2[3/2]*"	"1"	5	3		"T6475c87"	"L11881c113"	
Ag	1	"206.1162"	"0.0010"	"206.116209"	"0.000004"	"200"	"3.1e+06"	D	"0.0000000000"	"6.01333411"	"4d10.5s"	"2S"	"1/2"	"4d10.6p"	"2P*"	"3/2"	2	4		"T4515"	"L11755"	
Ag	2	"206.591011"	"0.000014"	"206.591012"	"0.000007"	"120000"	"4.7e+07"	B+	"5.05178168"	"11.05129731"	"4d9.(2D<5/2>).5s"	"2[5/2]"	"2"	"4d9.(2D<3/2>).5p"	"2[5/2]*"	"3"	5	7		"T6475c86"	"L11881c113"	
Ag	1	"206.9844"	"0.0010"	"206.984380"	"0.000013"	"100"	"1.5e+06"	D	"0.0000000000"	"5.98811517"	"4d10.5s"	"2S"	"1/2"	"4d10.6p"	"2P*"	"1/2"	2	2		"T4515"	"L11755"	
Ag	2	"207.554292"	"0.000014"	"207.554294"	"0.000008"	"36000"	"1.2e+08"	D+	"10.36824241"	"16.33991721"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"1"	"4d9.(2D<3/2>).5d"	"2[3/2]"	"2"	3	5		"T9142"	"L11881c113"	
Ag	2	"209.489"	""	"209.488826"	"0.000008"	"800:"	"4.8e+05"	D+	"4.85621528"	"10.77275131"	"4d9.(2D<5/2>).5s"	"2[5/2]"	"3"	"4d9.(2D<3/2>).5p"	"2[5/2]*"	"2"	7	5		"T6475c86"	"L18222"	
Ag	2	"211.140"	"0.003"	"211.139639"	"0.000008"	"4100"	"1.00e+07"	B	"9.94061414"	"15.81089683"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"2"	"4d9.(2D<5/2>).5d"	"2[5/2]"	"2"	5	5		"T3754"	"L3328c114"	
Ag	2	"211.382490"	"0.000013"	"211.382492"	"0.000008"	"530000"	"3.01e+08"	A	"4.85621528"	"10.71975452"	"4d9.(2D<5/2>).5s"	"2[5/2]"	"3"	"4d9.(2D<5/2>).5p"	"2[5/2]*"	"3"	7	7		"T6475c86"	"L11881c113"	
Ag	2	"212.044020"	"0.000013"	"212.044026"	"0.000007"	"220000"	"1.19e+08"	B+	"5.42340791"	"11.26865627"	"4d9.(2D<3/2>).5s"	"2[3/2]"	"1"	"4d9.(2D<3/2>).5p"	"2[3/2]*"	"2"	3	5		"T6475c86"	"L11881c113"	
Ag	2	"212.079683"	"0.000018"	"212.079682"	"0.000009"	"6900"	"1.5e+08"	D+	"10.36824241"	"16.21250816"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"1"	"4d9.(2D<3/2>).5d"	"2[1/2]"	"1"	3	3		"T9142"	"L11881c113"	
Ag	2	"212.542019"	"0.000014"	"212.542016"	"0.000008"	"66000"	"1.47e+08"	B+	"9.94061414"	"15.77216857"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"2"	"4d9.(2D<5/2>).5d"	"2[5/2]"	"3"	5	7		"T3754"	"L11881c113"	
Ag	2	"212.903277"	"0.000014"	"212.903279"	"0.000008"	"64000"	"7.6e+07"	D+	"10.56354748"	"16.38520785"	"4d9.(2D<5/2>).5p"	"2[5/2]*"	"2"	"4d9.(2D<3/2>).5d"	"2[5/2]"	"2"	5	5		"T9142"	"L11881c113"	
Ag	2	"214.553095"	"0.000018"	"214.553088"	"0.000008"	"6000"	"1.3e+08"	D+	"9.94061414"	"15.71751387"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"2"	"4d9.(2D<5/2>).5d"	"2[3/2]"	"1"	5	3		"T9142"	"L11881c113"	
Ag	2	"214.560920"	"0.000014"	"214.560925"	"0.000008"	"390000"	"3.78e+08"	B+	"5.42340791"	"11.20009665"	"4d9.(2D<3/2>).5s"	"2[3/2]"	"1"	"4d9.(2D<3/2>).5p"	"2[1/2]*"	"1"	3	3		"T6475c87"	"L11881c113"	
Ag	2	"214.570735"	"0.000014"	"214.570730"	"0.000009"	"75000"	"5.2e+08"	C	"9.94061414"	"15.71703894"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"2"	"4d9.(2D<5/2>).5d"	"2[3/2]"	"2"	5	5		"T9142"	"L11881c113"	
