element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Au	1	"212.663"	"212.66513+"	"15"	"3.8e+06"	E	"0.0000000"	"5.8281789"	"5d10.6s"	"2S"	"1/2"	"5d9<5/2>.6s<1/2>.6p<3/2>"	"4P*"	"3/2"	2	4		"T7963"	"L3312"	
Au	1	"235.258"	"235.262+"	"180"	"8.e+06"	D	"1.1358412"	"6.40427"	"5d9.6s2"	"2D"	"5/2"	"5d9<5/2>.6s<1/2>.6p<3/2>"	"2D*"	"5/2"	6	6		"T7963"	"L3312"	
Au	1	"242.795"	"242.79440+"	"2600"	"1.98e+08"	B+	"0.0000000"	"5.1050014"	"5d10.6s"	"2S"	"1/2"	"5d10.6p"	"2P*"	"3/2"	2	4		"T4060"	"L3312"	
Au	1	"264.148"	"264.14823+"	"250"	"4.4e+06"	D	"1.1358412"	"5.8281789"	"5d9.6s2"	"2D"	"5/2"	"5d9<5/2>.6s<1/2>.6p<3/2>"	"4P*"	"3/2"	6	4		"T7963"	"L1336"	
Au	1	"267.595"	"267.59366+"	"3400"	"1.64e+08"	A+	"0.0000000"	"4.6319246"	"5d10.6s"	"2S"	"1/2"	"5d10.6p"	"2P*"	"1/2"	2	2		"T4060"	"L1336"	
Au	1	"274.825"	"274.82513+"	"1100"	"1.03e+07"	B	"1.1358412"	"5.6458926"	"5d9.6s2"	"2D"	"5/2"	"5d9<5/2>.6s<1/2>.6p<1/2>"	"4F*"	"7/2"	6	8		"T7963"	"L1336"	
Au	1	"312.278"	"312.27831+"	"1600"	"1.90e+07"	B+	"1.1358412"	"5.1050014"	"5d9.6s2"	"2D"	"5/2"	"5d10.6p"	"2P*"	"3/2"	6	4		"T4060"	"L1336"	
Au	1	"330.830"	"330.826+"	"300"	"3.1e+05"	E	"2.6576250"	"6.40427"	"5d9.6s2"	"2D"	"3/2"	"5d9<5/2>.6s<1/2>.6p<3/2>"	"2D*"	"5/2"	4	6		"T7963"	"L1336"	
Au	1	"332.012"	"332.016+"	"100"	"3.0e+07"	C	"4.6319246"	"8.36514"	"5d10.6p"	"2P*"	"1/2"	"5d10.7d"	"2D"	"3/2"	2	4		"T7776"	"L1336"	
Au	1	"379.601"	"379.599+"	"100"	"3.2e+07"	C	"5.1050014"	"8.37026"	"5d10.6p"	"2P*"	"3/2"	"5d10.7d"	"2D"	"5/2"	4	6		"T7776"	"L1336"	
Au	1	"390.938"	"390.93828+"	"300"	"1.1e+05"	E	"2.6576250"	"5.8281789"	"5d9.6s2"	"2D"	"3/2"	"5d9<5/2>.6s<1/2>.6p<3/2>"	"4P*"	"3/2"	4	4		"T7963"	"L1336"	
Au	1	"406.507"	"406.511+"	"700"	"8.5e+07"	B+	"4.6319246"	"7.68102"	"5d10.6p"	"2P*"	"1/2"	"5d10.6d"	"2D"	"3/2"	2	4		"T4253,T7183,T7776"	"L1336"	
Au	1	"479.258"	"479.273+"	"500"	"8.9e+07"	B+	"5.1050014"	"7.69120"	"5d10.6p"	"2P*"	"3/2"	"5d10.6d"	"2D"	"5/2"	4	6		"T4253,T7183,T7776"	"L1336"	
Au	1	"481.160"	"481.167+"	"100"	"1.57e+07"	B+	"5.1050014"	"7.68102"	"5d10.6p"	"2P*"	"3/2"	"5d10.6d"	"2D"	"3/2"	4	4		"T7183,T7776"	"L1336"	
Au	1	"506.459"	"506.4593+"	"30"	"5.2e+05"	D	"2.6576250"	"5.1050014"	"5d9.6s2"	"2D"	"3/2"	"5d10.6p"	"2P*"	"3/2"	4	4		"T4060"	"L1336"	
Au	1	"583.737"	"583.7374+"	"300"	"2.95e+07"	B+	"4.6319246"	"6.7553082"	"5d10.6p"	"2P*"	"1/2"	"5d10.7s"	"2S"	"1/2"	2	2		"T7183,T7776"	"L1336"	
Au	1	"627.817"	"627.8172+"	"600"	"3.4e+06"	D	"2.6576250"	"4.6319246"	"5d9.6s2"	"2D"	"3/2"	"5d10.6p"	"2P*"	"1/2"	4	2		"T4060"	"L1336"	
Au	1	"751.073"	"751.0729+"	"600"	"4.24e+07"	B+	"5.1050014"	"6.7553082"	"5d10.6p"	"2P*"	"3/2"	"5d10.7s"	"2S"	"1/2"	4	2		"T7183,T7776"	"L1336"	
