element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Er	2	"323.058"	"323.05829+"	"2300"	"1.5e+08"		"0.0546069"	"3.8913268"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"11/2"	""	"*"	"11/2"	12	12		"T6288"	"L3475"	
Er	2	"326.478"	"326.47805+"	"2700"	"5.8e+07"		"0.0000000"	"3.7965328"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"13/2"	"4f12.(3H<6>).6p<3/2>?"	"(6,3/2)*?"	"13/2"	14	14		"T6288"	"L3475"	
Er	2	"331.242"	"331.24259+"	"2300"	"3.7e+07"		"0.0546069"	"3.7965328"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"11/2"	"4f12.(3H<6>).6p<3/2>?"	"(6,3/2)*?"	"13/2"	12	14		"T6288"	"L3475"	
Er	2	"337.271"	"337.27522+"	"7700"	"1.3e+08"		"0.0000000"	"3.6749986"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"13/2"	"4f12.(3H<6>).6p<3/2>?"	"(6,3/2)*?"	"15/2"	14	16		"T6288"	"L3475"	
Er	2	"339.200"	"339.19865+"	"2300"	"2.35e+07"		"0.0000000"	"3.6541601"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"13/2"	""	"*"	"15/2"	14	16		"T6288"	"L3475"	
Er	2	"349.910"	"349.91027+"	"6700"	"7.5e+07"		"0.0546069"	"3.5969074"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"11/2"	"4f12.(3H<6>).6p<3/2>?"	"(6,3/2)*?"	"9/2"	12	10		"T6288"	"L3475"	
Er	2	"361.656"	"361.65658+"	"3100"	"2.0e+07"		"0.0000000"	"3.4272528"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"13/2"	""	"*"	"11/2"	14	12		"T6288"	"L3475"	
Er	2	"369.265"	"369.26494+"	"7900"	"4.8e+07"		"0.0546069"	"3.4112461"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"11/2"	""	"*"	"13/2"	12	14		"T6288"	"L3475"	
Er	2	"383.048"	"383.04818+"	"3600"	"1.4e+07"		"0.0000000"	"3.2358601"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"13/2"	"4f12.(3H<6>).6p<1/2>?"	"(6,1/2)*?"	"13/2"	14	14		"T6288"	"L3475"	
Er	1	"386.285"	"386.28515+"	"7500"	"1.16e+08"		"0.0000000"	"3.2087450"	"4f12.6s2"	"3H"	"6"	"4f12.(3H).6s.6p"	"*"	"6"	13	13		"T7227"	"L3475"	
Er	1	"389.268"	"389.26849+"	"4200"	"7.28e+07"		"0.0000000"	"3.1841539"	"4f12.6s2"	"3H"	"6"	"4f11.(4F*).5d.6s2"	"*"	"5"	13	11		"T7227"	"L3475"	
Er	2	"389.623"	"389.62343+"	"5200"	"1.8e+07"		"0.0546069"	"3.2358601"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"11/2"	"4f12.(3H<6>).6p<1/2>?"	"(6,1/2)*?"	"13/2"	12	14		"T6288"	"L3475"	
Er	2	"390.631"	"390.63122+"	"11000"	"3.23e+07"		"0.0000000"	"3.1730461"	"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"13/2"	"4f12.(3H<6>).6p<1/2>?"	"(6,1/2)*?"	"11/2"	14	12		"T6288"	"L3475"	
Er	1	"393.701"	"393.70129+"	"3200"	"2.92e+07"		"0.0000000"	"3.1483034"	"4f12.6s2"	"3H"	"6"	"4f11.(4F*).5d.6s2"	"*"	"6"	13	13		"T7227"	"L3475"	
Er	1	"397.304"	"397.30356+"	"2700"	"4.79e+07"		"0.0000000"	"3.1197590"	"4f12.6s2"	"3H"	"6"	"4f11.(4I*).5d.6s2"	"*"	"5"	13	11		"T7227"	"L3475"	
Er	1	"397.358"	"397.35741+"	"3200"	"3.66e+07"		"0.0000000"	"3.1193362"	"4f12.6s2"	"3H"	"6"	""	"*"	"7"	13	15		"T7227"	"L3475"	
Er	1	"400.796"	"400.79641+"	"14000"	"1.73e+08"		"0.0000000"	"3.0925716"	"4f12.6s2"	"3H"	"6"	"4f12.(3H).6s.6p"	"*"	"7"	13	15		"T7227"	"L3475"	
Er	1	"408.763"	"408.76318+"	"3500"	"3.03e+07"		"0.0000000"	"3.0322988"	"4f12.6s2"	"3H"	"6"	"4f11.(4I*).5d.6s2"	"*"	"6"	13	13		"T7227"	"L3475"	
Er	1	"415.111"	"415.11075+"	"6900"	"9.60e+07"		"0.0000000"	"2.9859320"	"4f12.6s2"	"3H"	"6"	"4f12.(3H).6s.6p"	"*"	"5"	13	11		"T7227"	"L3475"	
Er	1	"460.661"	"460.6604+"	"1000"	"7.54e+06"		"0.0000000"	"2.6906908"	"4f12.6s2"	"3H"	"6"	"4f11.(4I*<11/2>).5d<5/2>.6s2"	"(11/2,5/2)*"	"6"	13	13		"T7227"	"L3475"	
Er	1	"582.679"	"582.6805+"	"430"	"1.04e+06"		"0.0000000"	"2.1272350"	"4f12.6s2"	"3H"	"6"	"4f12.(3H<6>).6s.6p.(3P*<1>)"	"(6,1)*"	"7"	13	15		"T7227"	"L3475"	
Er	1	"622.102"	"622.1017+"	"360"	"8.4e+05"		"0.0000000"	"1.9924378"	"4f12.6s2"	"3H"	"6"	"4f11.(4I*<13/2>).5d<3/2>.6s2"	"(13/2,3/2)*"	"6"	13	13		"T7227"	"L3475"	
