element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
S	2	"200.3540"	"200.3537"	"7"	"6.12e+06"	D	"9.914100"	"16.100362"	"3s.3p4"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	2	4		"T3186c85"	"L5883"	
S	2	"200.6367"	"200.6367"	"6"	"4.09e+06"	D	"9.914100"	"16.091640"	"3s.3p4"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	2	2		"T3186c85"	"L5883"	
S	5	""	"200.883+"	""	"2.28e+06"	C	"43.12680"	"49.29676"	"3p.3d"	"3D*"	"1"	"3s.4d"	"1D"	"2"	3	5		"T7942c84"	""	
S	12	""	"202+"	""	"8.84e+05"	D+	"373.38"	"379.52"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s.2p.(1P*).3p"	"2D"	"5/2"	4	6		"T7192c4,LS"	""	
S	12	""	"202+"	""	"1.47e+05"	D	"373.38"	"379.52"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s.2p.(1P*).3p"	"2D"	"3/2"	4	4		"T7192c4,LS"	""	
S	5	""	"202.062+"	""	"2.32e+04"	D	"43.16280"	"49.29676"	"3p.3d"	"3D*"	"3"	"3s.4d"	"1D"	"2"	7	5		"T7942c84"	""	
S	5	""	"202.067+"	""	"6.98e+06"	E	"49.10090"	"55.23472"	"3s.4d"	"3D"	"1"	"3s.5p"	"3P*"	"2"	3	5		"T6298c4,LS"	""	
S	5	""	"202.124+"	""	"1.05e+08"	D	"49.10264"	"55.23472"	"3s.4d"	"3D"	"2"	"3s.5p"	"3P*"	"2"	5	5		"T6298c4,LS"	""	
S	5	""	"202.210+"	""	"5.87e+08"	D+	"49.10526"	"55.23472"	"3s.4d"	"3D"	"3"	"3s.5p"	"3P*"	"2"	7	5		"T6298c4,LS"	""	
S	5	""	"202.672+"	""	"1.74e+08"	D	"49.10090"	"55.21642"	"3s.4d"	"3D"	"1"	"3s.5p"	"3P*"	"1"	3	3		"T6298c4,LS"	""	
