g,LeveleV
4,0.000000,
2,0.456912,
6,7.865117,
4,8.047466,
2,8.292543,
4,8.329702,
2,8.551216,
6,9.258188,
4,9.299947,
8,9.363473,
6,9.385238,
2,9.399738,
6,9.409202,
4,9.411458,
4,9.514929,
2,9.680190,
6,9.734198,
4,9.754661,
2,9.778103,
8,9.800269,
4,9.816862,
6,9.827100,
4,9.872945,
4,9.881031,
2,9.902374,
2,9.922009,
10,9.991590,
8,10.052775,
2,10.096030,
6,10.126072,
4,10.147117,
6,10.195986,
4,10.248728,
2,10.303222,
8,10.335179,
4,10.362413,
6,10.380339,
4,10.424284,
6,10.452582,
2,10.517034,
6,10.531858,
4,10.562411,
4,10.592631,
6,10.603974,
2,10.610187,
4,10.611349,
8,10.633254,
2,10.637744,
6,10.640390,
4,10.655681,
2,10.697283,
8,10.757896,
6,10.778353,
6,10.794217,
4,10.802948,
10,10.810427,
8,10.814542,
4,10.818773,
2,10.820315,
8,10.841181,
2,10.848497,
2,10.880130,
6,10.880223,
4,10.882088,
6,10.927356,
4,10.944766,
10,10.952660,
8,10.952852,
6,10.954101,
8,10.954140,
4,10.955736,
6,10.956647,
10,10.959234,
12,10.959234,
2,10.963288,
4,10.963362,
4,10.965011,
6,10.970546,
2,10.999008,
6,11.015749,
4,11.028861,
4,11.038541,
2,11.052857,
4,11.101597,
6,11.102640,
8,11.113552,
6,11.117548,
2,11.125028,
2,11.129418,
4,11.132068,
8,11.141307,
4,11.142174,
2,11.146908,
4,11.152122,
6,11.152127,
10,11.188940,
8,11.191787,
2,11.194823,
6,11.202584,
4,11.210210,
8,11.211598,
2,11.211705,
4,11.215580,
4,11.225222,
6,11.228734,
6,11.231141,
6,11.256389,
4,11.257461,
10,11.263413,
8,11.263565,
8,11.264126,
6,11.264126,
4,11.266290,
6,11.266399,
12,11.266903,
10,11.266913,
10,11.267913,
12,11.267915,
8,11.267973,
10,11.267974,
6,11.268913,
8,11.268916,
2,11.269033,
4,11.269117,
12,11.269386,
14,11.269386,
4,11.270047,
6,11.270063,
4,11.282729,
6,11.304282,
4,11.317777,
2,11.325669,
4,11.342360,
6,11.342448,
6,11.343203,
10,11.344087,
8,11.344200,
4,11.348177,
8,11.349306,
6,11.349816,
8,11.350223,
6,11.351635,
2,11.356811,
4,11.365333,
2,11.368228,
8,11.376237,
4,11.381768,
6,11.383025,
2,11.384719,
10,11.388090,
8,11.391748,
10,11.396858,
4,11.397481,
2,11.398853,
6,11.401159,
8,11.406366,
2,11.417656,
6,11.426564,
4,11.429149,
8,11.429847,
6,11.429847,
10,11.432251,
8,11.432368,
4,11.434017,
6,11.434072,
12,11.434162,
10,11.434170,
8,11.434852,
6,11.434889,
2,11.435396,
4,11.435444,
4,11.470635,
6,11.478977,
4,11.480251,
2,11.482033,
8,11.483442,
6,11.484265,
2,11.487192,
4,11.490522,
2,11.496872,
8,11.497013,
6,11.498686,
6,11.499992,
6,11.500255,
4,11.502623,
10,11.506702,
4,11.508071,
2,11.508750,
4,11.510614,
8,11.511165,
4,11.512382,
2,11.516991,
2,11.529622,
6,11.530011,
10,11.533766,
8,11.533837,
8,11.534057,
6,11.534057,
4,11.534869,
6,11.534913,
12,11.535004,
10,11.535010,
4,11.535402,
2,11.535786,
4,11.535818,
6,11.541518,
4,11.545059,
8,11.560826,
2,11.565566,
8,11.566657,
4,11.572104,
4,11.572600,
6,11.572988,
8,11.580603,
6,11.580857,
10,11.581547,
8,11.584000,
2,11.586508,
4,11.586667,
6,11.589270,
2,11.591458,
4,11.592541,
6,11.598046,
10,11.599582,
8,11.599632,
4,11.599711,
8,11.599777,
6,11.599777,
4,11.600290,
12,11.600429,
10,11.600435,
4,11.606147,
2,11.611164,
6,11.613838,
8,11.615189,
2,11.617503,
8,11.629564,
6,11.631648,
10,11.632069,
4,11.632380,
8,11.637044,
4,11.642939,
10,11.644576,
12,11.645259,
10,11.645260,
2,11.652429,
4,11.652978,
6,11.653071,
10,11.653773,
8,11.653861,
8,11.656722,
6,11.656772,
10,11.657276,
12,11.657276,
4,11.664756,
6,11.665547,
10,11.667744,
8,11.670190,
10,11.676933,
10,11.693867,
6,11.711668,
4,11.71287,
8,11.741332,
6,11.741354,
,11.81381,

#ignore,test#5.3
