g,LeveleV
1,0.0000000,
1,1.8793402,
3,1.8858075,
5,1.8989349,
3,2.5212633,
5,2.5229867,
7,2.5256821,
5,2.7090094,
3,2.9325120,
3,3.9103990,
1,4.1308143,
5,4.4300117,
7,4.4409544,
5,4.4430250,
9,4.4506470,
1,4.5313358,
3,4.5322113,
5,4.5347368,
3,4.5541398,
5,4.6243982,
3,4.6801799,
5,4.6806350,
7,4.6813270,
3,4.7352531,
5,4.7385667,
7,4.7435268,
1,4.7631683,
3,4.7690284,
5,4.7797840,
1,4.8767178,
3,4.8769584,
5,4.8775483,
3,5.0181663,
7,5.0260582,
1,5.0449710,
5,5.0486176,
3,5.1675384,
1,5.1808379,
5,5.2284402,
7,5.2284828,
9,5.2285409,
7,5.2499357,
1,5.2711690,
3,5.2716479,
5,5.2726253,
3,5.2994568,
5,5.2996694,
7,5.3000005,
5,5.3212844,
5,5.3901916,
7,5.3919636,
9,5.3943154,
3,5.4470569,
3,5.4529201,
1,5.4895911,
5,5.5498576,
7,5.5498847,
9,5.5499193,
7,5.5550969,
11,5.563774,
9,5.563909,
1,5.573793,
3,5.5740388,
5,5.5745474,
5,5.5780280,
3,5.5853732,
5,5.5855401,
7,5.5857825,
3,5.6320266,
3,5.6708741,
1,5.6892877,
5,5.7236864,
7,5.7237039,
9,5.7237269,
7,5.7258877,
5,5.728086,
1,5.738500,
3,5.738637,
5,5.738935,
3,5.7407130,
5,5.7409208,
7,5.7412196,
3,5.7627624,
3,5.7960484,
1,5.8068068,
5,5.820932,
5,5.8280253,
7,5.8280359,
9,5.8280508,
7,5.8291346,
3,5.8317487,
5,5.8322176,
7,5.8328665,
3,5.837843,
5,5.838043,
3,5.8501163,
3,5.8746252,
1,5.8814968,
5,5.8829365,
3,5.8838502,
5,5.8850357,
7,5.8862633,
5,5.8954752,
7,5.8954822,
9,5.8954946,
7,5.896097,
3,5.902237,
5,5.902363,
3,5.909347,
3,5.9205747,
5,5.9211488,
7,5.9221917,
3,5.927213,
5,5.927981,
1,5.931870,
5,5.941555,
7,5.9415684,
9,5.9415748,
7,5.9419361,
3,5.946390,
