g,LeveleV
9,0.00000,
7,0.07924,
5,0.13362,
3,0.16828,
1,0.18518,
5,2.83717,
13,2.93588,
11,2.97956,
9,3.00934,
3,3.06603,
9,3.14870,
1,3.15524,
7,3.19084,
5,3.21975,
11,3.59824,
9,3.66897,
7,3.70310,
13,4.45633,
5,4.50658,
3,4.51079,
7,4.53218,
9,4.54815,
1,5.13814,
5,5.24971,
7,6.27733,
1,7.23083,
3,7.30512,
5,7.40791,
9,7.41899,
7,7.42700,
5,7.45125,
9,8.41939,
7,11.22731,
5,11.30964,
5,12.74234,
13,16.01058,
11,16.01816,
5,16.02151,
9,16.02170,
7,16.02232,
7,16.45631,
5,16.46866,
3,16.48402,
9,16.90684,
1,16.91143,
3,16.92621,
5,16.93763,
7,16.93779,
11,17.02066,
7,17.02620,
9,17.02754,
5,17.46485,
3,17.49119,
7,17.91691,
3,17.94303,
5,17.94847,
13,18.36182,
11,18.36274,
15,18.36280,
7,18.71801,
5,18.72665,
13,18.85965,
11,18.86124,
9,18.86557,
7,18.87835,
5,18.88917,
9,19.00248,
5,19.03466,
7,19.09508,
5,19.30975,
7,19.37536,
5,19.39056,
9,19.48086,
7,19.52914,
9,19.63413,
11,19.64200,
13,19.69448,
7,19.77329,
9,19.79260,
11,19.81906,
5,19.88104,
9,19.88760,
11,20.19566,
9,20.29843,
7,20.30277,
9,20.31736,
7,20.43299,
5,20.48544,
3,20.51796,
7,20.81155,
3,21.05263,
5,22.11835,
7,22.12367,
5,22.62729,
11,23.32619,
9,23.32941,
7,23.33127,
9,23.83037,
5,23.84871,
7,23.85233,
9,23.85757,
11,23.86574,
13,23.87939,
9,24.09653,
11,24.13282,
13,24.17171,
15,24.20454,
11,24.24621,
5,24.25212,
3,24.26409,
7,24.26525,
9,24.27245,
3,24.36168,
5,24.36912,
7,24.37978,
5,24.40587,
9,24.46491,
7,24.55493,
5,24.55935,
7,24.57890,
9,24.59729,
5,24.61081,
13,24.61927,
3,24.63195,
11,24.65933,
9,24.68431,
5,24.77419,
3,24.82087,
1,24.85959,
3,24.88654,
5,24.90980,
7,24.94267,
9,24.98580,
11,25.02921,
7,25.15008,
9,25.15437,
11,25.15625,
7,25.17611,
5,25.21470,
9,25.21814,
7,25.23830,
3,25.24731,
5,25.27212,
3,25.28940,
1,25.31482,
3,25.35295,
5,25.39107,
7,25.39756,
7,25.53190,
5,25.54071,
3,25.56148,
9,25.62112,
7,25.66394,
5,25.67125,
3,25.82720,
1,26.08531,
3,26.12656,
5,26.17947,
13,26.19480,
15,26.22968,
11,26.25018,
13,26.35938,
17,26.40200,
15,26.42494,
5,26.42830,
11,26.49978,
7,26.51996,
5,26.53997,
13,26.56492,
15,26.57627,
11,26.62426,
9,26.63572,
9,26.65740,
5,26.85999,
7,26.86131,
5,26.86570,
9,26.86958,
3,26.86999,
3,26.90138,
7,26.91210,
7,26.96767,
7,26.97715,
9,27.00756,
3,27.02253,
11,27.02397,
5,27.02769,
7,27.06838,
9,27.07988,
13,27.09801,
11,27.11578,
13,27.11953,
9,27.13624,
7,27.13720,
5,27.15900,
11,27.18125,
3,27.18479,
3,27.20067,
5,27.20882,
9,27.23861,
5,27.27268,
7,27.28300,
9,27.29458,
11,27.32906,
9,27.34288,
5,27.34453,
7,27.38651,
11,27.39441,
5,27.40775,
3,27.40822,
9,27.40895,
13,27.43449,
7,27.43618,
3,27.56616,
11,27.62964,
9,27.64776,
11,27.65357,
7,27.67233,
9,27.68080,
5,27.69576,
13,27.69588,
15,27.77014,
7,27.77726,
7,27.82342,
5,27.82998,
9,27.84821,
13,27.95593,
5,27.96506,
7,27.97906,
3,27.99325,
9,28.01283,
7,28.06601,
5,28.10054,
9,28.13825,
11,28.14234,
13,28.23580,
11,28.26488,
9,28.29425,
7,28.29502,
9,28.32395,
5,28.35967,
7,28.36870,
11,28.39940,
7,28.44051,
9,28.44371,
11,28.46470,
5,28.50276,
7,28.74903,
3,28.78091,
5,28.79620,
7,28.79728,
9,28.80005,
11,28.84066,
3,28.90801,
5,29.02587,
9,29.08476,
7,29.29008,
3,29.33329,
5,30.25207,
7,30.28755,
5,30.35146,
9,30.41629,
7,30.42097,
7,30.53934,
5,30.63543,
3,30.64026,
1,30.64126,
3,30.79648,
5,30.92713,
9,31.38281,
11,31.42335,
9,31.42662,
7,31.48229,
13,31.53502,
5,31.58152,
7,31.60394,
9,31.63319,
11,31.65407,
11,31.89984,
9,31.94834,
7,32.09216,
3,33.16685,
5,33.24654,
5,33.78846,
3,33.78864,
7,33.92612,
5,33.98463,
3,34.16931,
5,35.07825,
7,35.11370,
9,35.22255,
3,35.27312,
5,35.34116,
7,35.41511,
5,35.45060,
5,35.61317,
7,35.67004,
,51.27,

#ignore,test#27.43
