g,LeveleV
7,0.00000000,
5,0.94143042,
1,0.96097009,
3,0.96841324,
5,0.98287742,
7,1.00367492,
9,1.03000806,
5,2.54383615,
13,2.54410014,
7,2.54426770,
9,2.54460569,
11,2.54463928,
7,2.70791527,
5,2.70878630,
3,2.70991379,
1,2.87187333,
5,2.88945207,
7,2.89953685,
9,2.91348182,
3,2.91511324,
9,2.96741996,
11,2.98256889,
5,2.98716595,
13,3.00044215,
1,3.00997115,
9,3.01062753,
3,3.01114742,
5,3.01279642,
7,3.01329987,
7,3.07899825,
9,3.08689206,
5,3.0922396,
1,3.0960208,
3,3.10092412,
11,3.10437812,
5,3.11067051,
7,3.11278390,
9,3.12159404,
7,3.12514546,
9,3.14419143,
11,3.16762385,
13,3.1952485,
7,3.32122225,
5,3.32231395,
3,3.32301220,
1,3.36779583,
3,3.36940787,
5,3.37521461,
3,3.38478638,
5,3.39495688,
7,3.40961132,
7,3.42162179,
9,3.42812540,
9,3.43483025,
5,3.43793441,
11,3.44884096,
7,3.44926489,
11,3.44990008,
9,3.46352849,
7,3.55053095,
3,3.55579538,
5,3.55614020,
3,3.64772230,
5,3.66801930,
7,3.69779039,
3,3.81713644,
5,3.82599758,
7,3.83921781,
7,3.84462239,
5,3.84701382,
15,3.84945609,
3,3.84955423,
13,3.84961210,
11,3.85036371,
9,3.85669178,
11,3.87826474,
3,3.8872001,
5,3.88753932,
7,3.88866925,
9,3.89035912,
11,3.89227274,
9,3.965856,
13,3.9795577,
5,4.0964341,
7,4.0989996,
9,4.1055150,
1,4.13341698,
3,4.14402113,
5,4.15869020,
7,4.17473732,
1,4.18602054,
13,4.1860366,
9,4.19265380,
3,4.20272344,
3,4.2038751,
7,4.2073736,
5,4.2074798,
5,4.23907331,
9,4.38878728,
7,4.40158502,
5,4.41047990,
3,4.41612877,
1,4.41887660,
5,4.439590,
7,4.4403310,
9,4.44641605,
9,4.4473700,
11,4.4490806,
5,4.45075789,
13,4.4552365,
7,4.46766550,
9,4.48973240,
7,4.5318872,
5,4.5326696,
9,4.5350512,
7,4.57449693,
7,4.6129376,
11,4.6163561,
9,4.6176689,
5,4.69694311,
11,4.7780523,
3,4.78541708,
5,4.80198709,
7,4.82438691,
9,4.855053,
3,5.0717494,
3,5.07470726,
5,5.07978882,
5,5.08121834,
7,5.08872640,
7,5.0940418,
9,5.11121670,
1,5.11121771,
3,5.11919762,
11,5.1321332,
5,5.13405969,
7,5.15465532,
9,5.18032406,
7,5.21049739,
9,5.21722114,
11,5.2263678,
1,5.2344047,
5,5.2368392,
13,5.2385978,
3,5.23873429,
7,5.2388241,
5,5.23887703,
7,5.23908705,
9,5.23936898,
11,5.23972421,
9,5.241456,
3,5.24364408,
15,5.2553505,
5,5.2617345,
5,5.27122963,
7,5.27413188,
9,5.27735992,
11,5.28038436,
13,5.28243456,
7,5.28771005,
9,5.31995962,
5,5.3467945,
9,5.46162527,
7,5.46384067,
5,5.46534712,
3,5.46633655,
1,5.46682328,
3,5.47089133,
5,5.47846032,
9,5.4858739,
7,5.4874392,
5,5.49248971,
11,5.493488,
7,5.50158714,
13,5.504033,
15,5.519076,
9,5.5215655,
11,5.52862611,
17,5.5379442,
3,5.5379638,
13,5.5478291,
5,5.56380704,
7,5.59330998,
3,5.60429253,
5,5.60719388,
7,5.61095253,
9,5.61474406,
11,5.61727046,
13,5.62251964,
11,5.62319793,
9,5.62374764,
7,5.64946442,
9,5.65551992,
7,5.6590394,
11,5.66152243,
13,5.66698616,
3,5.66846045,
1,5.6688702,
5,5.67032643,
15,5.67121951,
5,5.6991023,
5,5.69928154,
7,5.70332536,
9,5.71048876,
3,5.71282481,
1,5.71334746,
5,5.71681492,
7,5.72489453,
3,5.74025070,
5,5.74659540,
7,5.74893273,
9,5.75564682,
3,5.75889602,
5,5.76835475,
7,5.78227967,
5,5.78723069,
3,5.7873809,
7,5.78860234,
11,5.79067042,
9,5.79260016,
9,5.80035930,
7,5.80825650,
7,5.8122004,
9,5.81548356,
11,5.82217714,
5,5.82325049,
11,5.82550252,
3,5.82994917,
5,5.83314465,
7,5.83326016,
9,5.83406495,
11,5.83411881,
3,5.8382162,
7,5.84283485,
9,5.8508033,
13,5.85480762,
