g,LeveleV
2,0.000000000,
2,40.8130308564,
2,40.8130889283,
4,40.8137570515,
2,48.37129741757,
2,48.3713147192,
4,48.371512233303,
4,48.37151258731,
6,48.371583949701,
2,51.01666119611,
2,51.01666851092,
4,51.0167518192,
4,51.01675197039,
6,51.0167820202,
6,51.0167820747,
8,51.0167971475,
2,52.24107411273,
2,52.2410778621,
4,52.2411205110,
4,52.241120588933,
6,52.2411359737,
6,52.2411360019,
8,52.24114370425,
8,52.2411437189,
10,52.24114835134,
2,52.90618204173,
2,52.90618421270,
4,52.9062088920,
4,52.90620893763,
6,52.9062178403,
6,52.9062178567,
8,52.90622231393,
8,52.9062223225,
10,52.906224997969,
10,52.90622500324,
12,52.906226790830,
2,53.30721871169,
2,53.30722007927,
4,53.3072356200,
4,53.30723564892,
6,53.30724125511,
6,53.3072412654,
8,53.30724407226,
8,53.30724407774,
10,53.30724576249,
10,53.30724576581,
12,53.307246889249,
12,53.30724689152,
14,53.307247695697,
2,53.56750569760,
2,53.56750661409,
4,53.56751702477,
4,53.56751704426,
6,53.56752079984,
6,53.56752080666,
8,53.56752268714,
8,53.56752269073,
10,53.56752381945,
10,53.56752382168,
12,53.567524574295,
12,53.56752457582,
14,53.567525113450,
14,53.567525114556,
16,53.567525518642,
2,53.74595691910,
2,53.74595756283,
4,53.74596487442,
4,53.74596488806,
6,53.74596752570,
6,53.74596753054,
8,53.74596885124,
8,53.74596885382,
10,53.745969646502,
10,53.74596964808,
12,53.745970176660,
12,53.745970177725,
14,53.745970555319,
14,53.745970556089,
16,53.7459708393087,
16,53.745970839898,
18,53.7459710606478,
2,53.87360163104,
2,53.87360210042,
4,53.87360743049,
4,53.87360744048,
6,53.87360936328,
6,53.87360936687,
8,53.87361032957,
8,53.87361033143,
10,53.873610909311,
10,53.87361091046,
12,53.873611295793,
12,53.873611296575,
14,53.873611571839,
14,53.873611572405,
16,53.8736117788663,
16,53.873611779297,
18,53.8736119398848,
18,53.8736119402230,
20,53.8736120689698,
2,53.96804403808,
2,53.96804439076,
4,53.96804839527,
4,53.96804840279,
6,53.96804984739,
6,53.96804985006,
8,53.96805057338,
8,53.96805057478,
10,53.968051008951,
10,53.96805100982,
12,53.968051299317,
12,53.968051299905,
14,53.968051506714,
14,53.968051507140,
16,53.9680516622575,
16,53.968051662581,
18,53.9680517832331,
18,53.9680517834868,
20,53.9680518800112,
20,53.9680518802160,
22,53.9680519593612,
2,54.03987507720,
2,54.039875348897,
24,54.03988122939559,
2,54.09577641197,
2,54.095776625674,
26,54.09578128463417,
2,54.14013233837,
2,54.140132509478,
28,54.14013626289080,
2,54.17591638602,
2,54.175916525159,
30,54.17591959316175,
2,54.20520297069,
2,54.205203085328,
32,54.20520562507030,
2,54.229474948871,
2,54.229475044442,
34,54.22947717050277,
2,54.249815082726,
2,54.249815163247,
36,54.24981696077436,
2,54.267028922051,
2,54.267028990523,
38,54.26703052384394,
2,54.281725807260,
2,54.281725865954,
40,54.28172718439514,
,54.417765486,

#ignore,test#2.0
